CED_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
CED129,1531,484,2700,974,129,7205,9015,11138,3731,129,7004,4695,883,1185,8154,604,10726,128637,4236,175694,83,53,26,10,54,41,11,9,46,10,47,742,4303,5310,11078,11846,4435,934,8182,5984,1270,1683,9725,1093,13469,130352,8660,188212,19,13,7,0,7,4,0,3,25,0,24,317,17,405,405,115,201,54,214,337,63,86,200,67,220,773,45,1878,425,127,198,54,220,346,63,90,222,67,244,1091,56,2286,10523,9565,4170,817,7829,5522,1154,1556,8962,1001,11812,93705,3545,141172,99,36,26,60,75,53,14,10,60,22,48,417,3354,4062,11043,9736,4401,929,8127,5923,1229,1656,9241,1085,12101,95209,6960,147523
CED130,3127,829,3813,851,224,10336,13759,14206,4418,243,6740,5778,1217,2603,12453,1006,8838,82243,5116,134758,197,169,63,17,94,88,25,53,119,22,110,726,12257,13553,17614,16242,5553,1320,8557,7852,1850,3903,15691,1859,12752,83818,17597,158649,10,6,0,0,0,8,0,4,10,0,14,115,11,167,940,330,398,70,536,631,119,286,581,136,508,1300,123,3726,957,338,398,70,535,637,117,284,590,136,521,1415,131,3894,16265,13183,5041,1140,7799,6968,1646,3469,14167,1654,10848,59929,4078,113937,360,148,84,102,156,185,48,93,176,57,139,610,9861,11256,17576,13666,5519,1320,8497,7783,1814,3850,14930,1847,11513,61949,14065,129088
CED131,3430,801,3877,845,197,10245,11643,14204,3763,220,5618,4866,1125,1984,17070,815,10643,92497,5258,147776,174,122,44,18,61,84,25,41,140,14,86,627,7033,8136,15124,15814,4768,1572,7376,6843,1758,3015,20638,1628,14609,93972,12492,166162,53,46,10,0,8,8,3,0,71,0,68,945,20,1186,774,265,289,95,404,555,100,182,575,125,461,1442,107,3607,834,314,301,95,413,563,104,182,645,129,535,2392,127,4792,13999,13131,4369,1247,6799,6084,1583,2752,19109,1437,12575,69766,4306,126864,270,103,70,228,126,152,47,54,182,62,341,392,6160,7348,15101,13544,4741,1572,7332,6798,1736,2991,19940,1626,13451,72548,10593,139005
CED132,1168,426,2111,604,81,5449,7651,10709,3880,131,3727,4013,733,1166,9203,567,9723,112231,3455,154586,72,63,31,15,27,35,10,16,52,14,58,670,6225,7169,9301,11256,4560,941,4529,5076,1005,1574,10427,1011,11897,113507,9771,167209,32,38,7,4,3,5,5,4,44,4,25,413,11,545,325,122,176,32,157,284,41,67,164,57,233,882,36,1886,360,161,182,32,163,289,41,73,203,60,254,1296,48,2430,8839,9748,4323,879,4306,4705,922,1462,9845,929,10766,87957,3007,131172,81,35,30,25,42,55,9,22,41,14,42,319,5371,5904,9275,9938,4539,941,4511,5049,976,1554,10097,1003,11061,89577,8424,139516
CED133,4312,1044,4806,939,266,12494,15785,13703,5119,239,6745,6870,1510,3506,14387,1226,9986,85330,5484,143018,244,156,70,53,102,118,39,63,179,32,106,756,11847,13267,20393,15864,6599,1553,8655,9366,2306,5188,18873,2304,14895,87022,17595,168784,24,8,10,0,11,7,0,0,22,0,11,109,15,177,1272,373,526,111,626,869,175,411,782,196,638,1540,121,4724,1300,381,540,108,635,878,174,418,807,195,647,1649,139,4898,18675,13010,5936,1244,7817,8208,2039,4620,16922,2043,12770,63248,4483,123747,386,168,105,191,154,225,61,108,287,59,245,637,9689,11324,20359,13559,6574,1549,8606,9308,2276,5139,18010,2297,13667,65537,14306,139966
CED134,2568,737,3205,805,260,9447,12418,13764,3595,193,7050,5450,1192,2535,10478,888,7242,78538,5083,126837,202,165,58,16,117,108,32,60,126,25,86,757,17357,18681,15991,15638,4664,1265,8959,7483,1849,3792,13174,1653,10531,80099,22705,154967,5,8,3,0,3,0,0,4,9,0,8,65,3,91,721,252,257,65,438,479,100,238,390,128,344,936,91,2760,725,262,265,65,445,477,99,239,402,126,348,998,89,2853,14931,12386,4271,1116,8276,6779,1680,3429,11963,1450,8943,56396,4007,105763,295,171,97,86,178,178,51,83,152,60,131,643,13610,15004,15952,12821,4627,1265,8902,7427,1826,3753,12510,1643,9424,58042,17715,123625
CED135,2550,623,3581,1126,148,9806,6714,9050,2482,111,7401,3658,839,1147,7459,508,9287,139355,4048,179458,94,84,24,11,72,51,14,24,68,4,75,1092,12578,14015,9646,10198,3341,965,9667,5479,1371,1880,10067,1141,12940,141579,16779,203278,18,14,0,0,8,9,0,3,21,0,22,210,7,285,247,72,102,20,155,192,35,73,135,40,146,478,36,1173,261,86,105,20,163,198,35,80,154,40,173,689,47,1461,9276,8425,3185,924,9406,5190,1288,1754,9553,1077,11692,107599,3425,152033,96,59,32,17,66,45,9,27,53,19,52,926,10120,11330,9630,8566,3323,963,9626,5432,1338,1857,9756,1143,11926,109207,13588,164828
CED136,4430,954,4819,1095,292,12813,16616,16327,4711,262,8310,6540,1432,3048,18147,1071,11183,90194,6095,154373,199,142,50,15,101,110,27,50,150,23,95,670,7166,8394,21132,18733,6095,1357,10675,9017,2234,4488,22722,2043,16097,91962,13553,175578,133,91,24,0,15,36,5,8,156,5,129,1255,53,1754,1524,466,531,107,809,904,178,384,1055,188,788,1865,128,5537,1650,561,557,107,827,936,185,384,1211,189,915,3118,177,7292,19167,14738,5423,1187,9638,7869,1981,3970,19994,1799,13094,63124,4673,127345,283,109,73,60,133,133,34,66,160,34,121,439,5724,6800,21098,15407,6053,1357,10598,8943,2197,4418,21372,2030,14130,66689,10575,141438
CED137,1582,540,2788,1051,123,7969,7361,9197,3212,128,5904,3913,768,978,7714,576,9796,140773,4109,182533,62,56,20,13,58,49,9,12,49,11,50,996,10048,11314,9834,9853,4079,1173,7503,5447,1223,1477,9347,1126,12638,142821,14279,201820,16,32,6,0,3,8,4,0,36,5,27,591,15,707,241,57,126,21,124,218,26,54,117,35,147,594,39,1310,254,89,133,21,125,228,32,57,157,40,172,1183,56,2018,9460,8543,3894,1115,7301,5138,1158,1397,8906,1055,11497,115573,3560,160533,95,44,22,34,41,48,13,6,66,19,102,881,8947,10099,9811,8671,4055,1173,7468,5415,1202,1457,9128,1118,11769,117649,12562,172643
CED138,3322,883,3937,869,284,10994,13919,11288,4899,250,4764,6071,1168,3063,11754,1139,9293,91980,5387,143798,223,126,95,161,96,150,44,70,216,58,296,754,11097,12644,17765,12818,6337,1778,6290,8333,1887,4429,15287,2078,13523,93602,16767,167436,10,5,6,0,0,4,0,0,9,0,0,113,10,156,1131,299,484,141,456,808,149,353,685,170,596,1493,129,4342,1137,303,491,141,459,811,149,357,696,170,599,1609,145,4499,16281,10818,5692,1338,5636,7265,1657,3934,13590,1809,11558,69985,4489,124687,321,135,133,295,143,219,66,110,262,87,361,656,9183,10884,17740,11249,6316,1774,6235,8295,1869,4396,14547,2070,12515,72242,13812,140075
CED139,3201,835,3766,875,237,10666,14182,15230,4408,210,6947,5397,1316,2922,12722,991,8348,85565,5536,139168,220,138,51,14,108,71,26,54,115,21,85,744,10240,11518,18241,17294,5581,1501,8855,7380,1971,4257,16031,1845,12190,87186,16006,161349,88,68,17,0,19,19,4,0,83,4,75,1234,47,1553,1026,423,426,88,598,629,127,325,643,147,520,1243,106,3837,1115,496,440,95,617,644,130,325,724,150,593,2477,150,5385,16718,13975,4976,1268,8021,6504,1759,3792,14245,1626,10034,60420,4328,114805,381,181,117,137,158,177,45,97,185,58,185,625,8438,9929,18213,14647,5538,1501,8790,7328,1930,4215,15157,1834,10810,63517,12920,130124
CED140,2730,768,3493,847,179,9552,13060,12219,4663,297,6142,5688,1169,2555,12226,1095,9471,83439,4670,134603,317,128,101,274,128,168,40,59,309,48,220,625,6341,7822,16424,13660,5903,1813,7676,7542,1793,3696,15263,1911,13191,84904,11188,151973,15,8,7,0,5,4,0,3,14,0,7,128,0,171,822,261,358,116,476,613,140,268,477,161,438,1106,81,3311,834,277,365,121,481,616,144,274,491,166,443,1239,87,3484,15115,11427,5372,1225,6937,6598,1560,3285,13742,1649,11356,62607,3829,115622,448,138,140,470,208,295,61,115,362,87,285,402,5262,6863,16400,11836,5881,1808,7633,7504,1764,3679,14596,1897,12091,64239,9173,125967
CED141,3387,864,3891,866,226,10637,14645,13458,4582,264,6735,6086,1287,2673,14261,1000,9693,79541,5208,134725,183,123,45,94,95,96,25,49,135,34,84,612,5356,6556,18715,15322,5816,1520,8685,8329,2022,4014,17783,1899,13669,81021,10796,151922,23,14,3,0,8,4,0,0,15,0,30,203,9,283,1077,301,426,127,574,738,165,320,609,175,513,1300,119,3933,1097,312,426,127,582,738,171,318,626,175,542,1503,125,4211,17237,12377,5252,1159,7915,7333,1774,3565,16044,1656,11633,58446,4136,115026,356,134,106,231,136,204,58,92,238,57,225,341,4358,5523,18690,12823,5790,1522,8633,8275,1999,3974,16904,1893,12408,60285,8623,124765
CED142,1698,342,2148,602,93,5494,6243,12588,3080,127,3634,3076,769,1238,15528,524,11885,136223,3859,184155,101,79,48,12,55,58,18,23,101,6,75,809,13395,14563,7867,13372,3684,602,4539,4023,1062,1731,17324,879,14111,137626,17346,204215,45,54,20,0,6,8,0,4,86,0,69,1205,36,1480,224,122,125,39,122,171,36,69,227,39,199,788,35,1609,271,177,144,39,124,183,36,70,310,41,266,1994,75,3084,7433,12472,3495,511,4313,3734,988,1596,16667,812,13285,121407,3555,171482,153,77,36,51,88,84,22,54,121,19,122,860,12577,13900,7854,12727,3675,600,4533,4003,1044,1717,17107,876,13676,124264,16206,188461
CED143,1053,411,1570,517,98,4747,7566,9436,3845,169,2970,3948,618,1090,7934,570,7836,101940,4068,140646,82,77,36,17,18,51,0,23,52,18,60,624,4501,5419,8911,9934,4503,1034,3551,4872,851,1446,9040,994,9462,103080,8668,150819,17,18,7,0,0,0,0,0,21,0,25,272,12,347,375,115,222,35,166,365,67,88,144,70,234,894,62,2013,391,123,230,38,171,367,67,87,163,70,261,1163,70,2356,8419,8451,4216,874,3303,4407,746,1328,8518,897,8366,78252,3410,116984,86,45,36,124,33,63,9,10,70,15,46,338,3832,4488,8898,8622,4479,1033,3509,4840,833,1430,8757,984,8674,79755,7315,123828
CED144,2769,759,4520,1478,203,12421,6859,8317,2259,155,7326,3523,811,970,6350,526,8581,119176,4524,157561,182,81,36,103,143,117,24,39,158,33,208,1063,11596,13175,10696,9592,3387,1566,10423,5770,1604,1850,9276,1321,13313,121717,16332,183154,0,3,0,0,3,0,0,0,5,0,9,121,0,144,161,51,79,21,104,137,31,59,74,36,100,314,15,770,164,57,79,21,106,140,28,60,80,35,104,435,23,919,10318,7754,3244,1412,10128,5459,1526,1727,8724,1240,12011,91741,3878,136891,198,81,48,132,156,127,27,47,179,39,232,884,9204,10590,10681,7896,3373,1566,10387,5728,1582,1837,8977,1316,12353,93062,13104,148398
CED145,849,284,1520,477,72,4273,6455,8634,3364,163,2651,3353,634,963,7775,538,7353,97836,3574,133144,165,58,66,237,58,115,38,34,118,22,211,667,7432,8686,7912,9062,3954,1090,3270,4264,884,1310,8744,843,9088,98979,11077,146102,20,26,4,0,5,5,0,3,38,0,17,467,16,561,239,78,127,30,118,213,40,47,120,43,167,599,32,1343,258,107,131,33,122,216,40,53,152,43,187,1065,52,1906,7416,7946,3716,743,3040,3862,776,1205,8197,768,8076,78752,3070,114611,210,57,77,317,70,167,46,45,156,36,270,428,6613,7734,7887,8108,3932,1090,3239,4252,861,1302,8499,847,8530,80246,9734,124257
CED146,3117,885,4951,1597,218,12969,8115,10927,2178,101,8583,3725,898,1101,6547,664,9243,129806,5620,173890,251,114,68,147,162,92,36,26,222,50,292,1093,10551,12308,12286,12725,3212,1008,11828,6007,1720,2020,9883,1598,14485,132491,16394,199172,21,14,8,6,9,7,0,0,20,6,20,323,19,418,285,86,106,29,186,188,30,95,147,56,136,394,34,1080,306,104,114,29,190,198,36,97,165,57,154,723,54,1500,11642,9993,2992,758,11376,5592,1580,1821,8975,1480,12575,94519,4494,143596,302,107,68,217,204,140,53,71,266,59,327,636,7760,9119,12256,10204,3179,1007,11763,5927,1668,1991,9409,1593,13055,95874,12304,154210
CED147,3515,876,4392,1075,232,11845,15242,13457,4516,217,7492,5548,1311,2734,13799,1027,10248,91602,5641,148414,171,112,58,19,97,83,15,40,115,25,86,660,7120,8280,19465,15314,5847,1339,9660,7610,2035,4045,17430,1926,14724,93336,12993,168545,16,15,3,0,0,4,0,0,19,3,22,163,5,232,801,220,323,72,449,518,133,236,474,121,403,1215,86,3264,818,236,324,73,449,521,130,237,491,122,425,1375,91,3495,18394,12423,5434,1202,9049,6936,1829,3730,16024,1766,12770,67349,4587,127151,220,95,50,58,100,88,27,47,104,35,85,404,5671,6586,19436,12756,5809,1335,9603,7550,1993,4012,16621,1920,13285,69128,10350,137237
CED194,287,27,242,29,8,537,630,664,214,10,279,282,57,185,1269,53,640,4012,241,7010,18,10,4,0,7,18,5,3,22,0,14,48,3726,3831,813,776,260,27,365,387,85,268,1585,79,894,4089,3980,11371,0,0,0,0,0,0,0,0,3,0,4,47,3,59,50,22,12,0,20,31,5,20,49,8,48,73,7,218,47,24,12,0,20,31,5,20,49,8,46,117,13,274,748,690,250,22,330,342,71,240,1469,72,798,3334,425,6753,10,6,0,0,5,7,3,3,24,6,6,54,2988,3090,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
