CED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED125,152,5845,414,6410,784,10573,678,12044,256,5134,316,5710,196,5216,394,5807,278,10897,750,11919,304,9973,674,10954,388,8673,592,9659,581,7726,527,8839,739,4668,381,5784,438,1549,159,2146,206,251,47,508,4327,70511,4937,79776,80,5579,383,6037,366,10387,658,11410,175,4909,288,5375,123,5342,342,5807,236,11877,799,12916,325,10303,683,11312,513,9164,594,10275,795,8241,578,9613,769,4859,420,6052,722,1599,189,2509,460,338,137,933,4563,72596,5085,82244,232,11420,800,12449,1149,20964,1343,23455,425,10046,611,11084,320,10562,734,11615,515,22770,1548,24833,628,20273,1357,22262,903,17839,1192,19928,1380,15970,1099,18450,1504,9523,804,11839,1163,3150,346,4663,666,582,190,1445,8890,143107,10020,162017
CED126,51,4341,223,4615,243,9714,396,10348,83,4359,196,4648,65,3679,214,3955,93,6719,387,7203,123,9274,547,9948,155,9912,554,10622,203,7927,477,8608,376,6183,416,6978,582,3141,295,4023,595,875,114,1587,2579,66120,3823,72523,15,4043,193,4257,120,9087,384,9590,62,3992,174,4228,33,3335,198,3559,96,7104,412,7613,133,10118,547,10802,179,10640,544,11359,236,8475,479,9187,371,6910,498,7786,826,3561,315,4701,1545,1239,224,3011,3615,68505,3970,76091,67,8388,419,8869,367,18800,777,19941,145,8354,372,8871,93,7012,411,7513,196,13824,804,14813,257,19392,1098,20754,328,20554,1097,21976,440,16402,951,17794,753,13092,919,14760,1406,6707,608,8722,2144,2111,344,4599,6193,134628,7790,148613
CED127,81,3982,213,4273,575,8579,410,9568,198,4379,232,4815,113,3761,218,4094,170,6764,430,7362,200,7874,498,8574,280,8976,604,9859,453,8404,578,9436,494,6097,502,7097,487,2348,220,3054,405,450,67,926,3462,61620,3974,69050,48,3807,208,4056,239,8404,388,9031,121,4174,241,4536,79,3623,216,3923,143,7092,414,7652,219,8512,485,9216,331,9695,640,10670,475,9080,590,10151,539,6676,530,7748,712,2694,279,3688,905,666,139,1717,3819,64437,4139,72392,127,7790,420,8333,813,16984,799,18598,322,8552,477,9351,192,7388,435,8018,314,13858,841,15014,421,16386,986,17789,611,18679,1243,20530,929,17485,1164,19585,1032,12775,1030,14838,1200,5045,505,6747,1316,1119,212,2641,7272,126053,8111,141439
CED128,82,5663,407,6155,402,10448,582,11430,163,5112,249,5522,120,5834,336,6285,209,11365,722,12296,342,10216,654,11207,623,9087,603,10310,813,7739,527,9075,1012,4723,331,6066,876,1886,191,2949,492,359,83,934,5130,72422,4676,82230,58,5441,384,5882,190,10145,607,10943,92,4949,226,5270,78,5419,323,5823,232,11674,753,12664,373,10234,640,11248,732,9448,632,10812,1064,7832,521,9421,1182,4774,352,6306,1337,1955,220,3515,1010,450,131,1592,6354,72321,4793,83470,137,11105,788,12029,594,20598,1183,22374,253,10054,476,10787,202,11253,658,12107,441,23039,1476,24954,716,20448,1294,22459,1354,18535,1233,21122,1875,15568,1050,18494,2193,9493,681,12374,2209,3837,409,6462,1505,806,215,2522,11485,144746,9463,165693
CED129,45,5001,147,5197,312,11307,286,11913,121,5023,134,5278,86,4467,133,4686,122,7630,291,8044,113,11013,373,11497,178,10008,385,10567,184,7683,302,8169,349,5589,234,6176,435,2207,119,2765,337,447,40,822,2274,70378,2448,75103,32,4795,131,4960,161,10919,298,11377,70,4891,144,5099,61,4094,116,4266,109,8415,334,8856,152,12122,415,12692,191,10423,356,10969,344,8227,312,8889,420,6095,282,6802,677,2235,149,3065,765,545,70,1379,2977,72754,2614,78347,76,9800,281,10156,476,22225,587,23289,191,9911,280,10379,139,8560,251,8954,227,16040,629,16898,263,23137,790,24184,367,20429,739,21531,528,15910,616,17049,770,11685,514,12973,1113,4447,264,5830,1104,997,110,2203,5255,143133,5065,153449
CED130,84,4278,402,4758,473,9069,774,10319,166,4540,404,5112,110,3926,391,4431,200,7226,846,8273,281,7159,836,8271,409,8249,867,9530,632,8683,953,10273,793,7018,826,8637,669,3343,452,4469,448,708,168,1327,4262,64188,6938,75391,36,4094,413,4546,198,9132,783,10109,104,4386,398,4893,92,3971,429,4493,171,7749,754,8675,248,7866,771,8881,412,8895,856,10162,619,9056,952,10628,651,7247,769,8661,916,3804,562,5279,1057,1038,363,2464,4504,67243,7047,78795,117,8370,815,9304,676,18193,1561,20428,273,8924,804,10006,203,7902,823,8919,372,14978,1599,16951,524,15026,1605,17156,825,17147,1722,19694,1252,17738,1903,20899,1442,14260,1593,17303,1585,7146,1017,9745,1514,1738,537,3784,8769,131431,13986,154184
CED131,77,4459,202,4744,478,7950,272,8703,186,4122,193,4501,135,6343,317,6801,241,11024,685,11952,286,9006,509,9795,466,8591,557,9619,582,7768,509,8862,581,5077,413,6069,514,2340,280,3133,461,665,186,1316,4004,67342,4129,75477,39,4030,182,4251,226,7744,280,8252,111,4025,168,4310,117,6316,332,6765,202,10740,556,11502,268,9425,430,10121,476,9001,460,9942,664,8022,476,9162,604,5457,399,6464,896,2764,405,4070,1153,939,551,2647,4762,68470,4235,77466,117,8495,386,8996,705,15696,553,16949,306,8145,355,8805,248,12662,648,13563,440,21769,1241,23451,552,18425,938,19916,938,17595,1024,19552,1246,15786,985,18016,1191,10532,811,12538,1410,5102,690,7197,1621,1607,741,3958,8767,135812,8366,152948
CED132,45,4798,261,5108,156,8438,354,8945,52,4044,177,4274,38,3872,282,4183,65,12775,1073,13909,98,12126,859,13084,127,9392,623,10135,187,7165,527,7883,265,5380,403,6044,402,2346,194,2941,522,670,102,1288,1953,70994,4850,77797,29,4613,242,4875,79,8036,350,8472,47,3181,137,3361,47,4310,310,4663,65,14138,1147,15345,105,13062,842,14008,127,10273,617,11017,222,8177,559,8953,355,6042,440,6833,682,2792,263,3729,1327,945,194,2459,3075,75564,5085,83725,73,9412,503,9986,233,16475,703,17412,101,7223,310,7635,79,8177,588,8855,128,26915,2217,29260,209,25184,1704,27089,254,19662,1238,21153,412,15343,1086,16834,614,11428,835,12884,1082,5140,449,6673,1848,1606,298,3750,5031,146564,9929,161526
CED133,79,3932,313,4318,568,8953,734,10250,231,4349,413,4986,143,3218,374,3728,265,6044,694,7007,329,7202,773,8307,610,8925,932,10470,932,10573,1080,12586,1046,8228,828,10100,819,3729,453,4996,607,902,156,1665,5633,66038,6747,78413,41,3676,345,4061,279,8554,665,9496,141,4301,344,4790,89,3154,305,3545,211,6538,619,7369,319,8057,754,9131,581,9804,884,11271,770,10987,1038,12797,691,8359,745,9797,1027,4113,468,5608,1477,1099,254,2833,5630,68646,6425,80694,114,7609,650,8378,843,17501,1397,19747,368,8653,755,9777,232,6365,677,7277,477,12574,1318,14375,645,15259,1527,17437,1196,18730,1819,21741,1703,21557,2122,25385,1740,16590,1574,19895,1843,7841,918,10599,2085,2001,415,4499,11258,134678,13170,159107
CED134,73,4765,615,5449,485,9070,997,10561,163,3947,402,4515,126,3693,489,4305,196,7731,1022,8946,244,7313,953,8511,419,8520,1091,10031,657,8680,1124,10460,788,6394,879,8064,755,3006,481,4247,485,654,168,1300,4383,63778,8217,76385,41,4671,599,5312,211,8937,928,10070,101,3727,389,4215,74,3755,448,4279,150,8637,988,9769,210,7734,884,8831,390,8725,1077,10189,586,8401,983,9969,644,6221,772,7639,915,3388,577,4871,1049,902,277,2228,4366,65091,7922,77385,117,9432,1211,10761,696,18012,1924,20634,262,7675,790,8727,191,7452,937,8586,346,16369,2008,18720,454,15051,1840,17344,811,17244,2164,20224,1241,17081,2111,20434,1437,12614,1652,15701,1663,6397,1059,9117,1533,1549,445,3535,8755,128878,16140,153769
CED135,94,6868,517,7481,331,10070,643,11042,123,4481,308,4915,105,6323,479,6904,221,18821,1526,20570,300,14229,1164,15695,461,9050,692,10195,594,7189,580,8361,722,4208,357,5289,720,1972,224,2914,468,459,106,1034,4137,83672,6599,94404,48,6730,519,7304,162,9374,634,10169,59,4057,234,4351,78,5380,417,5872,196,18729,1537,20470,256,12466,919,13647,475,9283,714,10467,710,7549,577,8838,783,4487,383,5653,1080,2073,282,3438,974,541,200,1708,4835,80670,6411,91916,142,13596,1040,14782,492,19446,1281,21210,182,8537,538,9264,180,11699,898,12775,416,37557,3066,41038,556,26699,2087,29341,933,18332,1404,20671,1306,14737,1154,17198,1505,8700,739,10944,1807,4045,508,6357,1438,999,306,2743,8970,164346,13013,186320
CED136,124,4846,301,5272,799,9365,564,10727,260,4333,281,4879,150,4034,308,4493,255,8267,634,9159,302,8444,634,9385,447,8583,675,9704,693,8016,681,9389,873,6787,615,8274,668,2954,386,4013,409,572,152,1134,4987,66206,5231,76430,64,4734,272,5071,327,9027,543,9901,151,4199,253,4604,115,4184,270,4570,228,8913,625,9761,314,8723,545,9590,505,9019,637,10168,720,8709,694,10119,763,7304,676,8743,919,3238,474,4627,977,784,290,2056,5077,68839,5283,79208,188,9582,575,10344,1127,18397,1105,20625,416,8531,536,9483,262,8218,576,9056,481,17185,1257,18921,616,17172,1184,18972,954,17602,1318,19874,1408,16720,1380,19513,1633,14092,1293,17015,1588,6194,859,8638,1391,1360,442,3193,10066,135051,10519,155634
CED137,47,5101,375,5530,190,7762,410,8358,52,4085,275,4410,62,7262,824,8147,114,18289,2183,20579,139,11895,1336,13363,193,9310,849,10354,317,7693,609,8621,427,4836,422,5687,755,2267,203,3220,673,583,90,1351,2970,79085,7576,89626,19,4802,326,5154,94,7720,443,8256,48,4208,233,4490,48,7158,585,7792,109,17870,1601,19585,125,11985,999,13114,240,10470,744,11456,379,8476,602,9453,566,5234,401,6195,1194,2492,249,3938,1404,738,155,2296,4223,81159,6339,91718,70,9902,705,10677,280,15477,861,16614,100,8297,504,8898,111,14420,1403,15934,220,36159,3782,40163,265,23875,2340,26475,435,19784,1595,21809,701,16167,1210,18076,995,10068,818,11880,1945,4759,456,7162,2078,1322,245,3644,7187,160241,13914,181347
CED138,58,3661,302,4021,395,7899,711,8996,143,3778,294,4211,120,2835,280,3238,181,6000,667,6847,213,7470,783,8464,388,8525,911,9824,692,9475,1115,11275,819,7915,859,9600,801,3807,488,5099,759,1134,281,2173,4576,62501,6689,73762,37,3459,287,3778,168,7799,670,8634,87,3600,306,4000,77,2720,266,3058,131,6661,630,7423,204,8529,831,9558,403,9734,960,11099,654,10674,1101,12426,676,8214,866,9761,1078,4349,585,6017,1604,1276,503,3391,5126,67016,7004,79145,89,7124,588,7804,557,15691,1375,17634,231,7380,600,8212,200,5556,545,6301,312,12658,1305,14273,420,15999,1610,18028,796,18266,1865,20930,1347,20144,2209,23705,1500,16133,1729,19363,1885,8155,1076,11113,2364,2412,789,5565,9701,129520,13689,152913
CED139,79,4565,363,5004,498,9457,755,10718,199,4556,372,5133,127,4200,482,4810,197,7571,921,8697,266,7536,928,8732,379,8414,918,9717,582,8577,922,10080,732,6822,742,8292,646,3348,454,4446,530,843,164,1535,4241,65905,7023,77163,38,4306,349,4688,232,9341,710,10282,112,4402,364,4886,96,4260,344,4707,161,8063,675,8904,231,7935,669,8835,432,8770,773,9977,568,8694,803,10065,611,6921,708,8245,892,3898,543,5333,1253,1142,310,2703,4644,67743,6240,78628,119,8875,709,9696,733,18801,1466,21002,315,8964,736,10014,224,8461,827,9515,362,15639,1601,17599,502,15468,1597,17561,814,17190,1688,19692,1151,17273,1725,20150,1341,13749,1452,16545,1533,7246,993,9775,1785,1983,470,4237,8881,133642,13265,155793
CED140,89,3886,207,4184,449,7831,437,8715,165,3838,228,4235,117,3558,230,3908,178,6754,477,7410,209,7748,543,8498,328,8472,586,9390,446,8072,576,9097,598,6764,502,7858,593,3300,333,4226,644,971,179,1786,3820,61175,4298,69297,36,3632,212,3882,201,7727,393,8322,95,3860,191,4141,82,3277,230,3591,165,6995,445,7600,211,8205,544,8962,383,9218,569,10172,501,9017,564,10077,581,7555,549,8694,925,4034,438,5400,1186,1385,395,2960,4364,64914,4529,73802,125,7521,422,8064,650,15555,828,17036,256,7699,427,8376,207,6836,461,7499,341,13746,922,15008,421,15953,1085,17459,707,17691,1152,19553,946,17088,1139,19177,1183,14316,1050,16549,1521,7335,770,9626,1828,2350,571,4747,8179,126090,8832,143103
CED141,91,4123,182,4395,566,8306,341,9214,196,4238,189,4625,154,3786,196,4141,230,6974,370,7581,241,7567,419,8222,391,8537,500,9430,575,8131,460,9165,771,6624,419,7818,721,3473,310,4500,513,828,126,1463,4451,62581,3525,70552,46,3808,187,4039,229,8043,350,8618,96,4005,161,4255,87,3591,184,3869,156,7399,392,7956,246,8144,379,8773,437,9093,468,9997,593,8796,496,9887,779,7585,496,8857,982,3994,338,5316,1134,1051,188,2373,4783,65506,3645,73937,139,7924,373,8431,801,16344,692,17837,292,8243,346,8882,243,7379,382,8006,392,14377,765,15533,482,15714,803,17000,827,17630,969,19421,1167,16928,964,19055,1548,14212,920,16678,1702,7469,644,9814,1648,1876,314,3838,9231,128084,7166,144482
CED142,21,3010,367,3403,87,3007,378,3471,41,3197,513,3752,46,11108,1937,13100,156,29406,4701,34256,206,15596,2419,18214,322,9747,1657,11727,398,6493,1151,8038,385,3927,699,5012,391,1429,313,2128,232,263,106,599,2281,87185,14246,103705,13,3005,383,3403,36,3073,321,3431,29,4018,510,4554,45,13338,1806,15181,136,28152,3873,32168,147,12378,1606,14139,259,7452,1034,8744,407,5831,866,7099,417,3649,537,4599,568,1409,324,2301,393,307,152,856,2445,82608,11424,96474,34,6018,752,6807,130,6078,701,6904,62,7212,1026,8310,90,24445,3744,28283,291,57557,8570,66424,352,27976,4026,32353,576,17199,2695,20469,801,12323,2017,15144,803,7568,1242,9616,952,2836,641,4433,627,568,262,1456,4724,169792,25674,200181
CED143,28,4377,253,4664,161,9027,435,9627,60,3554,203,3815,41,3201,265,3509,82,9105,790,9983,77,10865,795,11731,133,9546,656,10334,146,6852,529,7526,222,5054,381,5660,308,2364,217,2890,459,731,104,1299,1722,64683,4632,71036,23,4227,239,4483,95,8705,426,9228,47,3465,183,3696,24,3210,238,3476,56,10484,843,11385,87,11625,798,12514,121,10328,665,11111,190,7325,547,8058,295,5712,443,6449,575,2806,273,3649,1049,969,220,2238,2558,68855,4881,76296,52,8599,489,9147,253,17738,865,18859,109,7020,391,7518,66,6415,507,6981,133,19592,1637,21365,163,22487,1590,24241,253,19874,1321,21450,329,14178,1073,15582,519,10767,821,12107,885,5171,491,6545,1510,1697,330,3536,4276,133541,9510,147333
CED144,82,5898,482,6460,372,10574,740,11688,117,5172,333,5622,108,6229,408,6744,202,13856,1025,15081,262,11067,799,12130,456,9574,715,10752,775,7361,505,8639,944,4456,359,5765,1028,2138,250,3415,686,521,113,1317,5037,76857,5713,87610,43,5581,460,6084,168,10155,657,10983,77,4899,287,5266,80,5814,420,6313,181,13292,941,14407,301,10815,761,11874,551,9949,695,11195,901,7571,538,9013,991,4457,415,5862,1530,2241,314,4079,1287,635,195,2117,6113,75413,5672,87194,125,11482,940,12542,541,20733,1393,22666,200,10073,623,10896,190,12045,826,13064,381,27154,1962,29494,563,21886,1558,24001,1010,19519,1416,21946,1673,14936,1040,17647,1942,8918,770,11626,2552,4380,557,7494,1976,1158,306,3434,11147,152270,11391,174806
CED145,29,3792,350,4176,116,6552,541,7205,43,2618,216,2875,23,3240,425,3690,55,12457,1727,14238,61,10628,1256,11945,114,8111,907,9128,135,5952,648,6733,234,4737,575,5542,409,2109,369,2891,526,716,187,1427,1747,60900,7204,69848,16,3615,336,3968,69,6475,488,7030,35,2670,197,2893,19,3775,480,4282,55,14602,1963,16623,79,10971,1210,12260,123,8332,889,9343,154,6426,708,7284,279,5304,624,6206,641,2585,479,3708,1211,911,370,2492,2680,65668,7752,76100,46,7409,688,8142,187,13025,1030,14239,72,5284,415,5772,50,7019,904,7972,111,27052,3695,30859,141,21595,2460,24204,235,16443,1794,18477,294,12378,1350,14023,509,10042,1203,11753,1048,4692,850,6598,1734,1620,564,3919,4428,126571,14956,145949
CED146,115,5841,441,6402,557,12201,847,13601,232,6204,437,6870,150,5674,403,6219,250,10199,755,11203,341,10445,732,11525,535,10179,775,11487,837,7537,579,8950,920,3799,389,5109,661,1429,217,2308,296,242,100,641,4887,73750,5671,84312,57,5547,414,6017,251,11969,858,13074,108,5850,372,6334,108,5669,378,6147,206,11313,755,12269,397,11448,811,12655,722,10260,741,11725,1076,7467,600,9143,974,3837,423,5233,979,1557,303,2842,625,300,233,1156,5491,75213,5886,86593,167,11388,858,12414,805,24162,1706,26676,337,12056,807,13198,250,11337,777,12370,459,21509,1504,23480,741,21894,1544,24179,1253,20437,1517,23207,1908,15004,1177,18094,1895,7639,813,10341,1634,2988,526,5151,925,539,336,1801,10379,148971,11555,170909
CED147,82,4397,259,4736,535,9124,478,10140,225,4598,255,5074,137,3940,230,4305,238,7372,480,8092,275,8058,495,8823,404,8681,595,9682,625,7979,559,9173,789,6686,524,7999,797,3388,325,4507,607,695,105,1400,4714,64921,4302,73932,47,4137,231,4418,231,9064,477,9771,117,4657,250,5026,103,3838,224,4167,208,7912,431,8545,299,8685,515,9500,505,9383,582,10470,664,8854,593,10111,837,7373,558,8767,1227,3728,372,5331,1263,836,135,2240,5497,68476,4375,78347,127,8535,489,9155,766,18190,959,19914,338,9256,507,10102,244,7776,457,8474,443,15280,911,16638,578,16737,1010,18323,910,18070,1174,20148,1291,16831,1159,19278,1624,14063,1082,16766,2026,7124,697,9841,1873,1528,242,3641,10207,133396,8677,152280
CED194,0,170,16,188,6,162,27,202,7,203,70,285,11,571,162,746,33,1089,484,1615,34,735,491,1269,61,645,440,1148,78,600,315,986,63,500,163,719,22,102,43,162,14,9,12,32,333,4791,2224,7351,3,135,12,149,0,171,24,200,0,183,50,232,9,477,124,615,14,801,273,1091,30,422,182,629,53,421,173,646,57,533,138,732,29,356,90,477,20,76,29,120,24,15,9,48,243,3592,1102,4939,0,305,27,338,6,338,54,402,11,389,119,517,23,1045,290,1358,50,1892,760,2703,66,1159,676,1900,116,1069,613,1798,130,1137,451,1722,88,858,245,1196,46,173,64,282,41,26,18,78,575,8385,3326,12288
CED197,0,4,3,10,0,11,0,7,0,3,0,3,3,3,3,9,0,8,0,11,0,16,0,18,3,17,0,25,3,19,0,22,6,36,4,48,4,11,5,16,3,0,0,3,16,137,18,171,0,3,0,4,0,10,4,14,0,8,0,7,0,3,0,4,0,15,4,24,0,14,0,14,0,21,3,31,5,43,6,53,4,51,5,60,3,15,4,24,0,4,0,7,16,195,30,239,0,5,4,14,0,19,5,22,0,12,0,12,3,6,3,9,0,25,3,32,0,30,0,34,3,41,3,50,5,58,6,74,12,85,12,108,5,34,5,42,5,4,0,10,35,336,45,412
