SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC11552,0,0,0,15,4,0,20,46,6,73
SSC11553,0,0,0,7,9,0,15,69,8,101
SSC11554,3,0,3,127,72,8,206,337,33,579
SSC11555,0,0,0,0,0,0,0,0,0,0
SSC11556,0,0,0,0,0,0,0,8,0,6
SSC11557,0,0,0,3,0,0,3,15,9,31
SSC11558,3,0,6,11,18,0,34,84,18,132
SSC11559,0,0,0,0,0,0,0,0,0,0
SSC11560,0,0,0,30,17,0,45,102,4,152
SSC11561,85,5,89,174,80,9,267,764,97,1128
SSC11562,0,0,0,0,0,0,0,0,0,0
SSC11563,0,0,0,0,0,0,0,0,0,0
SSC11564,17,6,22,341,141,19,501,968,101,1568
SSC11565,0,0,0,16,5,0,19,56,18,91
SSC11566,0,0,0,7,0,0,7,9,3,15
SSC11567,0,0,0,6,0,3,8,9,0,16
SSC11568,163,23,197,2877,837,107,3819,6071,422,10306
SSC11569,99,24,127,1764,426,59,2245,4270,510,7029
SSC11570,0,0,0,26,4,0,36,82,11,124
SSC11571,0,0,4,10,0,0,19,89,16,123
SSC11572,0,0,0,16,3,0,14,58,7,88
SSC11573,0,0,0,0,0,0,0,3,0,4
SSC11574,0,0,0,7,6,0,10,33,0,38
SSC11575,13,0,12,49,65,3,117,348,56,516
SSC11576,0,0,0,11,0,0,11,18,5,28
SSC11577,0,0,0,5,3,0,11,17,3,30
SSC11578,0,0,0,0,0,0,0,3,0,3
SSC11579,0,0,0,19,0,0,17,22,8,45
SSC11580,0,0,3,37,22,0,58,92,23,170
SSC11581,0,0,0,21,3,0,19,50,3,72
SSC11582,145,14,164,543,246,18,805,1621,114,2540
SSC11583,3,0,3,14,8,0,18,54,9,84
SSC11584,0,0,0,3,0,0,3,10,3,16
SSC11585,14,0,16,120,40,3,172,369,69,609
SSC11586,3,0,5,46,14,0,51,156,35,246
SSC11587,63,14,80,334,136,15,480,990,104,1576
SSC11588,0,0,3,20,9,0,23,47,7,79
SSC11589,0,0,0,14,4,0,16,23,3,49
SSC11590,0,0,0,0,0,0,0,4,3,11
SSC11591,0,0,4,17,8,0,26,45,9,80
SSC11592,3,3,8,14,6,0,22,42,8,75
SSC11593,0,0,0,23,6,0,26,87,9,128
SSC11594,46,9,61,463,232,40,729,1530,208,2465
SSC11595,0,0,0,0,0,0,0,3,0,3
SSC11596,0,0,0,0,0,0,0,0,0,0
SSC11597,0,0,0,17,12,0,28,67,5,104
SSC11598,0,0,0,3,0,4,3,8,0,13
SSC11599,18,4,23,104,61,4,165,368,71,600
SSC11600,0,0,0,0,3,0,3,12,0,18
SSC11601,307,17,327,1447,506,34,1988,4590,462,7042
SSC11602,0,7,8,37,9,0,44,109,52,201
SSC11603,42,5,42,331,115,10,456,1053,96,1611
SSC11604,0,0,0,17,19,4,40,135,29,196
SSC11605,4,0,6,107,37,8,143,248,40,434
SSC11606,144,39,185,608,311,37,955,1953,309,3224
SSC11607,14,0,17,62,54,3,119,393,74,587
SSC11608,6,0,6,110,50,3,171,351,70,588
SSC11609,0,0,0,6,0,0,4,33,3,36
SSC11610,0,0,0,5,0,0,7,32,8,47
SSC11611,0,0,0,9,5,3,16,25,4,45
SSC11612,0,0,0,7,6,0,19,48,12,72
SSC11613,0,0,0,0,0,0,4,7,11,20
SSC11614,0,0,0,0,0,0,0,0,0,0
SSC11615,0,0,0,11,3,0,13,24,7,48
SSC11616,0,0,0,14,4,3,21,32,11,61
SSC11617,3,70,73,11,38,0,52,196,165,410
SSC11618,3,3,5,101,34,3,143,361,84,589
SSC11619,94,29,120,414,199,17,629,1624,291,2542
SSC11620,0,0,0,7,0,0,7,23,7,30
SSC11621,0,0,0,0,0,0,0,0,0,0
SSC11622,3,0,5,4,16,0,22,68,32,123
SSC11623,3,0,3,0,0,0,0,22,3,26
SSC11624,27,5,31,726,179,38,943,1245,144,2334
SSC11625,0,0,0,7,3,0,7,6,0,20
SSC11626,4,0,4,33,13,0,48,82,5,134
SSC11627,0,0,0,20,8,3,25,31,14,73
SSC11628,3,0,3,5,3,0,15,31,4,49
SSC11629,0,0,0,3,0,0,3,5,0,12
SSC11630,0,0,0,11,8,0,12,54,6,74
SSC11631,24,4,27,182,64,8,252,765,91,1109
SSC11632,0,0,4,12,0,0,17,47,14,80
SSC11633,0,0,0,0,0,0,0,0,0,0
SSC11634,0,0,0,9,0,0,9,38,0,46
SSC11635,0,0,0,10,7,0,14,23,3,44
SSC11636,74,13,85,1211,210,9,1432,2492,273,4201
SSC11637,0,0,0,23,20,0,45,87,10,138
SSC11638,311,20,339,2094,536,51,2687,6376,591,9657
SSC11639,8,3,15,54,23,0,80,198,39,313
SSC11640,0,0,0,23,15,0,40,95,3,135
SSC11641,116,56,168,1039,476,44,1556,7613,1299,10469
SSC11642,0,0,0,3,0,0,3,22,0,23
SSC11643,0,0,0,6,0,0,4,17,21,46
SSC11644,0,0,0,3,0,0,3,5,0,10
SSC11645,31,0,34,697,421,30,1148,2475,139,3764
SSC11646,0,0,0,7,5,3,14,50,23,91
SSC11647,0,0,0,11,3,0,14,17,178,207
SSC11648,0,0,0,0,0,0,0,5,0,6
SSC11649,167,66,243,787,371,47,1198,3182,639,5019
SSC11650,0,0,0,31,11,0,41,76,12,128
SSC11651,0,0,0,0,0,0,0,0,0,0
SSC11652,0,0,0,51,30,3,83,169,35,286
SSC11653,0,0,0,0,0,0,0,6,0,6
SSC11654,0,0,0,20,3,3,31,65,5,98
SSC11655,0,0,0,17,6,0,20,35,3,56
SSC11656,71,7,78,862,411,48,1316,2558,190,4061
SSC11657,0,0,0,20,11,0,32,100,25,158
SSC11658,58,5,66,533,253,29,811,1563,137,2508
SSC11659,12,0,15,1122,202,29,1353,2250,173,3775
SSC11660,0,0,0,17,12,0,29,53,10,95
SSC11661,0,0,0,48,26,0,73,105,18,200
SSC11662,0,0,0,3,3,0,11,13,3,24
SSC11663,0,0,0,21,14,0,35,71,0,103
SSC11664,75,178,251,1809,460,27,2303,4487,755,7540
SSC11665,97,18,121,963,322,42,1331,2463,268,4061
SSC11666,0,0,0,12,7,0,20,74,41,131
SSC11667,188,20,213,1042,487,40,1566,3527,215,5309
SSC11668,3,0,3,50,17,7,76,224,24,317
SSC11669,0,0,0,25,15,0,39,47,9,93
SSC11670,81,8,101,4886,1339,210,6437,10155,781,17374
SSC11671,0,0,0,8,6,0,7,19,0,36
SSC11672,24,0,28,363,143,14,524,1002,82,1609
SSC11673,46,3,50,584,228,20,830,1748,223,2809
SSC11674,0,0,0,42,11,0,55,101,13,173
SSC11675,10,3,16,134,49,11,193,421,84,699
SSC11676,0,0,3,31,19,0,54,141,28,216
SSC11677,0,0,0,11,3,0,10,15,0,30
SSC11678,89,3,93,534,228,29,792,1771,155,2720
SSC11679,0,0,0,11,5,0,20,37,3,56
SSC11680,6,0,6,28,22,3,47,126,28,207
SSC11681,0,0,0,28,19,0,46,105,21,174
SSC11682,57,7,65,3388,843,87,4318,7697,365,12380
SSC11683,0,0,0,0,0,0,3,0,3,7
SSC11684,12,0,12,581,174,27,774,1231,138,2143
SSC11685,108,24,139,360,183,20,567,1702,196,2458
SSC11686,0,0,0,0,0,0,0,0,0,0
SSC11687,0,0,0,0,0,0,0,0,0,0
SSC11688,0,0,0,12,3,0,16,22,7,41
SSC11689,0,0,0,94,23,0,121,221,29,368
SSC11690,0,0,0,34,5,0,36,62,18,117
SSC11691,0,0,0,16,3,0,16,42,5,62
SSC11692,0,0,0,19,9,0,32,40,0,71
SSC11693,18,3,18,311,97,8,422,640,91,1149
SSC11694,3,0,4,22,3,0,21,45,19,96
SSC11695,0,0,0,8,3,0,14,40,3,50
SSC11696,0,0,0,6,3,0,6,27,0,35
SSC11697,0,0,0,3,0,0,4,29,6,38
SSC11698,0,0,0,15,3,0,14,42,6,56
SSC11699,0,0,3,3,3,0,3,22,4,29
SSC11700,3,0,3,28,5,4,40,70,17,127
SSC11701,3,0,3,17,6,0,20,53,14,85
SSC11702,0,0,0,29,10,0,40,133,17,184
SSC11703,0,0,0,8,0,0,4,44,10,63
SSC11704,0,0,0,584,159,13,751,1085,166,2010
SSC11705,3,0,3,70,20,0,95,197,20,315
SSC11706,0,0,0,20,0,0,20,45,9,69
SSC11707,3,0,3,11,3,0,14,69,6,91
SSC11708,0,0,0,32,22,0,53,83,13,145
SSC11709,4,0,4,61,24,3,86,200,24,316
SSC11710,0,0,0,12,6,0,14,20,0,38
SSC11711,394,87,486,1940,788,110,2834,6712,924,10467
SSC11712,3,0,3,55,20,3,78,195,31,305
SSC11713,0,0,0,3,0,0,3,7,3,10
SSC11714,0,0,0,9,4,0,16,31,7,53
SSC11715,0,0,0,18,5,0,29,56,6,82
SSC11716,0,0,0,10,7,0,12,31,3,52
SSC11717,0,0,0,3,0,0,3,22,0,24
SSC11718,237,16,261,1433,397,26,1851,4128,300,6281
SSC11719,0,0,0,0,0,0,0,4,3,11
SSC11720,53,39,85,100,36,5,143,383,138,658
SSC11721,160,53,208,1223,553,46,1822,4317,721,6854
SSC11722,40,8,43,466,155,14,637,2119,352,3112
SSC11723,0,0,0,10,7,0,19,39,8,65
SSC11724,0,0,0,3,0,0,3,15,0,22
SSC11725,436,224,667,3320,1410,158,4888,11159,2308,18355
SSC11726,0,0,0,0,0,0,0,7,0,7
SSC11727,0,0,0,4,0,0,4,27,3,29
SSC11728,0,0,0,0,0,0,7,14,0,18
SSC11729,0,0,0,69,19,0,91,149,3,250
SSC11730,0,0,0,29,0,0,31,35,3,69
SSC11731,6,0,5,37,11,0,51,123,38,214
SSC11732,0,0,0,6,5,0,12,33,3,40
SSC11733,413,63,471,1475,676,95,2248,5283,991,8520
SSC11734,0,0,0,0,0,0,0,3,0,3
SSC11735,0,0,0,7,3,0,8,34,0,52
SSC11736,0,0,0,15,0,0,15,51,21,81
SSC11737,0,0,0,0,0,0,0,0,0,0
SSC11738,90,5,99,2381,568,25,2975,8334,1151,12460
SSC11739,233,94,323,212,118,3,338,1183,200,1716
SSC11740,0,0,0,10,4,0,12,48,15,75
SSC11741,0,0,0,52,13,0,65,173,18,264
SSC11742,3,0,3,58,26,0,78,142,30,253
SSC11743,28,5,33,598,260,14,868,1539,94,2497
SSC11744,0,0,0,0,8,0,9,25,3,34
SSC11745,3,0,3,29,14,4,47,88,10,144
SSC11746,0,0,0,0,0,0,0,0,0,0
SSC11747,0,0,0,0,0,0,0,13,0,13
SSC11748,0,0,0,0,0,0,0,3,0,3
SSC11749,0,0,0,3,3,0,3,24,4,31
SSC11750,0,0,0,0,0,0,0,18,0,20
SSC11751,0,0,0,0,0,0,0,0,0,0
SSC11752,0,0,0,22,6,0,35,83,17,138
SSC11753,135,35,175,978,459,40,1475,3515,302,5293
SSC11754,13,74,83,0,0,0,0,31,138,169
SSC11755,9,0,6,70,32,3,104,325,27,454
SSC11756,89,10,104,1888,635,31,2547,6733,596,9875
SSC11757,480,49,539,3671,985,104,4756,12209,1480,18453
SSC11758,0,0,0,9,4,0,13,49,9,70
SSC11759,0,0,0,48,37,0,82,145,40,267
SSC11760,3,0,3,24,9,0,39,113,46,197
SSC11761,45,0,50,682,230,20,938,2980,183,4096
SSC11762,0,0,0,4,0,0,4,10,3,17
SSC11763,16,4,19,93,38,3,128,346,82,565
SSC11764,0,0,0,188,41,9,239,328,23,592
SSC11765,0,0,0,16,9,0,25,33,3,66
SSC11766,0,0,0,3,0,0,3,6,4,12
SSC11767,3,0,3,79,74,4,156,396,39,589
SSC11768,0,0,0,28,13,0,45,49,9,104
SSC11769,35,6,46,120,75,0,193,797,100,1084
SSC11770,143,27,174,903,319,35,1253,3082,343,4678
SSC11771,0,0,0,20,10,0,25,56,11,93
SSC11772,0,0,0,6,0,0,6,20,10,31
SSC11773,0,0,0,49,16,3,71,100,15,187
SSC11774,11,0,10,1128,236,30,1395,2030,254,3673
SSC11775,0,0,0,24,11,0,32,75,8,117
SSC11776,106,24,125,332,165,11,509,1454,205,2165
SSC11777,3,0,3,34,14,0,55,123,28,203
SSC11778,16,0,20,570,173,14,760,1207,148,2121
SSC11779,0,0,0,8,9,0,18,32,6,58
SSC11780,0,0,0,7,9,3,20,39,11,71
SSC11781,275,87,365,3873,1475,118,5466,11530,1092,18089
SSC11782,360,156,518,2757,1016,105,3878,8779,1764,14425
SSC11783,0,0,0,18,10,0,32,34,5,61
SSC11784,3,0,3,34,16,0,47,127,28,203
SSC11785,12,0,12,217,101,10,324,651,51,1028
SSC11786,3,0,3,97,58,7,158,319,40,526
SSC11787,0,0,0,9,0,0,13,16,0,23
SSC11788,0,0,0,0,0,0,0,7,0,6
SSC11789,3,0,3,3,4,0,5,32,7,44
SSC11790,307,62,370,3322,839,82,4245,11221,1605,17072
SSC11791,57,10,72,819,245,12,1081,2426,251,3764
SSC11792,10,13,17,59,18,0,76,299,96,472
SSC11793,0,0,0,6,0,0,6,17,13,33
SSC11794,50,6,57,388,121,14,516,1181,264,1966
SSC11795,15,6,16,233,86,15,336,935,92,1366
SSC11796,0,0,0,42,9,0,55,91,26,167
SSC11797,0,0,0,16,5,0,18,75,15,107
SSC11798,0,0,0,0,0,0,0,3,0,9
SSC11799,0,0,0,9,7,0,17,16,10,47
SSC11800,8,4,9,41,22,0,63,156,29,252
SSC11801,3,0,5,74,36,0,111,248,18,374
SSC11802,0,0,3,6,0,0,6,31,6,45
SSC11803,65,12,78,227,129,9,363,868,157,1384
SSC11804,0,0,0,3,0,0,7,6,0,12
SSC11805,12,0,12,216,75,7,301,500,68,868
SSC11806,0,0,3,47,28,4,77,120,12,212
SSC11807,0,0,0,5,0,0,5,6,0,13
SSC11808,0,0,0,18,9,3,24,103,47,176
SSC11809,0,0,0,36,3,0,36,109,15,164
SSC11810,6,0,6,52,8,0,62,112,14,190
SSC11811,0,0,0,3,0,0,3,3,0,6
SSC11812,245,45,288,1581,566,77,2219,4668,776,7668
SSC11813,5,3,8,106,40,9,159,321,41,523
SSC11814,0,0,0,25,3,0,29,24,7,56
SSC11815,0,0,0,19,8,0,28,28,3,61
SSC11816,0,0,0,0,0,0,0,0,0,0
SSC11817,4,0,4,36,20,0,55,117,22,192
SSC11818,0,0,0,0,0,0,0,0,120,125
SSC11819,0,0,3,5,0,0,4,48,30,80
SSC11820,0,0,0,17,0,0,18,29,3,49
SSC11821,0,0,0,27,8,0,34,48,16,96
SSC11822,66,4,70,286,101,7,397,1036,172,1598
SSC11823,0,0,0,19,9,3,32,89,12,133
SSC11824,42,9,50,542,231,20,788,1729,164,2682
SSC11825,43,6,53,420,150,9,579,1927,118,2625
SSC11826,162,27,189,1390,523,43,1957,3937,338,6230
SSC11827,144,11,151,1343,494,43,1888,3281,210,5373
SSC11828,250,18,270,1075,334,42,1448,3528,282,5254
SSC11829,0,0,0,3,0,0,4,4,0,7
SSC11830,52,6,61,345,209,27,580,1391,164,2128
SSC11831,0,0,3,36,6,0,47,129,22,203
SSC11832,12,0,12,78,35,0,116,303,17,433
SSC11833,0,0,0,3,3,0,3,28,8,39
SSC11834,3,0,3,23,8,0,35,61,10,101
SSC11835,16,0,18,73,42,6,121,279,29,429
SSC11836,0,0,0,0,6,0,6,8,3,19
SSC11837,0,0,0,3,4,0,3,7,0,11
SSC11838,78,69,146,513,288,34,841,2583,312,3733
SSC11839,25,0,26,156,73,5,239,520,46,799
SSC11840,10,0,9,149,57,12,212,461,39,714
SSC11841,92,10,108,571,261,35,867,2044,280,3196
SSC11842,0,0,0,88,32,8,132,271,39,445
SSC11843,138,17,164,1192,333,58,1583,2785,265,4629
SSC11844,196,22,217,611,201,14,826,1793,171,2783
SSC11845,0,0,0,7,0,0,6,34,10,52
SSC11846,3,0,3,3,15,0,16,68,13,102
SSC11847,0,0,0,12,7,0,14,56,17,93
SSC11848,0,0,0,0,0,0,0,4,0,4
SSC11849,0,0,3,24,4,0,30,118,7,157
SSC11850,17,0,17,194,69,7,264,637,122,1025
SSC11851,62,31,90,255,106,13,370,1131,195,1699
SSC11852,7,0,7,26,21,0,44,140,16,203
SSC11853,0,0,0,35,3,0,34,74,3,108
SSC11854,3,0,3,33,13,0,46,153,20,216
SSC11855,0,0,0,11,3,0,15,23,7,46
SSC11856,0,0,0,15,0,0,15,14,0,30
SSC11857,0,0,0,14,0,0,14,31,0,47
SSC11858,77,17,96,243,160,17,418,2098,231,2744
SSC11859,31,11,42,2438,617,76,3128,4406,298,7832
SSC11860,84,8,93,1080,101,5,1190,3070,520,4775
SSC11861,3,0,3,67,37,0,105,207,33,342
SSC11862,0,0,0,6,3,0,8,38,8,60
SSC11863,0,0,0,0,3,0,3,9,3,16
SSC11864,0,0,0,3,0,0,9,16,3,26
SSC11865,4,0,4,45,25,0,67,162,21,251
SSC11866,23,3,27,819,219,29,1064,2141,206,3420
SSC11867,0,0,0,0,0,0,0,0,0,0
SSC11868,25,8,38,46,66,0,108,423,78,611
SSC11869,14,0,14,32,23,0,61,199,16,279
SSC11870,0,0,0,5,0,0,9,0,0,9
SSC11871,0,0,0,0,0,0,0,17,3,22
SSC11872,3,0,3,103,23,3,133,211,9,350
SSC11873,71,7,81,125,70,0,199,782,96,1081
SSC11874,34,17,52,301,129,13,448,1241,307,1990
SSC11875,3,0,3,45,22,0,68,190,35,295
SSC11876,0,0,0,3,0,0,6,4,3,10
SSC11877,12,3,17,366,75,4,442,5478,1133,7055
SSC11878,0,0,0,0,0,0,0,7,0,6
SSC11879,0,0,0,8,3,0,11,9,0,22
SSC11880,0,0,0,214,83,3,300,432,26,754
SSC11881,47,7,60,958,327,63,1353,2350,180,3874
SSC11882,0,0,0,12,13,0,26,39,8,73
SSC11883,253,21,270,1064,475,38,1579,3082,189,4856
SSC11884,10,3,17,51,28,3,80,327,57,470
SSC11885,0,0,0,6,0,0,6,18,3,31
SSC11886,30,5,33,802,308,27,1144,2757,413,4308
SSC11887,29,7,33,379,128,6,521,1546,290,2359
SSC11888,9,3,10,422,187,20,626,911,70,1600
SSC11889,0,0,0,0,0,0,0,6,0,8
SSC11890,70,9,83,1373,408,64,1852,2809,266,4928
SSC11891,7,0,10,75,40,3,121,250,28,398
SSC11892,42,9,54,176,96,6,278,600,92,971
SSC11893,0,0,0,0,0,0,4,15,3,18
SSC11894,0,0,4,22,8,0,29,65,19,106
SSC11895,8,3,14,46,22,0,73,189,30,295
SSC11896,0,0,0,24,5,0,33,55,13,98
SSC11897,0,0,3,39,11,0,55,129,17,202
SSC11898,3,0,3,19,4,0,24,79,10,112
SSC11899,0,0,3,14,4,0,19,87,15,117
SSC11900,0,0,0,82,20,0,100,184,27,316
SSC11901,0,0,0,0,3,0,3,10,0,8
SSC11902,21,3,29,162,45,6,216,419,37,674
SSC11903,0,0,0,4,3,0,14,72,12,97
SSC11904,0,0,0,27,6,0,29,30,5,65
SSC11905,9,7,19,513,161,22,698,1171,155,2022
SSC11906,0,0,0,32,13,0,43,97,16,157
SSC11907,0,3,3,29,15,0,42,84,19,142
SSC11908,0,0,0,0,3,0,3,16,4,25
SSC11909,3,0,3,105,59,8,172,344,23,532
SSC11910,0,0,0,9,3,0,14,18,3,31
SSC11911,41,5,46,964,191,20,1175,2881,464,4521
SSC11912,34,11,48,220,71,8,302,748,145,1198
SSC11913,4,0,4,45,17,0,67,171,16,247
SSC11914,80,17,96,1056,526,58,1638,3107,347,5094
SSC11915,59,4,67,1718,510,49,2271,6110,440,8821
SSC11916,10,0,10,73,48,8,127,213,31,371
SSC11917,20,3,22,481,189,22,697,1335,126,2160
SSC11918,3,0,3,17,5,0,16,41,7,63
SSC11919,0,0,0,5,0,0,8,31,0,42
SSC11920,49,27,81,236,92,9,342,885,169,1394
SSC11921,11,0,12,184,78,8,265,453,36,756
SSC11922,0,0,0,0,0,0,0,36,9,46
SSC11923,0,0,0,10,0,0,9,35,7,53
SSC11924,5,0,12,225,124,7,358,653,88,1098
SSC11925,10,3,15,250,33,4,286,662,62,1007
SSC11926,13,0,13,1135,200,24,1363,2562,316,4247
SSC11927,0,0,0,0,0,0,0,4,0,4
SSC11928,0,0,0,3,3,3,7,22,11,43
SSC11929,52,8,61,1078,189,18,1278,4225,499,6003
SSC11930,34,0,38,1436,163,15,1611,4690,927,7228
SSC11931,0,0,0,14,5,0,17,64,14,89
SSC11932,0,0,0,4,0,0,4,8,5,21
SSC11933,0,0,0,16,4,0,16,36,12,70
SSC11934,0,0,0,25,12,0,39,43,3,83
SSC11935,10,0,15,780,139,14,936,1691,131,2759
SSC11936,348,46,403,4397,924,71,5397,11664,991,18051
SSC11937,51,5,57,1350,455,40,1849,2901,154,4910
SSC11938,3,0,3,7,13,0,23,66,3,92
SSC11939,6,3,7,59,22,7,81,189,39,318
SSC11940,0,0,0,15,3,0,20,47,0,71
SSC11941,6,3,12,91,35,3,133,271,55,452
SSC11942,73,9,82,1749,586,95,2434,3585,212,6237
SSC11943,26,4,30,247,144,4,395,995,132,1522
SSC11944,0,0,0,27,9,0,36,103,18,153
SSC11945,0,0,0,3,0,0,3,25,4,35
SSC11946,0,0,0,9,0,0,11,43,5,60
SSC11947,0,0,0,5,3,0,8,13,4,25
SSC11948,0,0,0,10,6,0,16,33,52,97
SSC11949,0,0,0,0,0,0,0,0,0,0
SSC11950,72,14,89,375,149,19,543,1436,290,2274
SSC11951,12,0,12,805,196,19,1023,2069,203,3294
SSC11952,0,0,0,19,7,0,28,67,9,110
SSC11953,0,0,0,0,0,0,0,0,8,10
SSC11954,540,36,583,1645,589,45,2269,4903,453,7625
SSC11955,13,0,17,682,178,32,898,1163,141,2194
SSC11956,0,0,0,7,3,0,14,63,9,78
SSC11957,0,0,0,0,0,0,0,0,0,0
SSC11958,0,0,0,14,15,0,30,94,11,130
SSC11959,3,0,3,6,3,0,13,29,0,41
SSC11960,12,3,21,103,92,0,196,415,45,651
SSC11961,7,0,7,6,14,0,22,99,5,136
SSC11962,0,0,0,12,5,0,23,62,34,115
SSC11963,75,5,84,719,260,32,1007,2680,283,3967
SSC11964,427,50,478,4566,1122,70,5763,18474,1403,25642
SSC11965,41,5,48,437,164,7,613,1518,97,2227
SSC11966,26,6,32,70,66,0,137,518,78,734
SSC11967,4,0,5,0,18,0,23,80,4,110
SSC11968,7,0,9,56,9,0,70,260,26,356
SSC11969,0,0,0,6,4,0,14,31,0,48
SSC11970,3,0,3,23,12,0,43,122,26,188
SSC11971,0,0,4,27,3,0,33,99,24,152
SSC11972,0,0,0,21,11,0,30,77,11,117
SSC11973,0,0,0,6,3,0,12,12,0,23
SSC11974,126,3,133,1171,654,29,1859,4044,174,6073
SSC11975,59,11,67,152,63,0,220,1138,174,1528
SSC11976,0,0,0,6,0,0,7,20,0,28
SSC11977,0,0,0,14,3,0,23,48,7,78
SSC11978,161,24,185,2565,913,61,3535,7566,841,11945
SSC11979,17,0,19,145,55,13,211,534,65,819
SSC11980,0,0,0,0,3,0,10,16,0,28
SSC11981,281,54,340,1686,698,78,2465,5952,869,9286
SSC11982,0,0,0,3,0,0,6,14,6,29
SSC11983,4,0,4,140,42,0,191,354,45,590
SSC11984,0,0,0,4,0,0,6,22,0,23
SSC11985,0,0,0,3,3,0,3,19,0,25
SSC11986,0,0,0,0,0,0,0,4,0,7
SSC11987,0,0,0,17,11,0,25,32,11,63
SSC11988,0,0,0,0,0,0,0,8,0,7
SSC11989,0,0,0,3,3,0,6,19,0,31
SSC11990,9,4,15,278,122,19,423,1059,115,1604
SSC11991,0,0,0,29,3,3,35,143,105,277
SSC11992,3,0,3,16,8,0,19,39,9,73
SSC11993,0,0,3,19,3,4,24,81,4,106
SSC11994,0,0,0,0,0,0,0,10,0,9
SSC11995,0,0,0,6,0,0,6,10,3,17
SSC11996,0,0,0,0,0,0,0,0,0,0
SSC11997,0,0,0,0,0,0,0,0,0,0
SSC11998,31,3,33,214,138,20,369,891,112,1379
SSC11999,4,0,4,35,13,0,46,126,16,188
SSC12000,105,16,124,860,377,37,1271,2792,344,4407
SSC12001,206,22,234,1171,349,43,1566,3041,265,4866
SSC12002,12,3,14,50,26,0,82,191,36,311
SSC12003,0,0,0,0,4,0,4,8,0,13
SSC12004,3,0,3,58,16,0,77,110,16,206
SSC12005,0,0,0,15,6,0,20,35,8,68
SSC12006,0,0,0,13,4,0,19,24,18,61
SSC12007,0,0,0,5,0,0,11,25,0,29
SSC12008,0,0,0,12,9,3,25,98,14,131
SSC12009,0,0,0,3,3,0,3,3,5,19
SSC12010,0,0,0,7,0,0,12,19,3,32
SSC12011,0,0,0,22,4,0,27,47,0,73
SSC12012,0,0,0,32,14,3,48,77,11,133
SSC12013,0,0,0,0,0,0,0,0,0,3
SSC12014,21,3,30,122,53,7,182,538,132,850
SSC12015,0,0,0,0,0,0,0,11,0,11
SSC12016,33,6,46,2010,508,56,2572,4370,288,7227
SSC12017,0,0,0,28,17,0,40,53,13,110
SSC12018,3,0,3,6,4,3,13,44,4,65
SSC12019,0,0,0,18,7,0,19,19,10,49
SSC12020,0,0,0,0,0,0,3,4,0,10
SSC12021,3,0,3,70,31,4,98,152,44,299
SSC12022,0,0,0,17,3,0,19,73,11,99
SSC12023,112,3,124,366,138,18,519,1813,170,2508
SSC12024,41,3,44,391,288,20,698,1203,81,1978
SSC12025,0,0,0,0,0,0,0,0,0,0
SSC12026,0,0,0,63,28,3,98,176,39,312
SSC12027,17,0,17,302,122,4,429,778,110,1313
SSC12028,0,0,0,7,0,0,7,18,3,30
SSC12029,0,0,0,0,0,0,0,4,0,4
SSC12030,18,4,22,398,119,18,531,1426,255,2211
SSC12031,0,0,0,0,0,0,0,19,7,17
SSC12032,28,9,36,402,158,10,569,949,132,1653
SSC12033,0,0,0,7,3,0,10,40,13,56
SSC12034,3,0,0,0,0,0,3,24,8,35
SSC12035,0,0,0,17,13,0,28,56,14,95
SSC12036,0,0,0,0,0,0,0,13,0,13
SSC12037,4,0,3,36,13,0,46,171,64,291
SSC12038,0,0,0,0,0,0,0,0,0,0
SSC12039,0,0,0,7,0,0,5,11,9,17
SSC12040,0,0,0,20,7,0,31,35,9,72
SSC12041,0,0,0,5,5,0,8,47,5,57
SSC12042,12,0,11,1272,246,49,1570,2035,177,3786
SSC12043,0,0,0,9,0,0,9,4,0,17
SSC12044,3,0,3,32,18,0,47,120,15,187
SSC12045,37,15,49,199,126,10,327,736,71,1138
SSC12046,80,18,99,539,254,28,822,2032,1252,4110
SSC12047,0,0,0,12,13,0,26,35,9,66
SSC12048,60,5,64,481,172,18,669,1192,97,1960
SSC12049,3,0,3,26,12,0,40,83,17,137
SSC12050,0,0,0,39,17,3,60,138,28,225
SSC12051,5,4,10,115,35,12,164,307,63,536
SSC12052,0,0,0,34,11,0,43,122,14,179
SSC12053,4,0,5,21,3,0,23,42,7,74
SSC12054,0,0,0,13,6,0,24,64,6,95
SSC12055,202,23,219,859,559,44,1462,2950,248,4655
SSC12056,0,0,0,0,0,0,0,0,0,0
SSC12057,26,12,31,146,52,11,209,731,183,1122
SSC12058,0,0,0,28,7,0,36,61,22,120
SSC12059,0,0,0,19,3,0,22,55,12,86
SSC12060,13,0,13,96,41,0,140,315,22,471
SSC12061,14,3,19,110,69,10,183,481,91,755
SSC12062,0,0,0,13,0,0,13,19,0,33
SSC12063,0,0,0,6,3,0,11,29,5,48
SSC12064,6,0,6,39,19,0,56,183,19,262
SSC12065,4,0,4,12,12,0,22,88,3,111
SSC12066,0,0,0,26,3,0,30,73,9,111
SSC12067,226,85,314,543,256,21,823,2123,426,3374
SSC12068,0,0,0,51,11,3,63,392,116,569
SSC12069,0,3,3,0,0,0,0,3,3,6
