LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA13010,0,0,0,5,0,5,0,0,0,0,0,0,0,4,9,976,999,1976,82,101,183,65,3,69,21,4,28,14,0,10,16,9,26,90,93,186,1272,1216,2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,17,15,4,22,0,0,0,0,0,0,5,0,5,8,0,8,256,240,497,107,178,285,25,22,39,1672,1666,3336
LGA13310,9,0,9,30,8,38,0,0,0,0,0,0,14,21,34,5247,4456,9702,391,415,806,162,13,173,40,0,43,26,4,32,40,10,56,237,213,447,6192,5148,11339,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,13,53,27,80,57,40,94,0,0,0,0,0,0,4,0,4,10,0,10,541,751,1291,586,934,1514,51,47,101,7430,6922,14350
LGA13340,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,1630,1493,3118,93,82,171,81,8,81,23,8,30,7,8,13,24,6,28,124,104,224,1982,1700,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,8,28,21,15,30,0,0,0,0,0,0,0,0,4,3,0,6,410,378,788,161,268,428,36,25,61,2607,2396,5001
LGA13450,0,0,0,5,14,18,4,8,10,0,0,0,16,26,36,5495,4433,9931,537,681,1216,97,0,99,45,8,51,33,9,41,63,21,81,212,165,378,6507,5354,11859,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,4,0,9,0,3,4,0,0,0,4,4,8,44,27,72,50,35,92,0,0,0,0,0,0,0,0,0,0,0,0,324,398,726,301,612,909,58,51,103,7243,6450,13690
LGA13550,0,0,0,113,26,137,0,0,0,0,0,0,6,4,8,1975,1812,3791,190,145,334,74,0,77,15,0,18,8,0,11,17,4,28,95,80,175,2496,2079,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,13,3,0,3,0,0,0,15,6,17,20,3,29,31,9,45,0,0,0,0,0,0,0,0,0,0,0,0,255,345,596,276,329,610,23,21,40,3091,2789,5873
LGA13660,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,546,517,1063,39,35,74,36,3,37,16,4,14,5,0,5,17,7,31,65,55,122,720,638,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,5,0,6,5,5,9,0,0,0,0,0,0,3,0,3,3,0,3,228,190,424,60,89,148,12,5,15,1028,920,1952
LGA13800,123,87,211,15,17,32,6,0,6,0,0,3,3,9,16,10028,6851,16881,497,490,987,737,10,754,103,13,114,43,12,54,70,55,128,309,241,552,11932,7797,19729,26,25,43,0,0,0,0,0,0,40,34,72,9,8,15,3,4,10,77,73,152,0,0,0,0,0,0,9,4,7,3,5,9,3,4,5,13,12,19,126,45,168,219,129,345,10,10,18,3,0,0,0,5,3,18,12,32,3179,5266,8440,1960,2730,4686,73,54,130,17378,15986,33364
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,367,820,40,26,70,17,0,17,6,0,6,4,7,11,4,4,13,48,60,112,586,473,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,72,138,22,49,73,8,10,20,681,608,1286
LGA13910,0,0,0,5,6,8,3,0,3,0,0,0,9,5,10,2735,2536,5276,208,181,387,129,9,138,24,10,28,10,0,10,53,15,69,209,177,378,3383,2933,6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,26,8,38,27,12,40,0,0,0,0,0,0,6,0,6,6,0,6,473,512,984,213,411,622,51,41,87,4148,3910,8050
LGA14000,1131,1088,2220,174,170,344,0,0,3,0,0,4,22,15,45,12529,9978,22507,513,1058,1570,326,4,328,167,15,181,79,18,103,164,111,276,722,872,1590,15823,13341,29167,275,312,586,0,0,0,12,5,14,183,104,288,35,76,109,26,16,44,531,518,1049,0,0,0,0,0,0,25,12,34,14,9,29,4,3,10,39,31,70,129,82,216,700,629,1327,90,92,187,0,3,4,7,0,7,104,99,199,18052,17031,35090,3529,5275,8804,122,109,221,38325,36477,74803
LGA14100,0,4,4,68,46,108,14,8,25,0,0,0,5,5,5,1156,726,1887,34,80,117,21,0,21,17,0,17,8,3,12,19,3,25,66,71,138,1413,953,2363,5,7,9,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,12,11,16,0,0,0,0,0,4,4,6,9,0,0,0,0,0,3,10,11,20,10,3,12,25,21,47,0,3,3,0,0,0,0,0,0,0,3,5,1509,1537,3041,325,423,745,6,11,16,3274,2950,6220
LGA14170,1812,1531,3339,750,892,1640,64,26,87,83,77,165,105,117,232,12564,8486,21050,573,1003,1576,230,3,237,532,97,629,834,324,1157,263,169,432,1605,1879,3487,19411,14609,34021,518,515,1033,8,9,12,38,38,79,58,42,101,16,52,65,59,40,100,697,697,1395,9,18,32,33,37,70,20,19,36,16,33,52,31,33,64,113,132,245,180,105,284,990,932,1925,137,107,244,20,16,30,3,3,9,163,123,281,24760,29075,53838,4922,6925,11849,164,129,291,50404,51803,102207
LGA14220,0,0,0,7,0,13,0,0,0,0,0,0,3,7,14,2372,2202,4573,190,230,423,92,0,97,47,9,57,7,5,13,26,10,39,123,132,261,2866,2605,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,40,27,14,41,0,0,0,0,0,0,0,0,0,0,0,0,398,444,844,244,386,633,37,31,73,3580,3489,7070
LGA14300,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,885,737,1618,109,68,176,31,0,31,4,0,9,0,0,0,9,10,18,43,46,90,1085,854,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,11,0,11,9,5,16,0,0,0,0,0,0,3,0,3,3,0,3,159,160,320,83,123,209,5,10,21,1352,1157,2514
LGA14350,0,0,0,19,14,36,0,0,0,0,0,0,12,4,12,3515,3505,7020,253,308,559,173,8,172,31,3,38,33,14,39,30,18,46,219,188,404,4278,4062,8341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,7,38,14,50,39,17,58,0,0,0,0,0,0,0,0,5,3,0,4,432,572,1002,433,718,1156,58,46,107,5250,5422,10665
LGA14400,24,10,31,3,6,9,0,0,0,0,0,0,0,0,0,2907,2231,5137,120,126,250,79,0,80,16,0,21,26,3,26,19,14,33,114,128,239,3303,2530,5830,4,0,5,0,0,0,0,0,0,7,0,6,0,3,0,0,0,0,8,4,12,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,4,27,0,24,39,13,51,0,0,0,0,0,0,0,0,0,0,0,0,1226,1573,2796,608,887,1496,20,13,35,5199,5015,10213
LGA14500,693,677,1368,97,107,205,0,0,0,0,0,0,15,17,33,8289,6596,14880,380,751,1131,122,3,127,93,13,106,89,16,107,119,95,211,337,443,782,10235,8717,18954,99,140,236,0,0,0,6,3,6,91,70,164,27,38,59,21,11,34,239,267,502,0,0,0,0,0,0,16,13,24,7,7,20,3,0,4,23,20,46,61,42,106,327,325,652,46,30,72,5,7,5,0,0,0,51,32,86,16733,15389,32127,2530,4084,6613,80,71,153,29958,28625,58583
LGA14550,0,0,0,9,9,21,0,0,0,0,0,0,0,0,0,1026,980,2003,73,77,146,44,0,48,19,3,24,7,0,8,17,3,19,106,98,202,1301,1171,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,4,16,11,4,14,0,0,0,0,0,0,0,0,4,0,0,4,314,332,645,137,196,330,29,23,46,1794,1729,3518
LGA14600,0,0,0,14,6,18,0,0,0,0,0,0,0,0,5,852,737,1588,59,70,124,44,6,44,8,4,9,8,3,6,21,8,28,80,74,159,1087,901,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,22,22,10,27,0,0,0,0,0,0,4,0,3,4,0,3,173,154,328,55,105,160,5,9,22,1348,1179,2526
LGA14650,86,56,142,186,262,444,3,4,5,0,3,5,36,29,60,30268,24284,54550,1514,1796,3309,772,19,797,352,44,392,181,41,229,178,117,297,520,541,1059,34098,27192,61293,26,18,46,0,0,0,4,0,5,23,19,38,13,6,16,9,0,6,66,42,105,0,0,0,0,4,4,13,18,29,22,38,61,4,10,13,40,60,104,271,135,405,379,240,618,18,21,39,9,6,16,8,5,10,30,30,67,8359,11578,19933,6012,9129,15133,196,167,367,49071,48339,97411
LGA14700,100,75,172,257,290,542,8,0,6,0,0,0,11,20,28,2857,2087,4946,116,285,409,33,0,40,86,7,96,81,16,98,44,34,80,322,358,674,3916,3178,7093,61,62,132,4,3,8,0,0,0,8,5,20,4,0,7,7,0,10,92,79,168,0,0,0,7,0,7,17,7,20,10,13,26,11,12,20,43,32,79,28,20,46,158,135,293,12,11,22,4,3,9,0,0,0,15,14,30,6093,6064,12160,883,1328,2217,25,26,51,11089,10751,21836
LGA14750,3,0,6,7,0,3,0,0,0,0,0,0,3,0,4,1956,1676,3624,155,188,342,44,0,47,16,0,17,24,0,25,18,4,28,103,81,184,2317,1954,4275,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,24,15,41,30,15,45,0,0,0,0,0,0,3,0,6,3,0,6,172,183,358,131,226,357,26,11,35,2680,2393,5073
LGA14850,0,0,0,34,25,58,4,0,3,0,0,0,13,13,29,6431,5804,12229,394,516,910,187,3,192,85,9,96,62,14,78,51,20,72,293,257,551,7558,6658,14216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,3,3,7,0,0,0,6,8,14,68,39,117,81,49,132,0,0,0,6,0,5,3,3,6,11,3,15,1235,1631,2863,1048,1654,2708,57,68,119,9982,10065,20045
LGA14870,4,5,14,9,3,10,0,0,0,0,0,0,9,9,11,2870,2384,5256,163,159,319,83,8,86,19,0,23,16,4,20,14,12,28,167,150,317,3346,2731,6075,3,0,3,0,0,0,0,0,0,4,0,8,0,0,0,0,3,3,7,4,10,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,3,6,24,13,39,35,20,53,0,5,5,0,0,0,0,0,0,0,5,5,414,618,1037,482,590,1072,32,39,69,4305,4000,8304
LGA14900,684,735,1424,236,316,555,7,3,10,0,6,0,66,43,111,22986,15580,38560,1204,1936,3142,686,11,698,161,10,168,123,20,145,305,215,519,714,652,1357,27164,19519,46687,239,263,499,0,0,0,7,3,15,197,148,340,29,62,94,20,12,34,493,489,981,0,0,0,0,0,0,17,21,35,26,42,67,8,10,17,48,71,119,233,134,368,781,688,1467,111,119,231,5,14,22,12,3,14,132,133,270,11341,14880,26219,7934,6907,14840,267,202,472,47629,42330,89955
LGA14920,0,0,0,11,3,14,0,0,0,0,0,0,0,0,0,990,823,1806,38,46,87,56,0,59,6,0,6,0,4,5,10,8,19,75,73,157,1193,956,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,14,0,12,18,5,18,0,0,0,0,0,0,0,0,0,0,0,0,240,252,493,149,211,356,12,8,26,1615,1431,3044
LGA14950,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,427,409,837,20,21,43,31,0,31,0,0,0,6,0,3,16,0,12,62,41,101,561,480,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,137,102,238,26,73,103,7,4,13,750,663,1410
LGA15050,83,53,140,51,64,119,7,0,6,0,0,0,17,11,32,14430,11120,25551,762,804,1564,281,3,290,130,8,138,55,13,66,88,70,163,209,262,472,16118,12415,28532,8,20,25,0,0,0,6,7,11,21,9,32,5,4,8,18,5,20,56,44,103,0,0,0,0,0,0,0,0,3,4,12,12,0,0,4,9,14,18,139,63,197,200,115,319,16,16,32,0,0,0,6,0,3,19,23,46,2841,4529,7369,2731,4156,6889,75,56,126,21984,21301,43280
LGA15240,0,5,4,58,55,106,3,0,5,4,0,4,17,21,38,11076,10638,21712,706,890,1597,439,13,452,120,17,137,82,26,108,101,53,153,623,580,1211,13228,12297,25526,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,7,5,8,0,0,0,0,0,0,0,3,0,4,4,16,7,3,6,10,12,21,142,70,207,154,80,240,0,0,0,0,0,4,3,5,10,9,5,10,1846,2205,4055,1518,2300,3814,200,175,373,16957,17069,34019
LGA15270,0,0,0,11,12,28,0,0,5,0,0,0,7,9,15,4064,3312,7378,300,249,553,111,0,120,40,3,43,24,0,28,34,13,44,209,230,436,4801,3837,8635,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,63,42,103,67,45,110,0,0,0,0,0,0,4,0,8,4,0,8,546,655,1201,555,829,1390,39,46,88,6012,5417,11426
LGA15300,0,0,0,13,6,21,0,0,5,0,0,0,8,4,10,1874,1619,3496,131,159,291,79,0,81,14,0,16,10,5,17,28,11,36,129,118,252,2285,1936,4225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,4,24,7,33,24,12,35,0,0,0,0,0,0,0,0,0,0,0,0,222,307,530,128,224,354,30,22,55,2694,2504,5199
LGA15350,3,9,10,196,220,419,37,8,41,0,0,0,5,8,15,1646,1162,2809,71,142,215,14,0,14,54,11,66,38,13,50,41,36,76,166,262,434,2283,1863,4147,30,22,52,6,6,6,0,0,0,3,0,3,0,0,0,0,0,0,34,25,62,7,0,15,5,3,7,10,12,19,3,5,10,5,10,11,28,29,57,23,22,46,90,74,165,10,11,17,0,3,8,4,0,3,15,12,28,4084,4241,8321,579,871,1448,24,20,47,7069,7081,14153
LGA15520,0,0,0,12,9,19,0,0,0,0,0,0,11,0,12,1925,1654,3585,103,119,227,51,0,51,19,7,25,24,10,37,23,6,31,118,109,228,2297,1916,4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,8,40,31,12,42,0,0,0,0,0,0,8,0,8,8,0,8,364,395,754,193,369,559,41,32,75,2928,2725,5646
LGA15560,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,544,444,991,36,28,65,30,0,31,9,0,10,3,4,9,22,3,24,74,56,127,721,541,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,12,8,5,13,0,0,0,0,0,0,4,0,4,4,0,4,122,125,248,39,73,113,5,7,11,895,747,1644
LGA15650,3,0,3,6,0,11,0,0,0,0,0,0,0,0,0,2766,2117,4883,167,161,329,43,0,44,27,8,36,8,3,17,23,18,44,100,115,213,3146,2430,5579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,31,24,11,33,0,0,0,0,0,0,0,0,0,0,0,0,260,424,687,477,533,1006,26,17,46,3938,3416,7359
LGA15700,5,0,4,7,3,13,0,0,0,0,0,0,0,5,3,2240,2308,4548,168,165,332,105,6,106,17,4,23,12,5,19,28,11,36,101,117,215,2683,2617,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,5,33,10,41,29,15,49,0,0,0,0,0,0,0,0,0,0,0,0,403,478,880,309,435,743,63,44,106,3495,3588,7085
LGA15750,0,0,0,67,38,99,0,0,6,0,0,0,0,3,3,2037,1730,3769,135,135,266,76,4,79,0,0,8,18,3,26,24,5,26,121,110,233,2487,2024,4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,22,0,26,5,4,9,3,0,3,30,3,33,29,9,34,58,16,73,0,0,0,0,0,0,0,0,0,0,0,0,298,338,632,232,295,529,24,20,41,3095,2687,5782
LGA15800,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,855,709,1557,60,58,119,24,0,27,11,0,11,0,0,0,14,0,15,59,76,137,1030,848,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,120,132,255,59,122,183,7,6,15,1224,1107,2334
LGA15850,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,902,818,1720,59,51,108,43,0,44,7,5,11,9,0,9,21,7,22,88,68,154,1135,950,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,12,0,19,0,0,0,0,0,0,9,0,7,9,0,7,177,164,345,55,113,166,11,20,36,1400,1251,2647
LGA15900,102,51,156,361,467,826,15,25,40,38,29,61,56,66,119,23984,19492,43475,1066,1519,2583,337,10,348,349,78,422,561,247,813,192,120,312,1071,1181,2252,28133,23285,51423,27,14,44,4,0,4,4,0,7,18,5,23,10,6,15,11,3,19,70,31,102,11,4,12,4,6,9,29,32,58,18,43,66,11,25,43,73,111,180,290,184,472,434,325,755,28,14,43,15,11,29,19,8,24,64,34,98,8914,11197,20111,5241,8156,13393,164,121,284,42945,43117,86062
LGA15950,461,444,909,444,491,933,52,28,83,0,0,3,31,40,69,3822,2791,6613,181,377,557,48,0,48,151,25,179,143,52,196,92,75,166,977,1053,2035,6401,5377,11784,134,161,295,11,12,23,0,10,10,25,14,35,10,9,15,21,10,34,200,208,407,9,5,14,7,9,12,7,6,19,3,12,20,8,15,22,36,51,85,50,29,75,281,286,567,32,35,70,14,3,17,4,0,4,44,38,87,11988,13088,25071,1325,2262,3589,36,47,86,20082,21103,41183
LGA15990,46,22,66,1614,1708,3321,178,69,248,5,6,9,59,64,121,26096,18799,44891,1239,1729,2969,749,12,755,826,113,936,582,164,749,359,222,580,1519,1681,3197,33257,24591,57842,112,100,214,17,11,24,0,0,0,32,9,38,0,0,0,4,4,8,173,121,291,39,26,60,9,9,18,83,73,157,50,100,154,45,29,67,227,235,466,334,182,512,732,538,1265,62,36,100,43,32,76,10,9,20,115,84,194,28880,31089,59959,6264,10235,16500,254,198,451,69496,66725,136223
LGA16100,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,909,685,1593,55,46,96,31,4,35,7,0,4,3,0,3,11,3,12,50,48,97,1063,787,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,3,18,14,7,21,0,0,0,0,0,0,5,0,0,5,0,0,160,152,314,99,136,236,14,17,32,1353,1097,2452
LGA16150,0,3,3,49,31,81,0,0,4,0,0,0,26,43,70,7195,6635,13831,570,603,1175,157,4,164,37,6,45,47,20,66,42,29,76,276,245,519,8413,7622,16036,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,13,0,13,0,5,9,0,4,4,18,9,23,64,38,101,77,55,129,0,0,0,0,3,4,0,0,0,0,3,3,872,1260,2132,790,1255,2043,55,42,94,10210,10237,20446
LGA16200,0,0,0,13,7,23,0,0,3,0,0,0,16,9,17,2155,1958,4116,179,156,329,56,0,56,31,3,32,15,3,16,21,7,25,144,135,279,2627,2280,4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,30,20,12,32,0,0,0,0,0,0,0,4,3,4,4,4,306,360,662,249,309,556,22,10,38,3226,2966,6197
LGA16260,1911,1944,3856,681,957,1633,13,15,33,7,0,9,82,80,163,21885,13995,35882,806,2133,2938,375,0,373,366,38,401,230,69,299,314,239,553,1101,1315,2413,27764,20788,48553,784,1098,1889,8,3,9,32,28,63,176,118,295,35,74,112,52,33,88,1086,1363,2443,5,3,3,3,0,9,65,48,113,30,76,112,13,29,40,117,154,272,238,148,385,1437,1663,3102,245,276,525,15,16,35,10,3,11,275,301,572,27733,26303,54036,7817,8432,16250,319,209,524,65342,57695,123037
LGA16350,796,592,1384,157,229,388,12,0,10,3,0,3,68,63,139,29420,19464,48887,1642,1885,3523,1404,20,1417,301,21,326,106,25,133,253,181,431,557,586,1145,34724,23063,57793,255,293,544,0,0,0,12,5,13,196,124,322,36,42,78,40,13,54,537,484,1017,0,0,0,4,0,4,20,9,30,12,29,42,9,10,23,39,45,94,294,133,430,876,662,1542,112,102,219,11,11,20,14,4,9,137,110,249,10444,16366,26816,6778,8503,15285,241,180,415,53199,48898,102094
LGA16380,11,4,12,55,78,130,0,0,7,0,0,0,13,30,43,11719,11532,23253,746,952,1696,356,12,366,168,24,200,101,27,127,76,44,121,446,430,878,13698,13137,26830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,4,10,15,0,13,17,5,0,3,11,17,31,139,87,229,153,110,270,0,0,0,0,4,4,4,0,4,4,10,13,1922,2470,4397,1475,2443,3917,72,95,171,17328,18267,35597
LGA16400,0,4,5,49,76,127,0,3,3,3,0,3,5,8,14,9738,7627,17361,548,545,1098,317,3,319,77,7,87,52,15,74,69,47,118,288,272,557,11163,8602,19762,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,5,5,3,6,7,9,9,18,5,0,3,20,18,35,110,63,172,131,80,211,0,0,0,6,0,6,8,5,12,10,6,16,2419,3196,5614,2121,3058,5181,102,101,194,15946,15043,30986
LGA16490,0,4,4,114,162,275,6,0,3,3,0,3,27,18,49,13070,10742,23812,646,1015,1661,316,6,320,216,24,240,95,22,121,89,40,126,327,365,692,14908,12399,27307,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,4,7,0,8,0,0,0,0,7,3,17,31,53,14,24,41,4,6,9,37,72,107,149,92,239,192,165,362,0,0,4,3,9,14,9,3,12,16,13,27,1531,2084,3615,1281,2095,3369,68,51,117,17990,16800,34789
LGA16550,89,42,136,1107,1439,2546,5,0,3,198,153,341,60,89,144,11142,7555,18700,564,967,1529,315,5,317,539,109,646,478,205,685,174,138,315,1072,1731,2805,15739,12447,28181,183,203,390,0,0,0,50,28,78,15,0,16,4,3,4,4,4,9,256,241,494,0,5,4,57,72,132,46,26,68,28,48,73,42,49,89,171,193,369,174,96,276,605,531,1139,77,86,158,20,25,47,3,6,10,100,114,218,14175,17046,31221,3181,4859,8035,167,117,284,33962,35108,69077
LGA16610,0,0,0,9,4,16,4,0,4,0,0,0,4,0,5,3061,2790,5860,230,222,452,130,6,135,51,5,57,50,12,59,14,20,38,144,146,290,3705,3202,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,39,18,54,37,23,61,0,0,0,0,0,0,0,0,0,0,0,0,382,514,889,482,694,1178,51,27,82,4659,4464,9119
