LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA14170,1735,1591,3330,4607,4339,8947,876,944,1816,534,490,1022,6024,5774,11803,2342,2171,4515,1055,1231,2290,1285,1032,2318,4691,4439,9134,286,324,605,486,566,1052,387,241,633,939,1295,2234,11,4,22,2113,2429,4541,2430,2922,5355,1232,1559,2796,393,449,842,1502,2309,3813,9,10,19,5562,7255,12814,7684,9693,17375,322,299,623,498,715,1216,8,9,14,829,1023,1854,4141,3761,7902,25115,26280,51397
LGA14220,178,174,350,531,544,1073,166,171,341,21,22,49,721,738,1461,447,459,909,82,58,139,25,26,54,555,548,1102,15,16,31,11,30,45,49,51,101,55,147,209,3,0,4,141,248,380,17,44,63,10,16,23,4,19,23,28,76,103,0,0,0,61,152,215,202,393,601,6,16,25,12,38,56,0,0,0,23,51,77,907,860,1773,2581,2766,5349
LGA14300,68,68,137,139,128,267,65,73,142,16,17,38,233,220,453,123,102,225,25,23,44,24,34,62,171,159,330,8,4,10,5,14,14,30,24,46,16,38,56,0,0,0,55,79,136,13,20,32,7,15,22,5,11,11,8,36,41,0,0,0,30,82,110,90,158,244,4,9,15,8,10,17,0,0,0,13,16,28,1009,187,1195,1573,811,2379
LGA14350,279,276,553,770,810,1585,149,169,313,131,139,267,1051,1116,2167,454,484,940,240,248,492,145,112,256,836,850,1684,23,55,75,21,41,62,109,78,188,89,200,290,0,0,7,250,379,625,36,66,103,28,63,93,11,29,34,49,137,185,3,0,4,125,293,415,366,669,1036,10,16,24,23,61,81,5,0,4,29,76,107,1958,1307,3268,4523,4296,8823
LGA14400,300,236,536,702,688,1386,149,119,265,46,49,91,896,857,1752,432,433,862,134,145,273,111,114,217,671,692,1361,32,41,69,12,17,29,152,63,210,78,156,234,3,0,3,273,269,543,141,195,333,38,73,112,25,42,61,94,177,268,0,0,0,293,486,778,566,758,1326,22,18,37,37,47,89,4,6,7,62,71,137,528,553,1077,3023,3165,6185
LGA14500,1406,1319,2724,4166,3816,7980,526,544,1074,1611,1616,3226,6316,5977,12296,2186,1727,3912,772,964,1745,2936,2965,5904,5906,5661,11566,92,101,199,109,195,305,215,119,330,357,717,1072,0,0,3,783,1129,1915,2722,2763,5487,411,529,940,287,272,561,608,934,1539,7,9,15,4033,4508,8541,4825,5641,10463,104,126,229,257,366,622,3,4,7,366,493,856,1360,1542,2905,20184,20626,40810
LGA14550,66,72,138,219,213,439,71,76,145,24,37,62,316,326,645,162,169,334,52,66,124,27,25,48,245,263,505,5,11,18,10,19,32,33,11,50,18,66,83,0,0,0,68,110,178,10,26,35,11,20,24,6,3,11,19,44,66,0,0,0,42,96,137,105,207,315,4,8,14,3,18,22,4,0,3,15,24,38,481,485,967,1222,1382,2608
LGA14600,67,66,131,239,190,431,71,52,125,7,6,21,315,251,568,111,125,239,26,24,45,22,26,48,153,173,328,0,0,9,6,10,6,21,21,40,11,41,52,0,0,0,41,75,115,6,12,17,0,10,11,4,4,14,3,23,27,0,0,0,16,60,70,50,130,181,5,0,5,0,4,3,0,0,0,4,4,9,357,371,729,947,1006,1950
LGA14650,2590,2423,5010,6795,6261,13058,1327,1318,2651,1031,1030,2055,9166,8626,17791,4642,4425,9074,1074,1150,2225,1016,1036,2057,6740,6625,13361,269,346,613,180,347,525,1212,589,1804,887,1393,2284,12,8,22,2561,2681,5245,1295,1795,3092,487,731,1213,245,389,640,760,1509,2267,6,0,3,2795,4419,7219,5367,7114,12477,159,155,318,334,531,868,6,5,18,502,696,1199,4283,4361,8641,28644,29840,58484
LGA14700,502,429,931,1122,1062,2185,376,309,682,177,190,365,1670,1561,3238,346,394,742,569,370,937,463,453,909,1367,1215,2584,39,29,63,44,97,146,81,41,120,176,272,449,0,0,0,343,437,778,667,565,1228,173,227,399,74,91,166,287,418,706,4,3,4,1200,1306,2506,1541,1744,3284,58,42,101,122,168,290,4,0,0,184,213,392,612,711,1324,5882,5870,11755
LGA14750,114,111,224,371,363,733,121,114,240,8,11,14,505,484,991,273,287,562,219,242,461,15,12,26,504,542,1042,6,9,14,3,23,25,63,46,108,32,91,125,0,0,0,105,169,269,20,26,51,9,15,22,10,20,25,17,41,62,0,0,0,49,105,159,157,277,436,8,6,10,11,15,31,0,0,0,17,25,41,492,499,992,1790,1933,3725
LGA14850,453,379,829,1046,1003,2046,376,396,768,290,256,545,1714,1647,3361,777,698,1475,520,493,1016,149,127,275,1449,1310,2760,66,95,160,62,122,186,188,129,317,202,345,545,4,0,11,527,687,1213,156,236,389,135,180,312,64,89,150,204,411,610,4,5,10,558,918,1477,1087,1604,2688,43,44,86,69,107,178,0,0,4,119,154,268,1673,1663,3335,6486,6759,13248
LGA14870,195,161,349,580,599,1181,144,136,281,26,29,55,752,768,1514,405,377,784,135,135,270,58,50,109,600,563,1164,26,31,57,12,29,45,95,60,160,81,145,231,0,4,5,220,278,496,45,73,120,21,38,58,7,24,27,50,111,162,0,0,0,126,246,373,345,526,872,12,14,24,17,31,41,0,0,4,26,45,71,1081,714,1794,2997,2772,5770
LGA14900,2494,2283,4778,7097,6512,13613,2625,2584,5211,1768,1763,3529,11530,10894,22426,5300,4940,10240,2366,2360,4727,1548,1577,3127,9243,8901,18139,483,517,999,487,863,1354,918,350,1267,785,1361,2144,15,19,38,2688,3113,5807,2844,3874,6717,717,972,1688,417,535,959,684,1094,1779,15,21,35,4682,6495,11181,7410,9651,17060,435,496,926,512,731,1242,10,17,32,959,1242,2200,7448,7260,14711,39085,40231,79315
LGA14920,73,60,130,226,252,477,44,27,74,7,0,10,286,279,560,188,164,349,7,14,23,21,51,72,222,227,447,6,4,13,3,5,11,28,22,45,19,50,67,0,0,0,52,81,136,14,10,28,6,15,22,4,9,7,15,33,45,0,0,0,35,60,98,94,142,233,4,0,11,3,7,9,0,0,0,6,12,22,451,406,859,1124,1127,2252
LGA14950,40,32,67,95,101,196,26,44,75,22,18,36,146,160,311,43,47,88,22,30,54,23,30,59,92,113,199,0,5,4,4,0,3,20,11,30,3,21,27,0,0,0,37,34,70,11,20,29,0,3,3,3,0,4,0,12,15,0,0,0,20,38,58,50,80,128,0,6,10,3,9,7,0,0,0,7,14,18,131,125,256,461,521,980
LGA15050,1201,1178,2374,2782,2659,5441,1171,1091,2257,436,420,853,4387,4167,8559,1824,1716,3535,841,965,1801,434,402,834,3095,3084,6180,166,212,382,110,174,287,489,327,820,397,742,1136,6,9,16,1167,1474,2641,435,709,1141,195,346,534,106,176,288,390,726,1115,0,0,0,1129,1953,3079,2289,3429,5720,102,98,203,155,256,406,12,3,14,266,353,622,1822,1809,3631,13055,14019,27078
LGA15240,758,724,1482,2528,2450,4979,366,325,693,314,317,628,3217,3094,6304,1874,1777,3654,328,318,640,302,329,633,2498,2431,4931,91,135,225,63,178,240,329,274,605,251,624,876,7,4,10,739,1210,1951,131,223,353,63,179,246,32,73,107,144,418,565,0,4,5,373,908,1273,1114,2117,3229,46,59,100,73,142,214,6,7,11,114,205,324,3586,3795,7387,11293,12361,23654
LGA15270,276,246,519,842,756,1600,346,319,664,15,19,27,1204,1088,2290,525,542,1064,213,227,440,22,17,39,759,786,1548,32,31,63,12,30,44,145,85,233,128,225,350,4,0,5,321,377,693,30,62,92,20,51,66,14,26,37,62,142,202,0,0,4,117,284,401,440,654,1092,15,19,31,33,78,111,0,0,0,53,98,148,1013,949,1962,3741,3821,7560
LGA15300,132,135,265,327,311,636,144,119,269,39,40,81,513,475,987,186,191,377,43,58,96,47,56,105,280,303,583,8,0,10,10,10,23,24,24,44,29,86,112,0,0,0,74,125,198,25,52,74,7,18,27,5,25,29,19,59,77,0,0,0,60,149,209,131,276,405,3,6,6,14,13,30,0,0,0,18,23,39,1339,1328,2671,2416,2542,4957
LGA15350,280,244,523,539,533,1073,164,209,380,351,370,726,1063,1119,2179,278,249,526,215,189,399,614,529,1147,1113,970,2078,25,28,51,27,46,74,26,26,52,83,157,235,0,0,0,151,258,412,429,487,916,77,120,192,60,67,129,159,256,410,0,4,4,719,925,1645,874,1188,2060,16,22,34,56,110,157,0,0,0,69,129,197,443,510,950,3833,4158,7985
LGA15520,131,126,259,294,285,579,127,139,262,60,66,126,482,488,972,183,158,340,117,143,256,59,72,123,363,369,730,15,10,18,7,7,17,41,21,61,22,67,89,0,0,0,86,104,186,19,65,87,5,10,15,5,6,13,9,56,65,0,0,0,42,134,180,131,240,374,0,7,7,9,23,34,0,0,0,9,31,35,540,504,1043,1655,1750,3403
LGA15560,39,34,75,84,73,152,40,34,74,8,4,9,133,107,241,62,70,133,10,8,18,4,7,10,80,83,165,4,4,9,3,4,3,10,16,24,11,20,31,0,0,0,27,42,71,7,10,21,0,7,7,0,8,8,3,19,26,0,0,0,15,40,53,40,79,124,0,0,0,8,5,13,0,5,3,7,10,19,178,150,330,477,479,948
LGA15650,208,197,402,571,525,1095,197,151,346,58,69,129,820,746,1568,383,345,728,153,146,296,29,45,77,571,538,1108,13,21,35,11,26,42,109,70,179,54,150,208,0,7,7,195,271,466,12,38,51,13,27,44,13,29,41,36,82,116,0,0,0,82,176,254,279,449,722,9,10,18,21,41,65,0,0,0,31,53,88,814,504,1316,2734,2482,5210
LGA15700,176,168,342,439,398,835,156,133,293,90,121,216,692,659,1350,466,420,888,29,39,68,86,105,188,579,565,1145,17,15,30,16,37,51,77,48,127,73,157,228,4,0,4,180,267,448,25,47,74,8,61,73,7,15,20,30,94,127,0,5,5,74,217,292,258,482,740,15,18,29,15,26,40,0,0,4,28,43,67,838,860,1704,2574,2774,5343
LGA15750,141,141,285,341,368,711,191,168,358,31,28,58,568,566,1131,278,304,580,46,39,85,18,32,48,342,379,717,13,13,24,5,14,18,53,39,89,47,97,140,0,0,0,114,158,273,18,47,63,3,17,27,9,25,28,31,60,92,0,0,0,60,142,206,179,306,479,6,22,23,13,22,37,0,0,0,19,41,58,730,645,1377,1982,2076,4057
LGA15800,46,63,108,155,165,323,96,77,172,3,3,6,257,248,505,133,165,295,15,29,43,5,0,3,153,194,346,5,4,10,0,11,13,18,15,31,17,48,67,0,0,0,43,74,121,4,10,17,7,10,19,3,4,9,9,33,37,0,0,0,26,52,77,71,130,202,10,0,11,4,7,9,0,0,0,16,12,26,285,261,550,831,905,1732
LGA15850,86,65,155,143,144,284,70,61,125,51,64,119,271,267,533,138,116,253,38,23,59,40,44,85,216,184,398,4,4,8,4,7,9,24,17,39,15,31,41,0,0,0,49,61,107,5,19,24,0,7,10,0,0,5,0,31,32,0,0,0,6,63,71,57,121,176,9,6,12,4,5,7,0,0,0,12,10,20,443,436,876,1067,1081,2151
LGA15900,1822,1630,3450,4575,4165,8740,1241,1203,2443,634,576,1212,6456,5943,12401,3141,3086,6222,859,898,1762,784,738,1521,4784,4728,9516,308,302,614,295,377,672,652,487,1144,834,1150,1986,7,5,9,2106,2317,4423,2943,3774,6714,1199,1425,2625,397,519,917,1156,1797,2956,8,7,17,5707,7526,13233,7823,9853,17673,177,188,358,307,489,800,0,4,9,482,682,1163,4045,3962,8008,25411,26793,52205
LGA15950,634,554,1193,1328,1313,2640,236,245,479,249,253,502,1818,1806,3621,582,546,1121,284,243,529,464,468,933,1336,1254,2595,70,70,137,109,201,305,101,67,166,297,529,827,0,3,3,582,866,1444,750,857,1608,338,514,852,117,137,254,636,873,1514,4,6,5,1842,2392,4237,2425,3264,5683,76,107,179,205,331,530,0,5,5,274,434,710,1361,1529,2892,7854,8845,16700
LGA15990,3225,3010,6237,8590,8173,16760,1674,1477,3148,1461,1285,2750,11741,10935,22675,5101,4801,9896,2557,2402,4964,2555,2590,5149,10223,9804,20031,350,337,686,290,437,733,1252,563,1817,1138,1673,2813,12,8,19,3054,3024,6078,3179,3638,6819,589,889,1479,484,594,1078,1046,1893,2940,8,20,23,5304,7042,12348,8370,10073,18444,222,259,483,574,823,1399,6,0,8,796,1087,1884,4325,4695,9018,38681,39611,78289
LGA16100,43,37,81,129,144,277,54,63,117,4,8,9,192,205,403,103,78,184,32,37,70,23,14,37,153,129,287,5,3,6,0,3,8,23,12,37,19,37,55,0,0,0,44,61,109,13,21,30,6,4,11,0,5,9,9,28,29,0,0,0,27,58,82,74,117,188,8,8,14,0,4,9,0,0,0,9,14,22,433,305,741,904,812,1716
LGA16150,582,504,1088,1409,1284,2693,415,413,825,283,266,551,2106,1973,4079,766,723,1489,413,408,816,422,382,800,1598,1513,3112,40,52,93,45,92,142,219,160,375,243,389,629,5,0,5,541,691,1236,135,261,398,100,160,264,36,71,111,226,356,585,0,0,0,506,853,1355,1049,1546,2595,31,45,78,48,95,146,0,3,3,86,145,226,1232,1261,2491,6654,6941,13598
LGA16200,149,141,296,474,444,919,97,114,213,62,60,125,629,627,1255,311,269,576,134,137,266,65,54,121,507,458,967,14,20,37,5,11,21,59,62,120,56,96,150,3,0,3,139,195,329,21,44,67,8,19,30,15,22,39,27,60,88,0,0,0,71,143,214,207,339,545,8,12,21,14,16,29,0,0,0,26,26,51,569,536,1103,2091,2127,4218
LGA16260,2722,2541,5261,8429,7823,16252,1746,1710,3452,655,674,1330,10837,10217,21059,4597,4412,9008,1710,1562,3269,956,899,1856,7267,6874,14148,567,440,1009,804,1159,1965,583,358,949,1283,2235,3519,11,15,19,3255,4199,7458,4172,4388,8559,2114,2106,4222,530,545,1075,1334,1748,3081,24,21,43,8173,8807,16979,11455,13039,24492,1006,820,1823,895,1079,1973,17,13,25,1906,1912,3817,7073,5856,12926,41261,40445,81709
LGA16350,2774,2436,5211,7331,6867,14205,1766,1827,3600,1071,990,2063,10183,9709,19889,4026,4093,8117,2246,2253,4498,1025,933,1962,7314,7286,14597,330,473,810,269,574,841,1193,620,1810,812,1481,2292,12,11,21,2613,3161,5773,1478,2172,3652,513,784,1299,282,431,713,642,1313,1961,7,9,16,2922,4715,7637,5546,7883,13431,266,258,521,386,578,969,9,7,19,659,841,1505,6735,6595,13329,33211,34754,67969
LGA16380,842,729,1566,1952,1858,3810,894,865,1753,449,407,854,3303,3136,6436,1114,1097,2218,1169,1173,2341,432,412,840,2722,2691,5413,135,123,258,91,180,268,323,229,555,333,652,977,7,6,12,881,1188,2071,350,732,1084,148,304,454,56,134,184,260,559,822,0,6,5,818,1727,2541,1701,2914,4616,60,65,124,107,225,331,5,0,9,170,290,461,2149,2172,4323,10882,11935,22825
LGA16400,761,695,1459,2257,2070,4335,396,389,782,371,367,731,3025,2831,5856,1646,1587,3235,373,402,778,394,365,756,2417,2357,4777,104,109,214,62,107,169,355,189,536,284,518,793,3,0,8,801,923,1718,280,426,711,108,196,308,49,119,165,192,446,640,5,0,10,633,1200,1829,1429,2121,3554,52,55,106,68,133,206,5,3,11,126,193,321,2051,2082,4131,9815,10277,20093
LGA16490,687,604,1294,1919,1697,3622,712,566,1281,224,266,493,2860,2532,5395,1040,1001,2043,738,684,1425,286,278,555,2064,1960,4024,100,91,185,112,105,219,326,178,501,315,498,817,3,3,8,858,875,1730,334,484,817,218,254,475,83,138,223,414,692,1109,4,5,9,1057,1574,2638,1919,2456,4369,104,76,183,172,245,419,0,3,4,281,323,605,1597,1490,3088,9411,9360,18770
LGA16550,1345,1186,2531,2466,2386,4848,1234,1218,2448,947,904,1848,4644,4514,9157,1067,1021,2087,1423,1395,2812,1246,1195,2442,3735,3614,7345,183,197,379,249,416,666,381,208,589,755,1094,1847,4,10,7,1567,1922,3492,2885,3051,5938,1168,1184,2351,243,301,547,799,1206,2007,18,12,21,5113,5750,10868,6692,7680,14373,242,219,457,409,587,993,12,10,14,658,811,1469,4461,3602,8064,21539,21412,42946
LGA16610,219,214,427,555,559,1114,325,319,644,62,48,103,944,928,1874,396,415,812,235,241,478,56,57,109,685,715,1392,21,39,58,15,58,73,92,79,174,79,163,242,0,0,0,201,339,543,32,48,85,19,46,65,14,36,56,43,95,137,0,3,0,112,235,340,314,573,889,12,3,15,19,36,54,0,4,4,27,48,75,1216,1162,2376,3408,3631,7037
LGA16700,1374,1222,2595,3506,3200,6708,937,981,1917,419,363,780,4872,4555,9422,1952,1744,3700,1096,971,2063,512,542,1050,3565,3257,6828,174,207,379,339,508,845,284,138,425,684,1130,1811,3,5,9,1489,1987,3468,2565,2648,5216,1057,1247,2303,306,311,614,749,1072,1824,14,11,28,4697,5295,9986,6192,7284,13477,238,261,497,407,544,946,3,4,10,648,810,1462,2518,2618,5132,19167,19749,38920
LGA16900,1008,884,1888,2575,2322,4893,538,549,1089,249,232,483,3365,3112,6479,1768,1648,3413,557,635,1193,255,247,510,2583,2539,5118,105,128,235,76,167,243,500,293,795,323,573,896,3,4,10,1008,1169,2181,299,630,921,112,198,311,67,147,211,197,424,616,0,0,7,675,1396,2069,1690,2570,4261,48,68,117,96,164,265,0,0,3,153,234,384,1834,1814,3649,10627,11156,21783
LGA16950,1147,977,2126,3102,2962,6063,339,355,696,353,370,725,3807,3695,7502,2041,1953,3999,475,482,956,410,428,832,2931,2867,5797,123,136,259,79,162,240,463,260,725,388,754,1137,5,11,17,1062,1320,2379,230,405,639,158,315,471,45,105,145,247,538,790,0,4,4,685,1361,2051,1751,2690,4432,90,72,162,103,250,357,3,5,7,204,324,530,4251,3424,7672,14087,13977,28060
LGA17000,273,284,552,743,700,1439,340,290,631,117,132,250,1199,1121,2320,478,467,950,225,209,439,118,125,240,823,802,1628,25,28,57,16,33,49,147,106,251,106,200,303,5,0,5,298,365,663,84,119,204,21,59,75,23,40,56,54,136,188,0,0,0,184,350,528,481,710,1190,38,25,59,46,87,127,0,0,0,80,109,186,870,625,1496,3728,3649,7378
LGA17040,203,188,387,577,502,1080,152,135,294,122,102,227,856,743,1600,468,392,868,89,66,152,150,176,321,701,635,1340,24,26,44,12,41,50,83,75,156,115,190,306,0,0,0,232,326,559,59,76,137,23,51,73,18,34,48,69,190,259,0,0,8,173,355,527,408,678,1083,20,26,44,30,54,81,0,3,7,50,84,129,1034,768,1804,3251,3089,6345
LGA17080,140,165,310,438,435,874,165,150,317,8,9,14,605,597,1204,357,362,712,84,77,164,5,13,24,450,452,902,19,8,32,3,22,26,72,48,126,42,95,139,0,0,3,146,176,321,11,35,50,0,24,23,4,17,19,22,88,113,0,0,0,40,162,204,187,336,525,6,5,16,12,56,70,0,0,0,25,65,86,711,561,1274,2127,2179,4303
LGA17100,376,350,728,929,870,1797,312,325,637,204,243,444,1452,1437,2892,603,660,1265,272,213,488,306,291,594,1175,1169,2347,214,129,345,283,287,563,128,71,206,247,289,530,0,3,4,868,778,1650,1153,1031,2184,528,453,977,150,133,282,263,266,529,8,7,16,2101,1893,3992,2976,2671,5649,355,224,578,256,249,506,6,7,10,614,479,1096,1309,1092,2395,7904,7205,15115
LGA17150,2889,2655,5547,7258,6558,13824,2239,2140,4377,561,539,1104,10071,9259,19327,5167,4943,10111,2128,2137,4267,885,955,1834,8181,8045,16224,276,401,678,239,349,583,1621,564,2182,904,1407,2308,10,11,21,3044,2727,5770,2192,3088,5282,459,652,1111,383,491,878,936,1578,2518,8,9,11,3981,5820,9794,7022,8562,15578,151,162,315,382,595,979,8,5,11,541,763,1304,3716,4058,7773,32417,33333,65753
LGA17200,1136,1014,2153,2016,1944,3961,427,416,841,439,445,881,2881,2808,5684,1009,937,1944,359,465,820,606,560,1167,1981,1963,3939,372,476,849,1249,1691,2938,370,327,697,1696,2087,3786,12,16,24,3698,4590,8292,5083,6114,11196,2984,3076,6058,448,515,957,2226,2448,4678,26,15,45,10768,12164,22934,14488,16774,31262,1161,1538,2699,1498,1893,3391,24,7,28,2676,3442,6120,8158,6667,14824,31326,32670,63992
LGA17310,742,636,1375,1855,1736,3591,685,643,1336,331,306,639,2873,2696,5567,1625,1166,2791,350,452,803,337,474,816,2316,2092,4407,63,88,155,44,139,185,264,205,473,246,502,752,0,4,7,623,941,1561,93,224,321,74,144,217,43,94,139,163,391,553,0,3,3,372,859,1236,1000,1803,2794,44,45,87,85,128,212,5,4,5,132,174,302,2294,2260,4554,9344,9662,19005
LGA17350,65,60,127,196,170,369,62,59,128,3,3,3,265,239,498,145,157,296,30,38,72,8,0,4,182,197,376,3,3,6,0,9,6,37,21,58,18,45,61,0,0,0,63,77,132,10,19,28,0,4,13,3,8,9,14,33,41,0,0,0,31,62,91,88,135,227,0,5,8,10,6,20,0,0,0,10,9,18,164,177,345,773,821,1593
LGA17400,41,41,81,135,138,274,57,61,118,5,0,7,194,204,399,142,168,306,10,13,23,6,9,17,155,189,345,6,6,17,3,11,13,19,15,38,16,49,71,0,0,0,53,77,133,6,10,17,0,6,9,0,6,8,7,34,37,0,0,0,17,58,73,71,134,208,0,10,9,0,12,16,0,0,0,3,22,24,333,338,671,795,928,1723
LGA17420,2392,2272,4667,7195,6669,13862,1772,1711,3481,1353,1299,2649,10332,9676,20012,3858,3612,7468,2148,2207,4354,2113,1956,4068,8129,7774,15907,253,350,607,218,407,627,815,346,1158,670,1262,1936,5,3,7,1962,2373,4335,3045,3463,6505,615,744,1362,480,459,936,894,1221,2109,9,8,21,5039,5898,10938,7010,8278,15290,235,226,456,379,542,919,0,6,11,609,769,1382,2406,2383,4785,30885,31147,62037
LGA17550,890,824,1713,2370,2119,4487,879,866,1749,473,472,947,3731,3466,7198,1582,1516,3098,687,746,1432,592,567,1159,2871,2832,5702,119,151,272,116,218,333,326,226,554,339,613,952,13,4,19,920,1211,2129,323,574,899,170,385,554,83,151,232,257,656,912,7,10,15,838,1777,2612,1757,2994,4752,55,107,162,150,286,431,10,9,15,212,397,609,3419,3578,6996,12886,14090,26976
LGA17620,142,149,285,388,345,731,127,109,237,104,110,219,620,568,1184,231,198,427,157,170,333,112,107,219,508,476,983,19,13,35,12,20,32,77,62,139,43,99,147,5,0,5,157,193,352,15,49,67,5,21,30,3,13,24,17,74,95,0,0,0,47,161,208,206,355,561,10,10,15,12,34,52,0,0,0,19,44,63,502,446,950,1991,2038,4033
LGA17640,81,85,166,244,207,451,83,68,157,5,3,16,334,281,619,156,160,316,48,42,91,15,16,34,216,221,439,12,8,22,8,5,10,40,43,77,28,59,86,0,0,0,85,113,204,3,30,34,9,14,20,4,8,16,21,40,56,7,0,9,36,98,133,126,208,335,10,3,18,15,12,26,0,0,0,19,18,37,367,331,699,1151,1143,2293
LGA17650,63,57,120,185,151,336,32,36,72,29,30,58,246,219,463,126,135,263,33,50,88,25,53,73,184,238,426,8,11,13,0,8,12,20,16,36,31,49,76,0,0,0,57,85,141,8,24,35,12,21,36,3,17,23,20,47,66,0,0,0,39,113,156,98,197,294,4,5,11,0,11,12,0,0,0,5,17,20,204,212,418,800,940,1741
LGA17750,866,795,1665,1867,1620,3487,834,873,1710,389,354,747,3093,2850,5947,1033,1113,2152,728,764,1494,429,416,846,2198,2303,4495,174,130,301,117,158,276,402,249,647,364,549,917,3,6,5,1057,1084,2143,431,1014,1443,173,309,482,74,175,247,309,602,911,0,6,4,994,2103,3094,2049,3185,5242,120,83,196,115,169,282,0,0,0,238,250,486,1967,1928,3897,10414,11318,21729
LGA17850,36,30,67,77,62,131,30,35,68,4,3,8,111,103,211,48,54,99,3,5,9,19,24,40,73,83,154,3,0,3,0,0,0,0,0,0,5,17,23,0,0,0,17,18,35,7,8,20,0,4,4,0,5,6,0,19,24,0,0,0,16,40,52,28,53,87,0,3,3,0,0,3,0,0,0,3,5,8,154,143,292,405,409,821
LGA17900,40,43,84,109,127,240,42,50,90,4,0,4,159,178,335,85,77,158,7,10,15,14,21,37,103,110,209,6,0,10,0,5,3,6,3,10,5,24,28,0,0,0,12,40,49,0,19,19,0,3,3,0,3,3,6,23,32,0,0,0,6,50,64,20,91,109,0,0,0,0,10,10,0,0,0,0,10,14,657,681,1336,975,1110,2086
LGA17950,41,21,60,55,45,105,45,58,107,0,0,0,100,106,207,38,53,91,4,14,18,10,21,27,53,85,138,0,6,3,3,5,5,12,8,23,4,27,35,0,0,0,20,49,65,7,11,14,0,5,5,0,3,6,0,17,15,0,0,0,6,24,35,30,76,101,0,0,0,0,0,3,0,0,0,0,0,0,145,152,301,362,443,811
LGA18020,82,92,167,224,199,420,85,100,186,4,0,9,319,300,617,253,268,520,11,7,19,20,7,28,285,285,569,3,7,9,3,15,19,26,4,34,26,60,84,0,0,0,61,89,148,11,30,43,4,18,22,0,12,12,7,45,47,0,0,0,24,96,118,85,186,272,4,0,8,7,11,24,0,0,0,15,16,30,632,636,1272,1413,1516,2930
LGA18050,731,706,1436,1264,1176,2438,280,291,573,833,772,1605,2381,2241,4625,432,393,825,339,373,710,1123,1082,2206,1896,1854,3750,48,80,123,137,222,365,98,81,181,478,613,1088,4,0,3,766,997,1759,767,932,1700,258,437,693,78,125,201,396,652,1047,6,4,13,1504,2150,3651,2272,3151,5426,78,108,186,313,456,772,4,3,9,397,569,965,2004,2128,4132,9682,10648,20331
