region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED126,99,5132,366,5597,545,9796,534,10875,186,5060,305,5551,113,4424,251,4788,173,8611,472,9256,202,9199,443,9844,240,8303,438,8981,459,6992,341,7792,426,3462,218,4106,382,1262,117,1761,212,232,48,492,3037,62473,3533,69043,42,4877,328,5247,225,9812,503,10540,111,4871,225,5207,73,4507,241,4821,156,9271,417,9844,252,9878,418,10548,369,8931,415,9715,555,7196,366,8117,407,3560,180,4147,626,1471,138,2235,596,363,65,1024,3412,64737,3296,71445,141,10009,694,10844,770,19608,1037,21415,297,9931,530,10758,186,8931,492,9609,329,17882,889,19100,454,19077,861,20392,609,17234,853,18696,1014,14188,707,15909,833,7022,398,8253,1008,2733,255,3996,808,595,113,1516,6449,127210,6829,140488
CED127,40,4608,230,4878,203,8922,374,9499,64,4101,140,4305,46,3449,177,3672,75,6753,369,7197,96,9559,456,10111,130,9338,423,9891,190,7672,383,8245,270,5459,251,5980,452,2606,137,3195,542,796,92,1430,2108,63263,3032,68403,18,4391,218,4627,98,8319,272,8689,32,3734,113,3879,36,3206,135,3377,78,7024,310,7412,122,10557,426,11105,132,9901,336,10369,182,8161,311,8654,277,5770,233,6280,732,3292,200,4224,1316,1157,179,2652,3023,65512,2733,71268,58,8999,448,9505,301,17241,646,18188,96,7835,253,8184,82,6655,312,7049,153,13777,679,14609,218,20116,882,21216,262,19239,759,20260,372,15833,694,16899,547,11229,484,12260,1184,5898,337,7419,1858,1953,271,4082,5131,128775,5765,139671
CED128,76,4153,278,4507,402,9001,508,9911,116,4670,238,5024,78,3935,227,4240,135,6608,383,7126,220,8539,461,9220,240,9206,562,10008,391,8218,496,9105,357,4641,329,5327,390,1946,144,2480,315,380,74,769,2720,61297,3700,67717,44,4118,269,4431,172,8666,458,9296,78,4406,203,4687,65,3702,174,3941,118,6781,305,7204,172,9445,468,10085,304,10010,503,10817,359,8696,419,9474,367,5107,273,5747,640,2312,205,3157,860,648,143,1651,3179,63891,3420,70490,120,8271,547,8938,574,17667,966,19207,194,9076,441,9711,143,7637,401,8181,253,13389,688,14330,392,17984,929,19305,544,19216,1065,20825,750,16914,915,18579,724,9748,602,11074,1030,4258,349,5637,1175,1028,217,2420,5899,125188,7120,138207
CED129,61,4626,371,5058,278,8963,473,9714,92,5333,247,5672,67,5108,213,5388,183,9156,380,9719,256,8798,400,9454,445,9023,381,9849,650,7387,337,8374,735,3834,230,4799,680,1548,119,2347,270,231,38,539,3717,64007,3189,70913,47,4372,348,4767,139,8961,446,9546,66,5062,174,5302,54,4991,195,5240,146,9489,358,9993,268,9268,391,9927,583,9642,359,10584,838,7442,325,8605,858,3767,215,4840,1109,1548,149,2806,589,291,48,928,4697,64833,3008,72538,108,8998,719,9825,417,17924,919,19260,158,10395,421,10974,121,10099,408,10628,329,18645,738,19712,524,18066,791,19381,1028,18665,740,20433,1488,14829,662,16979,1593,7601,445,9639,1789,3096,268,5153,859,522,86,1467,8414,128840,6197,143451
CED130,39,4812,214,5065,267,9997,259,10523,77,4814,131,5022,53,4028,152,4233,113,6877,294,7284,98,10042,346,10486,124,9223,309,9656,191,7349,228,7768,281,4483,129,4893,300,1644,90,2034,285,353,47,685,1828,63622,2199,67649,29,4498,159,4686,114,9611,275,10000,55,4438,119,4612,44,3973,131,4148,88,7616,278,7982,85,11175,320,11580,160,9529,268,9957,211,7905,216,8332,281,4453,135,4869,603,1822,132,2557,926,566,110,1602,2596,65586,2143,70325,68,9310,373,9751,381,19608,534,20523,132,9252,250,9634,97,8001,283,8381,201,14493,572,15266,183,21217,666,22066,284,18752,577,19613,402,15254,444,16100,562,8936,264,9762,903,3466,222,4591,1211,919,157,2287,4424,129208,4342,137974
CED131,73,4458,349,4880,384,9355,535,10274,108,4826,256,5190,90,3869,281,4240,182,6519,495,7196,247,7527,514,8288,410,8825,511,9746,646,8476,499,9621,633,5940,341,6914,610,2856,257,3723,433,476,110,1019,3816,63127,4148,71091,37,4366,314,4717,160,8906,543,9609,87,4759,239,5085,69,4034,208,4311,130,7079,365,7574,229,8402,414,9045,409,9384,441,10234,504,8572,372,9448,522,6314,345,7181,844,3353,325,4522,986,836,248,2070,3977,66005,3814,73796,110,8824,663,9597,544,18261,1078,19883,195,9585,495,10275,159,7903,489,8551,312,13598,860,14770,476,15929,928,17333,819,18209,952,19980,1150,17048,871,19069,1155,12254,686,14095,1454,6209,582,8245,1419,1312,358,3089,7793,129132,7962,144887
CED132,57,3809,249,4115,290,6544,381,7215,103,3699,214,4016,82,5491,385,5958,165,9474,652,10291,247,8069,474,8790,443,7896,514,8853,560,6455,399,7414,492,4022,255,4769,577,2203,206,2986,414,576,111,1101,3430,58238,3840,65508,25,3629,219,3873,130,6301,332,6763,60,3641,170,3871,51,5621,277,5949,127,9106,470,9703,236,8204,374,8814,432,7933,400,8765,516,6538,294,7348,507,4406,231,5144,1047,2935,259,4241,1204,862,192,2258,4335,59176,3218,66729,82,7438,468,7988,420,12845,713,13978,163,7340,384,7887,133,11112,662,11907,292,18580,1122,19994,483,16273,848,17604,875,15829,914,17618,1076,12993,693,14762,999,8428,486,9913,1624,5138,465,7227,1618,1438,303,3359,7765,117414,7058,132237
CED133,44,4585,277,4906,108,7480,312,7900,35,3620,210,3865,28,3928,344,4300,61,12204,979,13244,74,11193,791,12058,101,8697,515,9313,143,7012,416,7571,176,4282,275,4733,392,2084,165,2641,355,626,79,1060,1517,65711,4363,71591,23,4397,250,4670,48,6827,295,7170,26,3162,171,3359,15,4335,294,4644,56,13291,910,14257,72,12003,670,12745,133,9383,506,10022,199,7922,402,8523,273,4690,276,5239,668,2651,206,3525,1181,995,171,2347,2694,69656,4151,76501,67,8982,527,9576,156,14307,607,15070,61,6782,381,7224,43,8263,638,8944,117,25495,1889,27501,146,23196,1461,24803,234,18080,1021,19335,342,14934,818,16094,449,8972,551,9972,1060,4735,371,6166,1536,1621,250,3407,4211,135367,8514,148092
CED134,82,3766,278,4126,425,7819,422,8666,156,4080,202,4438,119,3091,219,3429,175,5256,378,5809,303,6613,393,7309,505,8311,456,9272,764,8430,417,9611,655,5695,274,6624,711,3229,205,4145,574,666,104,1344,4469,56956,3348,64773,37,3525,226,3788,219,7721,400,8340,75,3968,188,4231,64,3052,153,3269,154,5760,274,6188,249,7525,327,8101,455,9023,346,9824,579,8835,324,9738,523,6254,262,7039,1003,3819,263,5085,1334,984,177,2495,4692,60466,2940,68098,119,7291,504,7914,644,15540,822,17006,231,8048,390,8669,183,6143,372,6698,329,11016,652,11997,552,14138,720,15410,960,17334,802,19096,1343,17265,741,19349,1178,11949,536,13663,1714,7048,468,9230,1908,1650,281,3839,9161,117422,6288,132871
CED135,71,5357,488,5916,379,9823,860,11062,131,4671,376,5178,101,3590,355,4046,134,7080,705,7919,240,8440,739,9419,436,9411,684,10531,688,8479,607,9774,683,6014,443,7140,645,2789,280,3714,388,469,94,951,3896,66123,5631,75650,48,5052,451,5551,176,9563,681,10420,79,4328,280,4687,70,3739,254,4063,110,7918,467,8495,252,8931,586,9769,403,9526,489,10418,499,8144,446,9089,500,5858,406,6764,861,3048,292,4201,921,743,155,1819,3919,66850,4507,75276,119,10409,939,11467,555,19386,1541,21482,210,8999,656,9865,171,7329,609,8109,244,14998,1172,16414,492,17371,1325,19188,839,18937,1173,20949,1187,16623,1053,18863,1183,11872,849,13904,1506,5837,572,7915,1309,1212,249,2770,7815,132973,10138,150926
CED136,57,5851,595,6503,218,8629,674,9521,102,4376,384,4862,69,5722,665,6456,178,15992,1665,17835,319,11081,955,12355,426,8786,700,9912,547,6273,459,7279,550,3682,302,4534,613,1908,213,2734,351,396,111,858,3430,72696,6723,82849,49,5477,551,6077,132,8030,574,8736,48,4000,282,4330,65,5720,479,6264,143,15699,1178,17020,275,10856,719,11850,437,8915,617,9969,566,6479,413,7458,604,3955,275,4834,986,2189,307,3482,892,631,261,1784,4197,71951,5656,81804,106,11328,1146,12580,350,16659,1248,18257,150,8376,666,9192,134,11442,1144,12720,321,31691,2843,34855,594,21937,1674,24205,863,17701,1317,19881,1113,12752,872,14737,1154,7637,577,9368,1599,4097,520,6216,1243,1027,372,2642,7627,144647,12379,164653
CED137,67,3664,245,3976,364,7641,449,8454,126,3780,201,4107,77,2854,192,3123,175,5169,307,5651,224,6687,371,7282,355,7765,419,8539,670,7559,416,8645,710,6486,404,7600,626,3233,296,4155,398,619,162,1179,3792,55457,3462,62711,37,3517,253,3807,166,7353,370,7889,94,3799,174,4067,58,2783,141,2982,109,5620,280,6009,218,7591,339,8148,363,8243,373,8979,542,8360,371,9273,507,6703,333,7543,747,3463,339,4549,904,797,323,2024,3745,58229,3296,65270,104,7181,498,7783,530,14994,819,16343,220,7579,375,8174,135,5637,333,6105,284,10789,587,11660,442,14278,710,15430,718,16008,792,17518,1212,15919,787,17918,1217,13189,737,15143,1373,6696,635,8704,1302,1416,485,3203,7537,113686,6758,127981
CED138,36,5238,560,5834,158,7998,682,8838,54,4223,406,4683,63,6554,885,7502,112,15508,2074,17694,157,10985,1251,12393,287,9321,904,10512,397,6740,529,7666,427,3921,299,4647,687,1975,215,2877,440,416,86,942,2818,72879,7891,83588,37,5026,498,5561,77,7771,535,8383,40,4197,276,4513,40,6113,529,6682,108,14706,1334,16148,172,11548,873,12593,317,9754,645,10716,472,7230,404,8106,583,4023,254,4860,1043,2213,226,3482,1019,669,161,1849,3908,73250,5735,82893,73,10264,1058,11395,235,15769,1217,17221,94,8420,682,9196,103,12667,1414,14184,220,30214,3408,33842,329,22533,2124,24986,604,19075,1549,21228,869,13970,933,15772,1010,7944,553,9507,1730,4188,441,6359,1459,1085,247,2791,6726,146129,13626,166481
CED139,53,3615,262,3930,303,7923,447,8673,120,3959,228,4307,68,2550,228,2846,139,5168,367,5674,207,7487,476,8170,394,8972,547,9913,604,8652,481,9737,573,5458,311,6342,752,3140,232,4124,558,730,117,1405,3771,57654,3696,65121,22,3484,216,3722,126,7813,431,8370,69,3665,200,3934,45,2526,124,2695,109,5884,292,6285,195,8772,415,9382,361,10114,495,10970,514,8767,425,9706,510,5801,319,6630,968,3603,334,4905,1208,895,160,2263,4127,61324,3411,68862,75,7099,478,7652,429,15736,878,17043,189,7624,428,8241,113,5076,352,5541,248,11052,659,11959,402,16259,891,17552,755,19086,1042,20883,1118,17419,906,19443,1083,11259,630,12972,1720,6743,566,9029,1766,1625,277,3668,7898,118978,7107,133983
CED140,63,4801,350,5214,353,9816,482,10651,138,4994,258,5390,80,4395,405,4880,142,7472,740,8354,208,8191,693,9092,291,9027,595,9913,513,7716,418,8647,457,5057,298,5812,586,2632,208,3426,377,540,72,989,3208,64641,4519,72368,42,4699,354,5095,159,9448,507,10114,68,4770,238,5076,62,4378,235,4675,121,7908,361,8390,221,8642,327,9190,347,9005,352,9704,432,7588,306,8326,415,5246,257,5918,808,3134,244,4186,986,842,164,1992,3661,65660,3345,72666,105,9500,704,10309,512,19264,989,20765,206,9764,496,10466,142,8773,640,9555,263,15380,1101,16744,429,16833,1020,18282,638,18032,947,19617,945,15304,724,16973,872,10303,555,11730,1394,5766,452,7612,1363,1382,236,2981,6869,130301,7864,145034
CED141,57,3749,242,4048,312,7663,450,8425,133,4142,242,4517,73,3507,222,3802,130,6081,422,6633,164,7701,462,8327,255,8422,545,9222,424,7436,422,8282,482,5392,357,6231,594,3092,293,3979,504,822,166,1492,3128,58007,3823,64958,33,3668,255,3956,162,7617,408,8187,66,3858,164,4088,57,3420,149,3626,109,6486,336,6931,194,8462,406,9062,340,9255,458,10053,393,8143,415,8951,444,6173,345,6962,919,4019,394,5332,1189,1226,376,2791,3906,62327,3706,69939,90,7417,497,8004,474,15280,858,16612,199,8000,406,8605,130,6927,371,7428,239,12567,758,13564,358,16163,868,17389,595,17677,1003,19275,817,15579,837,17233,926,11565,702,13193,1513,7111,687,9311,1693,2048,542,4283,7034,120334,7529,134897
CED142,67,3663,206,3936,369,7649,314,8332,137,4186,192,4515,87,3236,150,3473,152,5813,217,6182,215,7299,351,7865,327,7833,366,8526,569,7009,308,7886,637,5454,248,6339,666,3114,235,4015,410,626,93,1129,3636,55882,2680,62198,27,3469,249,3745,151,7468,319,7938,67,3989,172,4228,69,3244,130,3443,107,6162,219,6488,220,7929,291,8440,372,8331,317,9020,545,7762,276,8583,579,6212,276,7067,925,3662,276,4863,938,776,130,1844,4000,59004,2655,65659,94,7132,455,7681,520,15117,633,16270,204,8175,364,8743,156,6480,280,6916,259,11975,436,12670,435,15228,642,16305,699,16164,683,17546,1114,14771,584,16469,1216,11666,524,13406,1591,6776,511,8878,1348,1402,223,2973,7636,114886,5335,127857
CED143,21,3535,476,4032,88,3406,461,3955,35,2454,483,2972,47,7894,1635,9576,102,22855,3637,26594,185,14372,1906,16463,313,8857,1210,10380,381,6407,859,7647,335,3267,539,4141,398,1277,286,1961,158,218,55,431,2063,74542,11547,88152,15,3213,388,3616,29,3440,384,3853,23,2784,383,3190,38,9209,1410,10657,106,22199,2869,25174,144,11892,1298,13334,251,7511,884,8646,327,6133,699,7159,337,3143,431,3911,540,1345,251,2136,417,333,119,869,2227,71202,9116,82545,36,6748,864,7648,117,6846,845,7808,58,5238,866,6162,85,17103,3045,20233,208,45054,6506,51768,329,26264,3204,29797,564,16368,2094,19026,708,12540,1558,14806,672,6410,970,8052,938,2622,537,4097,575,551,174,1300,4290,145744,20663,170697
CED144,68,4009,248,4325,361,8261,375,8997,142,4369,175,4686,106,3441,154,3701,171,6342,292,6805,230,7564,338,8132,378,8400,366,9144,612,7075,374,8061,616,5381,272,6269,803,2879,221,3903,447,472,72,991,3934,58193,2887,65014,34,3797,282,4113,163,8235,376,8774,83,4240,162,4485,81,3427,148,3656,141,6710,294,7145,234,8227,298,8759,390,8803,307,9500,604,7622,300,8526,737,6023,290,7050,1146,3128,268,4542,1112,667,99,1878,4725,60879,2824,68428,102,7806,530,8438,524,16496,751,17771,225,8609,337,9171,187,6868,302,7357,312,13052,586,13950,464,15791,636,16891,768,17203,673,18644,1216,14697,674,16587,1353,11404,562,13319,1949,6007,489,8445,1559,1139,171,2869,8659,119072,5711,133442
CED145,37,4922,312,5271,137,8074,377,8588,37,3300,171,3508,36,3373,312,3721,70,10307,995,11372,73,11447,835,12355,100,9129,627,9856,151,6650,471,7272,157,4478,311,4946,323,2293,178,2794,369,670,88,1127,1490,64643,4677,70810,27,4763,320,5110,68,7847,351,8266,18,3171,148,3337,30,3518,243,3791,59,11242,860,12161,81,12398,750,13229,138,9739,523,10400,152,7426,450,8028,237,5079,315,5631,575,2875,259,3709,1049,1078,201,2328,2434,69136,4420,75990,64,9685,632,10381,205,15921,728,16854,55,6471,319,6845,66,6891,555,7512,129,21549,1855,23533,154,23845,1585,25584,238,18868,1150,20256,303,14076,921,15300,394,9557,626,10577,898,5168,437,6503,1418,1748,289,3455,3924,133779,9097,146800
CED146,62,5535,611,6208,246,9885,826,10957,82,5146,344,5572,68,5636,486,6190,170,12036,1029,13235,250,9819,744,10813,463,9337,701,10501,720,6629,468,7817,737,4169,334,5240,835,2201,226,3262,448,464,108,1020,4081,70857,5877,80815,34,5199,591,5824,122,9427,662,10211,57,4715,289,5061,37,5557,378,5972,147,11939,860,12946,238,10415,680,11333,512,9563,605,10680,659,6753,422,7834,798,4174,301,5273,1242,2387,309,3938,903,629,195,1727,4749,70758,5292,80799,96,10734,1202,12032,368,19312,1488,21168,139,9861,633,10633,105,11193,864,12162,317,23975,1889,26181,488,20234,1424,22146,975,18900,1306,21181,1379,13382,890,15651,1535,8343,635,10513,2077,4588,535,7200,1351,1093,303,2747,8830,141615,11169,161614
CED147,29,4057,544,4630,89,5693,657,6439,33,2644,300,2977,41,3857,711,4609,48,15113,2562,17723,96,12392,1700,14188,145,8624,1135,9904,207,6820,836,7863,211,4295,593,5099,360,2162,303,2825,421,654,178,1253,1680,66311,9519,77510,11,3950,480,4441,54,5618,553,6225,21,2674,273,2968,20,4544,666,5230,49,16174,2242,18465,83,11746,1420,13249,127,8333,970,9430,189,7101,746,8036,260,4596,520,5376,635,2569,368,3572,1102,1075,360,2537,2551,68380,8598,79529,40,8007,1024,9071,143,11311,1210,12664,54,5318,573,5945,61,8401,1377,9839,97,31287,4804,36188,179,24138,3120,27437,272,16957,2105,19334,396,13921,1582,15899,471,8891,1113,10475,995,4731,671,6397,1523,1729,538,3790,4231,134691,18117,157039
CED148,78,5249,486,5813,478,10592,730,11800,150,5496,307,5953,106,4818,292,5216,189,9241,593,10023,218,9510,534,10262,397,9368,519,10284,621,6636,393,7650,560,3024,206,3790,467,1078,118,1663,239,188,27,454,3503,65200,4205,72908,50,5199,481,5730,226,10212,720,11158,88,5214,304,5606,67,4935,284,5286,152,10370,612,11134,254,10348,567,11169,524,9527,491,10542,710,6649,353,7712,616,3020,201,3837,810,1330,133,2273,629,267,56,952,4126,67071,4202,75399,128,10448,967,11543,704,20804,1450,22958,238,10710,611,11559,173,9753,576,10502,341,19611,1205,21157,472,19858,1101,21431,921,18895,1010,20826,1331,13285,746,15362,1176,6044,407,7627,1277,2408,251,3936,868,455,83,1406,7629,132271,8407,148307
CED194,0,275,31,306,10,271,49,330,15,306,66,387,12,564,127,703,28,1105,364,1497,59,896,415,1370,70,722,427,1219,79,619,264,962,62,446,115,623,29,91,26,146,21,17,11,49,385,5312,1895,7592,0,221,26,247,13,256,29,298,10,306,57,373,7,530,76,613,18,960,181,1159,44,540,147,731,48,518,108,674,56,576,87,719,36,260,50,346,21,55,17,93,42,13,17,72,295,4235,795,5325,0,496,57,553,23,527,78,628,25,612,123,760,19,1094,203,1316,46,2065,545,2656,103,1436,562,2101,118,1240,535,1893,135,1195,351,1681,98,706,165,969,50,146,43,239,63,30,28,121,680,9547,2690,12917
CED197,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,6,0,6,0,5,4,9,0,10,0,10,0,11,0,11,0,10,0,10,0,0,0,0,0,51,4,55,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,3,15,0,18,0,16,0,16,3,8,3,14,0,0,0,0,6,49,3,58,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,3,0,3,0,10,0,10,0,8,4,12,3,25,0,28,0,27,0,27,3,18,3,24,0,0,0,0,6,100,7,113
