SUA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1024,0,0,0,5,10,5,0,0,0,28,3,16,9,80,29,39,16,0,0,188,0,0,0,9,0,8,5,0,0,26,0,0,0,10,25,28,50,35,12,156,0,0,0,4,8,3,3,0,0,19,0,0,5,20,9,3,19,5,0,69,0,0,0,0,0,3,8,3,0,18,0,5,0,13,0,4,3,0,0,29,0,0,4,4,0,0,0,0,0,6,0,6,9,39,12,0,3,0,0,67,0,0,0,3,3,0,3,0,0,11,0,0,0,4,0,0,0,0,0,4,4,5,13,31,11,16,6,6,3,96,0,0,6,27,5,4,0,0,0,41,0,0,0,6,14,7,21,12,0,57,0,0,3,11,3,0,0,0,0,23,5,15,16,71,57,76,75,55,14,383,129,300,368,694,373,396,367,239,121,2987,2272,4581,4503,8495,4328,4604,3931,2161,904,35795
1025,0,3,0,3,0,3,4,0,0,14,0,19,16,71,37,28,11,0,0,183,0,0,0,5,3,6,3,12,11,34,0,6,0,17,12,16,21,10,5,95,0,4,3,3,4,0,0,0,0,16,0,25,18,50,21,18,10,3,0,141,0,0,0,0,0,3,3,4,0,12,0,3,0,28,8,6,0,0,0,52,0,3,3,10,5,4,3,0,0,29,0,3,5,15,4,3,0,0,0,38,0,0,0,0,3,0,0,0,3,10,0,0,0,7,3,0,0,0,0,14,0,12,7,22,10,5,12,0,0,74,0,0,5,29,3,3,0,0,0,36,0,3,0,7,3,3,7,3,0,23,0,10,20,38,16,6,0,0,0,103,0,37,34,129,54,49,24,32,27,379,118,255,305,713,387,352,301,245,94,2778,2901,5338,4740,10165,4733,4373,3456,2131,903,38741
1026,0,0,0,0,0,0,0,0,0,4,3,10,13,35,8,4,3,0,0,75,0,0,0,0,0,0,0,3,3,4,0,0,0,0,3,3,4,3,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,14,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,12,8,3,4,0,3,37,40,90,118,221,154,127,139,116,60,1065,753,1541,1427,2486,1347,1335,1030,727,344,10977
1027,0,0,0,15,3,5,0,0,0,27,3,16,22,63,37,24,14,3,0,181,0,0,0,3,4,5,5,10,8,31,0,13,3,27,28,35,86,54,23,263,0,3,0,0,6,4,6,0,0,22,0,5,14,52,31,31,35,18,5,193,0,0,0,0,0,8,4,9,3,23,0,0,0,4,7,3,7,0,0,26,0,0,0,8,0,0,0,0,0,14,0,4,4,19,13,6,0,0,0,49,0,0,0,0,0,6,0,0,0,13,0,0,0,4,8,0,0,0,0,11,0,32,6,46,14,26,24,11,0,159,0,0,3,32,3,8,0,0,0,49,0,3,4,8,8,10,10,13,8,57,0,0,3,15,7,11,9,4,0,49,5,24,22,123,69,71,95,74,35,509,94,163,231,528,372,406,598,424,179,2999,2285,5292,4439,9104,5659,5997,6459,4167,1972,45379
1028,0,0,0,9,7,3,0,0,0,14,4,22,10,56,15,17,3,0,0,125,0,0,0,0,0,0,0,0,0,5,0,0,0,4,9,12,6,4,0,27,0,0,0,6,0,0,0,0,0,4,0,12,20,45,23,4,3,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,19,4,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,4,15,4,0,0,0,0,36,0,0,3,13,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,10,0,3,3,37,10,13,8,4,4,82,40,134,102,294,160,145,104,57,33,1069,1161,2292,2346,4407,2233,1721,1051,597,292,16089
1029,0,0,0,0,3,0,0,3,0,5,0,4,5,19,9,12,6,0,0,58,0,0,0,0,4,11,10,7,4,40,0,3,0,7,7,27,29,22,9,112,0,0,0,0,3,0,5,0,0,14,0,0,3,9,11,9,10,0,0,39,0,0,0,0,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,0,0,0,13,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,7,0,17,10,11,12,0,0,64,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,10,8,5,3,32,0,0,0,0,0,4,0,0,0,6,4,3,3,36,32,43,81,54,24,272,24,72,97,214,202,192,256,164,89,1317,890,2010,1696,3375,2182,2742,2999,1681,619,18197
1030,9,59,157,964,918,639,241,216,82,3293,494,3270,6222,31094,13636,11674,5331,1277,606,73599,34,89,191,3591,1154,2447,1611,905,917,10943,42,362,479,3577,2851,3169,3008,1703,707,15902,333,1334,1659,3641,1459,1512,929,355,89,11304,231,1591,3210,11932,6681,4968,3068,1365,454,33507,0,0,77,1042,1173,1448,1200,917,249,6105,157,1037,1907,10430,4899,4054,2308,1086,427,26312,151,285,1230,6936,1117,1287,672,119,24,11821,223,697,2574,14698,2354,1445,490,100,25,22606,24,82,250,1939,2205,2685,2381,1176,295,11035,78,184,549,3596,3237,1901,1311,554,127,11544,729,2782,2915,8086,3184,2079,1359,384,124,21645,367,1425,6100,28633,18310,16339,5953,2496,1084,80699,19,81,152,1252,820,601,576,306,129,3929,10,206,630,1819,918,529,177,57,15,4356,2006,8252,15613,73704,31609,25530,20534,11454,5098,193801,14436,23704,32805,91248,34989,29896,23198,14678,8553,273511,287758,541789,585072,1383744,576942,475167,331099,180234,85000,4446805
1031,0,0,3,12,11,3,0,0,0,28,9,57,60,174,53,29,7,0,0,395,0,0,0,5,0,3,4,0,3,16,0,3,3,9,12,16,16,8,10,70,0,0,12,6,14,4,8,0,0,46,3,13,15,41,20,8,3,0,0,103,0,0,0,0,3,0,0,3,0,4,0,9,0,22,8,3,0,0,0,45,6,3,26,96,0,0,0,0,0,123,3,5,4,19,8,7,0,0,0,43,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,16,16,8,8,3,0,75,0,3,13,33,7,3,0,0,0,66,0,0,5,0,5,3,3,5,0,16,0,0,3,10,9,3,0,0,0,20,3,21,7,63,28,21,12,15,8,184,190,322,372,825,405,464,348,305,145,3376,2881,5531,5172,10263,4976,4889,3832,2413,1043,41006
1032,0,0,0,4,3,0,0,3,0,14,0,4,9,30,22,30,14,5,0,114,0,0,0,0,0,3,5,0,0,10,0,0,0,4,4,17,16,17,4,66,0,0,0,0,3,0,0,0,0,7,0,0,0,7,5,3,12,0,3,37,0,0,0,0,0,0,0,7,0,10,0,0,0,3,8,0,0,0,0,17,0,0,0,4,0,0,0,0,0,4,0,3,0,11,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,7,14,0,3,51,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,4,3,0,7,0,0,12,4,3,4,0,0,0,25,0,5,11,33,24,28,36,23,10,168,80,144,169,338,276,321,352,257,198,2144,1459,3159,2921,4917,3213,3592,3361,2171,1054,25852
1033,0,0,0,3,4,3,0,0,0,9,0,6,0,8,15,11,3,3,0,46,0,0,0,4,0,3,0,3,0,16,0,4,0,5,9,20,26,21,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,10,12,6,0,42,0,0,0,0,0,7,0,7,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,8,6,3,11,8,3,0,46,0,0,0,6,3,3,0,0,0,21,0,3,0,3,3,5,3,4,0,18,0,0,0,0,0,4,3,0,0,9,0,0,3,25,23,19,53,29,5,169,34,90,71,183,153,203,198,156,78,1166,708,1647,1230,2618,1836,2519,2579,1546,595,15278
1034,3,0,0,5,5,6,0,0,0,21,10,63,32,217,43,21,14,3,0,400,0,0,0,10,3,0,4,5,3,26,0,0,11,16,35,19,30,5,3,120,0,4,4,3,3,4,0,0,0,29,0,23,33,59,39,20,19,3,3,199,0,0,0,3,4,3,3,9,3,23,3,17,11,78,17,3,3,0,0,131,0,0,7,24,7,0,0,0,0,34,0,5,9,18,6,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,7,8,30,20,11,13,3,0,92,0,3,0,34,4,4,0,0,0,51,0,0,0,9,4,3,3,0,0,15,0,10,10,23,15,7,3,0,0,68,10,61,87,286,70,55,51,24,19,668,160,263,459,845,399,438,357,256,122,3290,3680,7278,8193,14124,6465,6188,4465,2719,1304,54411
1035,4,8,6,42,39,25,12,7,0,138,19,81,89,509,218,294,132,26,14,1381,0,5,3,100,34,115,84,66,65,469,6,30,27,123,390,494,529,367,139,2097,11,22,19,49,21,25,5,7,3,164,7,53,98,300,136,124,86,40,12,854,0,0,5,58,95,141,137,141,40,620,8,16,60,135,44,40,22,9,6,336,3,8,22,67,14,10,4,0,0,132,14,76,136,345,92,42,14,3,0,727,0,9,40,356,726,942,1001,530,116,3722,0,16,13,165,251,94,119,56,8,720,20,56,132,273,148,102,98,15,10,855,8,33,190,314,168,201,82,31,17,1043,0,13,10,57,160,163,132,94,33,657,0,10,16,64,30,21,12,3,0,161,142,451,556,1783,1232,1278,1067,855,403,7746,698,1274,1814,3838,2262,2357,2111,1496,724,16585,17078,35330,38984,71211,37489,34962,27026,16532,7063,285678
