region_id,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA16180,3022,1401,1072,2124,2339,2038,988,364,93,13441,7,5,0,8,3,6,3,0,3,35,251,62,63,63,69,60,39,16,5,628,6,7,3,0,4,8,7,0,3,38,156,45,6,13,12,7,6,0,3,248,3,0,0,0,0,3,6,0,0,12,52,4,5,4,0,4,0,0,0,69,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,0,0,0,3,5,31,18,11,17,14,8,5,0,109,0,0,0,0,0,0,0,0,0,0,476,149,95,91,102,100,66,21,11,1111,483,154,95,99,105,106,69,21,14,1146,3505,1555,1167,2223,2444,2144,1057,385,107,14587
LGA16200,3156,1556,1419,1653,1856,1610,1221,890,354,13715,15,13,5,9,9,0,3,6,0,60,49,95,75,91,96,85,48,15,10,564,0,6,7,5,9,18,27,7,0,79,3,11,13,3,12,15,13,3,0,73,0,0,3,0,0,4,7,3,0,17,0,0,0,0,0,5,3,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,6,3,0,0,15,0,0,0,0,0,0,0,0,0,0,55,112,98,103,120,133,101,31,10,763,70,125,103,112,129,133,104,37,10,823,3226,1681,1522,1765,1985,1743,1325,927,364,14538
LGA16250,31071,21555,32203,23483,20031,15290,9538,6441,2917,162529,47,49,76,41,21,20,14,13,3,284,543,589,835,605,527,463,268,160,97,4087,5,18,69,109,120,58,19,8,3,409,13,23,41,63,90,52,12,7,3,304,0,11,11,11,28,24,6,3,3,97,3,14,20,24,18,13,4,3,0,99,8,6,0,0,0,6,0,0,0,20,0,5,3,0,0,4,0,0,0,12,4,15,16,14,22,7,4,3,0,85,0,0,0,0,0,0,0,0,0,0,576,681,995,826,805,627,313,184,106,5113,623,730,1071,867,826,647,327,197,109,5397,31694,22285,33274,24350,20857,15937,9865,6638,3026,167926
LGA16350,38034,25365,25332,24600,23650,19743,9918,4824,1819,173285,37,35,30,29,23,18,7,5,0,184,634,939,775,466,385,338,253,157,88,4035,7,11,21,26,14,15,5,3,0,102,23,24,47,32,40,29,23,8,3,229,3,0,9,3,4,11,3,0,0,33,7,4,5,9,12,6,3,0,0,46,3,4,0,0,0,12,5,3,0,27,0,0,3,0,3,3,0,0,0,9,0,9,4,4,15,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,677,991,864,540,473,414,292,171,91,4513,714,1026,894,569,496,432,299,176,91,4697,38748,26391,26226,25169,24146,20175,10217,5000,1910,177982
LGA16370,11099,5933,4583,7803,8385,7348,4839,2767,1431,54188,8,3,5,15,7,10,6,5,3,62,160,193,187,131,162,151,96,71,66,1217,3,3,3,6,5,6,7,3,0,36,3,3,8,5,8,15,17,4,3,66,0,3,3,3,0,3,5,3,0,20,0,3,3,4,6,0,7,5,0,28,3,3,3,3,4,5,3,3,0,27,0,0,3,0,0,0,3,0,0,6,3,3,3,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,172,211,213,152,185,180,138,89,72,1412,180,214,218,167,192,190,144,94,75,1474,11279,6147,4801,7970,8577,7538,4983,2861,1506,55662
LGA16380,12464,6706,5341,8052,9506,9510,8541,5899,2349,68368,26,14,15,14,18,13,16,9,3,128,369,410,351,370,414,509,507,232,92,3254,21,13,26,10,28,102,193,100,9,502,14,31,35,32,38,50,60,10,0,270,3,5,3,4,5,16,22,12,0,70,6,11,7,4,16,13,8,0,0,65,3,4,3,0,3,22,17,7,0,59,3,0,0,0,3,3,3,0,0,12,3,7,3,11,17,19,13,7,4,84,0,0,0,0,0,0,0,0,0,0,422,481,428,431,524,734,823,368,105,4316,448,495,443,445,542,747,839,377,108,4444,12912,7201,5784,8497,10048,10257,9380,6276,2457,72812
LGA16400,12350,7099,5828,7727,8455,8090,6665,3636,1256,61106,21,12,15,15,19,13,15,30,52,192,283,321,256,240,286,306,341,126,40,2199,6,5,14,8,18,48,58,21,4,182,13,17,32,39,24,32,24,6,3,190,3,6,3,5,5,13,9,3,0,47,4,5,9,4,8,9,7,0,0,46,3,0,0,4,8,7,7,4,0,33,0,4,4,0,0,4,0,0,0,12,0,6,18,7,8,6,7,3,0,55,0,0,0,0,0,0,0,0,0,0,312,364,336,307,357,425,453,163,47,2764,333,376,351,322,376,438,468,193,99,2956,12683,7475,6179,8049,8831,8528,7133,3829,1355,64062
LGA16470,7544,4866,5395,5960,5443,3710,1918,1099,422,36357,14,3,12,5,3,4,0,4,0,45,85,178,165,150,206,163,70,35,12,1064,7,6,4,7,30,17,15,9,3,98,38,10,12,14,22,35,13,0,0,144,5,0,3,0,5,8,3,4,0,28,3,0,0,5,0,3,4,3,3,21,0,0,3,0,3,3,3,0,0,12,0,4,0,0,0,0,0,0,0,4,30,99,58,36,27,11,8,0,0,269,0,0,0,0,0,0,0,0,0,0,168,297,245,212,293,240,116,51,18,1640,182,300,257,217,296,244,116,55,18,1685,7726,5166,5652,6177,5739,3954,2034,1154,440,38042
LGA16550,18996,19362,23207,19228,15301,11910,7952,5658,2645,124259,13,49,33,26,14,11,21,16,12,195,427,821,769,526,382,375,221,172,96,3789,7,27,32,38,23,37,8,4,0,176,9,40,54,32,51,26,23,4,0,239,0,9,11,9,9,7,5,0,0,50,4,11,13,8,6,7,10,3,0,62,0,4,3,0,0,7,4,6,0,24,0,12,4,0,0,4,3,0,0,23,15,34,15,16,13,11,5,3,0,112,0,0,0,0,0,0,0,0,0,0,462,958,901,629,484,474,279,192,96,4475,475,1007,934,655,498,485,300,208,108,4670,19471,20369,24141,19883,15799,12395,8252,5866,2753,128929
LGA16610,4448,2327,1886,2401,2915,2884,2090,1420,529,20900,21,5,11,8,4,8,5,0,3,65,70,150,69,52,95,131,162,83,28,840,0,4,0,0,3,37,112,50,0,206,15,18,16,22,22,29,28,8,0,158,3,0,4,3,3,7,9,4,0,33,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,14,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,0,0,15,0,0,0,0,0,0,0,0,0,0,88,172,89,82,132,224,321,145,28,1281,109,177,100,90,136,232,326,145,31,1346,4557,2504,1986,2491,3051,3116,2416,1565,560,22246
LGA16650,16640,11304,16630,14186,11966,9912,6931,4986,2369,94924,15,22,36,23,11,18,10,3,0,138,210,218,346,275,222,187,112,75,34,1679,3,4,11,23,25,14,4,0,0,84,6,15,7,16,28,26,13,4,0,115,0,0,3,8,5,4,3,5,0,28,9,8,11,15,9,4,9,0,0,65,0,0,3,3,3,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,7,0,12,15,11,4,0,52,0,0,0,0,0,0,0,0,0,0,228,248,388,340,304,260,155,88,34,2045,243,270,424,363,315,278,165,91,34,2183,16883,11574,17054,14549,12281,10190,7096,5077,2403,97107
LGA16700,16737,14011,16330,14856,13388,10474,6673,5087,2366,99922,15,29,29,16,12,13,0,8,9,131,176,436,413,272,237,255,168,123,106,2186,9,19,50,69,78,45,14,9,0,293,11,13,46,45,70,41,16,0,3,245,0,9,19,28,12,14,7,3,0,92,7,18,31,8,30,12,9,0,0,115,0,13,9,8,7,8,9,4,0,58,0,3,0,5,8,0,0,0,0,16,0,9,5,7,8,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,203,520,573,442,450,381,223,139,109,3040,218,549,602,458,462,394,223,147,118,3171,16955,14560,16932,15314,13850,10868,6896,5234,2484,103093
LGA16900,13256,8112,6878,8471,8795,6925,4862,2895,876,61070,11,15,6,14,9,3,5,5,0,68,259,269,259,153,118,129,91,72,34,1384,3,3,3,0,10,7,9,4,3,42,5,13,7,6,12,20,4,3,3,73,0,0,0,0,4,0,3,0,0,7,4,3,6,0,4,3,3,3,0,26,0,0,0,4,0,3,3,0,0,10,0,0,0,0,3,3,0,0,0,6,0,3,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,271,291,278,163,154,165,113,82,40,1557,282,306,284,177,163,168,118,87,40,1625,13538,8418,7162,8648,8958,7093,4980,2982,916,62695
LGA16950,15921,9284,7251,9748,12127,12424,10647,6918,2466,86786,25,29,27,20,33,20,16,10,0,180,431,562,392,331,372,486,387,194,93,3248,4,7,16,30,20,42,50,13,0,182,15,16,24,15,28,19,16,3,0,136,0,0,3,0,7,14,7,3,0,34,8,3,13,18,3,12,5,0,0,62,0,0,0,4,7,11,10,3,0,35,3,3,0,0,3,0,0,0,0,9,10,25,23,15,29,40,29,10,0,181,3,3,0,0,0,0,0,0,0,6,474,619,471,413,469,624,504,226,93,3893,499,648,498,433,502,644,520,236,93,4073,16420,9932,7749,10181,12629,13068,11167,7154,2559,90859
LGA17000,4927,3070,2757,3268,3110,2298,1227,725,248,21630,6,15,3,3,6,4,0,0,0,37,74,234,205,125,136,129,44,27,15,989,0,8,11,3,13,8,5,0,0,48,5,28,54,28,23,13,10,0,0,161,0,3,7,3,3,0,3,0,0,19,3,6,7,5,4,4,3,0,0,32,0,0,3,0,0,5,0,0,0,8,3,3,3,3,0,0,0,0,0,12,0,3,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,85,285,290,170,182,162,65,27,15,1281,91,300,293,173,188,166,65,27,15,1318,5018,3370,3050,3441,3298,2464,1292,752,263,22948
LGA17050,1431,896,790,1071,1112,842,516,244,66,6968,6,7,5,3,4,10,3,4,0,42,1420,2231,1003,1148,1162,1036,577,120,17,8714,37,77,59,55,69,53,28,4,0,382,442,325,201,207,187,138,46,5,0,1551,22,38,29,26,4,30,27,0,0,176,20,30,30,13,27,6,7,0,0,133,3,16,9,6,7,10,4,0,0,55,3,0,3,0,3,3,0,0,0,12,63,72,71,73,84,79,56,17,0,515,0,0,0,0,0,0,0,0,0,0,2010,2789,1405,1528,1543,1355,745,146,17,11538,2016,2796,1410,1531,1547,1365,748,150,17,11580,3447,3692,2200,2602,2659,2207,1264,394,83,18548
LGA17100,5669,5463,6868,4335,4595,3295,2034,1408,648,34315,3,8,9,9,5,5,3,0,0,42,68,86,119,72,67,50,26,20,9,517,0,0,5,8,3,3,3,3,0,25,0,5,6,0,6,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,68,96,133,80,85,57,29,23,9,580,71,104,142,89,90,62,32,23,9,622,5740,5567,7010,4424,4685,3357,2066,1431,657,34937
LGA17150,39687,25826,24740,29518,29148,24511,15312,10282,4390,203414,29,32,18,27,30,21,8,9,4,178,609,694,736,462,361,428,319,250,200,4059,6,14,21,10,17,21,17,3,6,115,15,15,44,26,43,59,33,16,3,254,3,3,9,4,3,4,5,0,0,31,3,3,20,15,8,12,14,3,0,78,3,3,0,4,3,6,6,0,0,25,0,5,3,0,0,0,0,0,0,8,3,3,4,7,3,4,7,0,0,31,0,0,0,0,0,0,0,0,0,0,642,740,837,528,438,534,401,272,209,4601,671,772,855,555,468,555,409,281,213,4779,40358,26598,25595,30073,29616,25066,15721,10563,4603,208193
LGA17200,11668,25744,52985,28027,17698,13400,7477,3962,1380,162341,16,111,64,55,27,32,12,12,0,329,591,1873,2429,1766,1610,1396,710,330,144,10849,67,229,701,860,887,436,131,42,6,3359,47,150,373,492,440,329,123,8,6,1968,18,70,111,155,191,139,50,24,3,761,19,94,208,243,208,231,76,24,0,1103,6,17,29,38,71,78,28,8,3,278,3,7,18,25,22,19,3,0,0,97,9,99,109,157,146,89,54,12,0,675,0,0,0,0,0,0,0,0,0,0,760,2539,3978,3736,3575,2717,1175,448,162,19090,776,2650,4042,3791,3602,2749,1187,460,162,19419,12444,28394,57027,31818,21300,16149,8664,4422,1542,181760
LGA17310,11406,6415,5712,6697,7253,6636,4802,2933,1148,53002,48,18,15,14,11,21,19,6,0,152,317,479,319,237,307,310,252,106,32,2359,0,5,8,13,20,30,23,9,0,108,22,21,44,39,26,42,31,0,0,225,0,3,11,3,4,7,16,5,0,49,3,3,8,3,0,7,0,0,0,24,3,3,0,5,0,0,4,4,0,19,0,0,0,0,5,0,0,0,0,5,3,0,3,4,0,7,8,0,0,25,0,0,0,0,0,0,0,0,0,0,348,514,393,304,362,403,334,124,32,2814,396,532,408,318,373,424,353,130,32,2966,11802,6947,6120,7015,7626,7060,5155,3063,1180,55968
LGA17350,1131,563,418,614,789,745,575,425,163,5423,3,0,6,0,0,4,0,0,0,13,23,20,18,14,24,29,18,5,4,155,0,0,5,0,3,3,10,3,0,24,3,0,0,7,0,4,3,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,26,27,23,21,27,41,35,11,4,215,29,27,29,21,27,45,35,11,4,228,1160,590,447,635,816,790,610,436,167,5651
LGA17400,1250,501,477,740,909,1107,759,395,142,6280,6,0,0,5,9,4,4,0,0,28,28,19,32,24,27,50,40,15,3,238,0,0,0,0,4,3,15,0,0,22,11,22,13,10,13,23,9,10,0,111,0,3,0,0,0,3,3,0,0,9,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,3,4,0,0,7,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,44,45,41,44,85,71,25,6,403,48,44,45,46,53,89,75,25,6,431,1298,545,522,786,962,1196,834,420,148,6711
LGA17420,35861,22682,17233,25253,24518,20571,12091,5039,1750,164998,26,15,7,19,22,13,10,12,0,124,310,484,479,280,226,260,236,129,96,2500,13,12,33,36,25,13,15,8,4,159,16,19,24,33,41,34,28,13,0,208,3,0,11,9,11,8,8,0,5,55,7,3,14,7,8,13,6,3,0,61,0,4,12,5,0,8,0,0,0,29,0,0,0,0,0,0,3,0,0,3,3,6,13,4,4,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,352,528,586,374,315,339,296,153,105,3048,378,543,593,393,337,352,306,165,105,3172,36239,23225,17826,25646,24855,20923,12397,5204,1855,168170
LGA17450,613,290,300,408,478,457,329,176,76,3127,5,0,0,6,0,0,0,0,0,11,10,29,24,5,10,17,4,13,3,115,3,0,5,6,7,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,13,29,32,11,17,25,12,13,3,155,18,29,32,17,17,25,12,13,3,166,631,319,332,425,495,482,341,189,79,3293
LGA17500,2176,1076,1072,1328,1464,1324,987,611,248,10286,0,3,6,0,6,7,5,5,3,35,55,90,52,56,60,75,26,17,5,436,0,10,10,9,17,4,4,0,0,54,5,5,5,3,6,7,0,0,0,31,0,0,0,3,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,60,108,67,77,90,89,33,17,5,546,60,111,73,77,96,96,38,22,8,581,2236,1187,1145,1405,1560,1420,1025,633,256,10867
LGA17550,14794,8280,7101,9807,11556,10828,8787,6845,2792,80790,29,21,21,25,32,22,14,17,5,186,276,340,250,242,296,417,382,215,64,2482,34,12,37,62,77,221,365,255,42,1105,216,133,177,129,149,214,134,45,19,1216,8,6,8,8,15,48,113,66,8,280,12,3,11,13,17,15,19,5,0,95,0,7,7,3,11,34,66,36,6,170,0,3,4,3,3,0,0,0,0,13,0,6,4,4,5,16,19,6,0,60,0,0,0,0,0,0,0,0,0,0,546,510,498,464,573,965,1098,628,139,5421,575,531,519,489,605,987,1112,645,144,5607,15369,8811,7620,10296,12161,11815,9899,7490,2936,86397
LGA17620,2812,1454,1541,1682,1786,1615,1132,696,274,12992,7,5,4,6,4,4,6,0,0,36,53,114,101,87,102,86,62,21,7,633,0,3,3,5,0,3,8,3,0,25,0,5,3,5,7,8,5,5,0,38,0,0,0,4,0,0,4,0,0,8,0,0,3,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,122,110,101,113,100,82,29,7,717,60,127,114,107,117,104,88,29,7,753,2872,1581,1655,1789,1903,1719,1220,725,281,13745
LGA17640,1275,610,478,829,1061,1044,821,462,139,6719,3,0,3,8,5,0,3,0,0,22,27,26,28,18,31,30,24,13,10,207,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,5,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30,35,31,21,36,33,27,19,10,242,33,35,34,29,41,33,30,19,10,264,1308,645,512,858,1102,1077,851,481,149,6983
LGA17650,1221,576,464,713,873,874,517,268,77,5583,5,9,3,0,7,6,0,0,0,30,17,30,25,20,25,34,14,6,5,176,0,0,0,0,0,0,3,3,0,6,3,4,5,4,0,4,3,3,0,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,30,24,25,38,20,15,5,214,28,43,33,24,32,44,20,15,5,244,1249,619,497,737,905,918,537,283,82,5827
LGA17700,229,93,82,110,167,170,137,76,26,1090,0,3,0,0,0,0,3,0,0,6,4,7,0,0,0,3,0,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,6,3,0,0,20,4,10,0,0,0,6,6,0,0,26,233,103,82,110,167,176,143,76,26,1116
LGA17750,12255,9133,7187,7146,7108,6056,3703,2486,1073,56147,25,36,22,6,10,9,5,0,0,113,261,1009,399,281,282,245,163,103,61,2804,9,182,58,33,57,43,28,6,7,423,3,120,46,18,20,26,4,3,0,240,3,27,16,5,19,8,3,0,0,81,4,21,9,10,8,4,0,0,0,56,0,20,3,0,8,3,3,4,0,41,0,7,3,6,3,3,0,0,0,22,8,46,19,21,15,10,0,0,0,119,0,0,0,0,0,0,0,0,0,0,288,1432,553,374,412,342,201,116,68,3786,313,1468,575,380,422,351,206,116,68,3899,12568,10601,7762,7526,7530,6407,3909,2602,1141,60046
LGA17800,663,370,279,386,588,581,409,284,95,3655,10,3,0,3,6,4,0,4,0,30,5,8,4,7,5,9,10,3,3,54,14,24,24,19,24,32,22,32,7,198,3,0,3,0,0,0,0,0,0,6,0,0,0,0,3,0,4,4,0,11,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,22,32,34,26,32,46,43,42,10,287,32,35,34,29,38,50,43,46,10,317,695,405,313,415,626,631,452,330,105,3972
LGA17850,532,276,241,344,385,428,344,177,73,2800,3,3,0,0,3,3,3,0,0,15,14,27,18,14,28,25,15,5,3,149,0,0,0,3,0,4,3,0,0,10,0,3,3,3,3,3,3,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,21,20,34,32,21,5,3,180,17,33,21,20,37,35,24,5,3,195,549,309,262,364,422,463,368,182,76,2995
LGA17900,1276,560,627,733,864,870,645,263,69,5907,11,4,5,8,7,8,5,7,0,55,42,58,50,60,106,157,137,42,6,658,0,0,3,0,10,34,35,22,0,104,4,11,7,7,12,20,17,5,0,83,0,0,0,0,0,11,18,0,0,29,0,0,0,0,3,3,0,0,0,6,0,0,4,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,46,69,64,67,131,236,212,69,6,900,57,73,69,75,138,244,217,76,6,955,1333,633,696,808,1002,1114,862,339,75,6862
LGA17950,560,241,280,300,409,349,260,136,44,2579,0,3,3,0,3,0,0,0,0,9,6,58,16,13,31,31,17,4,3,179,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,9,64,19,13,31,34,20,7,3,200,9,67,22,13,34,34,20,7,3,209,569,308,302,313,443,383,280,143,47,2788
LGA18000,27708,14422,17215,22604,18992,13950,10200,6834,3752,135677,23,14,28,21,12,15,6,16,8,143,460,450,487,338,250,265,179,84,78,2591,5,16,19,18,6,6,17,7,0,94,11,15,13,20,24,25,16,10,0,134,0,3,3,4,15,9,8,0,0,42,0,3,10,5,0,8,10,4,0,40,0,0,0,4,3,5,5,3,0,20,0,5,3,4,0,0,0,0,0,12,0,8,3,0,4,3,6,0,3,27,0,0,0,0,0,0,0,0,0,0,476,500,538,393,302,321,241,108,81,2960,499,514,566,414,314,336,247,124,89,3103,28207,14936,17781,23018,19306,14286,10447,6958,3841,138780
LGA18020,1864,807,691,1001,1215,1316,1037,655,251,8837,17,14,9,6,3,11,3,0,3,66,32,42,25,38,53,55,62,24,8,339,5,4,3,4,12,37,27,8,0,100,6,6,9,7,5,3,4,3,0,43,0,0,0,0,0,3,13,0,0,16,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,52,37,49,73,104,109,38,8,513,60,66,46,55,76,115,112,38,11,579,1924,873,737,1056,1291,1431,1149,693,262,9416
