SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED10047,2321,600,245,145,43,4,4703,39,322,390,176,92,59,17,0,1093,683,3577,4089,1593,882,560,149,32,11567,455,1967,2098,1345,791,462,128,25,7270,1698,4022,3310,2508,1924,1104,481,96,15142,211,265,239,178,134,91,26,0,1146,145,207,319,303,297,206,71,18,1565,2057,4499,3866,2989,2357,1400,579,118,17856,28,105,170,97,79,64,21,7,573,1420,2027,1860,1311,989,841,537,228,9216,4734,13772,14806,8110,5428,3538,1481,411,52277
SED10048,2844,1189,584,236,44,4,6524,34,289,403,242,161,106,18,0,1258,1118,4579,4746,2231,1372,791,177,31,15040,528,1772,2239,1476,1219,608,149,38,8030,1122,2579,2542,2157,2090,1224,439,70,12228,162,173,207,152,161,104,17,3,973,89,198,296,336,379,261,73,17,1642,1367,2949,3041,2648,2628,1585,536,88,14844,45,119,168,120,102,81,42,12,695,855,1192,1222,901,740,653,517,258,6333,4002,12457,14663,8809,6797,4062,1480,439,52713
SED10049,602,414,330,180,52,5,1991,37,235,244,242,206,178,34,9,1183,383,2164,1992,1401,840,672,245,72,7774,306,1287,1513,1433,1129,702,272,54,6688,1715,4286,3632,3037,2560,1478,636,132,17493,236,251,207,157,124,98,30,0,1109,105,162,154,251,337,273,118,36,1437,2061,4704,3993,3451,3022,1854,789,168,20041,23,43,51,58,55,91,45,17,387,523,682,651,524,547,532,515,268,4246,3348,9515,9051,7526,6118,4214,1950,596,42308
SED10050,2387,2018,1250,578,263,42,8178,24,297,470,574,427,280,85,8,2165,1004,5687,5221,4746,2905,1446,623,172,21811,264,1100,1381,1687,1285,864,472,124,7175,396,1270,1087,1081,1050,609,347,122,5973,64,49,58,107,107,101,40,9,521,50,94,169,269,352,284,170,51,1435,511,1416,1314,1458,1505,999,548,183,7934,16,107,112,109,94,82,78,23,623,294,652,606,557,430,385,347,232,3496,2144,10847,11503,11149,7894,4632,2411,790,51375
SED10051,2264,1558,932,511,161,32,7148,20,262,379,375,252,179,49,11,1531,1103,4573,4081,2914,1743,1065,365,95,15949,364,1259,1520,1648,1181,700,309,102,7068,660,1736,1610,1582,1521,874,536,182,8699,98,77,78,110,105,72,35,8,582,81,151,189,292,351,231,120,25,1432,839,1965,1880,1975,1969,1171,685,214,10711,45,129,102,100,114,101,63,20,666,581,1189,1124,931,774,745,664,421,6429,3014,11007,11344,9498,6965,4473,2297,891,49497
SED10052,1343,903,613,356,146,16,4248,33,218,332,305,286,223,59,14,1477,858,3222,3167,2380,1589,1099,409,113,12838,367,1068,1563,1783,1342,975,451,149,7691,819,1784,1816,2014,1786,1156,764,314,10457,84,80,111,112,143,87,47,12,676,96,121,196,360,420,392,253,78,1927,997,1987,2127,2493,2349,1639,1068,412,13059,22,51,67,84,107,123,90,32,570,319,478,536,539,452,530,636,564,4055,2620,7867,9140,8483,6730,4948,2854,1294,43940
SED10053,1287,1162,838,481,162,10,5055,26,267,443,509,428,243,62,6,1994,484,2788,2472,2044,1552,998,357,65,10763,233,1153,1419,1711,1335,727,280,55,6910,1087,2731,2445,2488,2189,1153,475,142,12708,152,161,149,128,141,81,29,3,842,67,118,140,256,315,251,87,33,1273,1297,3014,2728,2876,2644,1486,595,182,14819,16,59,63,65,59,74,38,6,385,583,984,819,793,869,694,456,185,5377,2674,9346,9230,9158,7725,4703,1951,508,45300
SED10054,1380,529,293,145,34,7,3283,30,182,227,143,97,50,18,0,755,889,3027,2839,1913,1545,797,179,57,11241,438,1351,1505,1173,893,407,125,26,5926,1064,2120,1930,1974,1596,773,224,55,9724,137,161,187,163,124,62,12,0,849,109,177,248,308,258,161,45,8,1313,1308,2467,2362,2441,1980,995,277,64,11892,29,81,118,100,89,76,22,0,518,1075,1281,1180,942,741,668,481,420,6793,3818,9236,9621,7247,5646,3146,1138,579,40424
SED10055,831,429,365,169,38,8,2653,36,199,246,192,161,89,15,3,932,886,2607,2263,1592,1136,717,161,28,9383,414,1290,1689,1568,1123,489,112,16,6700,1373,2631,2711,2576,2150,1048,291,56,12831,144,123,174,151,138,63,12,3,802,102,166,274,373,405,177,52,9,1558,1615,2920,3157,3098,2693,1288,348,65,15182,26,56,87,89,91,73,24,6,442,544,628,666,593,562,418,227,72,3709,3569,8460,8936,7564,6121,3237,924,202,39012
SED10056,262,205,164,78,30,4,1154,22,149,179,217,191,126,26,0,914,301,1741,1498,1148,822,541,223,50,6309,176,842,941,969,954,610,277,70,4838,1127,2634,2380,2448,2422,1568,594,130,13308,151,155,126,169,184,84,25,3,895,83,140,143,244,256,206,77,19,1163,1358,2924,2650,2860,2870,1853,694,151,15366,20,56,51,40,71,59,40,23,364,991,1194,1046,1164,1301,1358,1046,580,8684,2887,7299,6628,6605,6367,4624,2330,889,37632
SED10057,266,213,255,274,115,11,1340,5,92,115,158,203,243,72,11,903,145,862,955,957,1037,1127,429,107,5621,141,467,740,971,1244,1143,462,127,5292,937,1884,1912,2432,2927,2393,1154,278,13915,132,166,147,148,188,196,64,9,1050,55,86,113,216,384,416,204,59,1543,1123,2139,2176,2800,3497,3003,1424,349,16509,14,24,36,41,83,131,72,25,427,646,583,625,730,1087,1411,1317,761,7161,2091,4361,4903,5864,7414,7330,3894,1390,37254
SED10058,1369,1024,877,535,194,40,5277,42,363,361,385,390,347,77,16,1980,1097,4732,3189,2387,1716,1353,448,109,15021,329,1147,1119,1275,1225,818,316,95,6328,1139,2501,1819,1769,1902,1194,527,136,10985,189,101,104,101,128,90,32,8,753,72,91,134,225,284,268,112,49,1232,1405,2693,2052,2098,2308,1559,669,192,12970,25,59,44,68,65,62,51,21,388,566,733,604,638,635,695,533,445,4846,3512,10920,8743,7865,7221,5362,2281,913,46818
SED10059,3032,1940,1216,636,181,18,11242,47,681,562,451,337,175,46,4,2305,2924,10431,4938,2955,1705,870,283,71,24183,569,1646,1253,1117,760,399,171,58,5967,512,1275,884,832,659,339,153,40,4692,81,67,79,74,63,51,15,4,426,56,139,143,168,191,116,46,13,877,654,1480,1094,1073,916,509,211,51,5997,75,127,78,70,68,53,23,6,498,800,1554,933,763,660,534,373,219,5825,5273,19932,11894,8356,5657,3173,1294,427,56018
SED10060,3286,2417,1813,1277,642,93,12432,22,550,565,453,471,386,169,30,2634,1469,7402,5371,3880,3077,2331,1247,370,25134,215,937,1170,1196,1102,984,650,193,6444,229,766,598,511,490,347,243,85,3272,26,49,41,40,62,43,39,9,318,31,94,121,199,224,253,169,78,1176,289,907,760,749,773,645,451,178,4760,22,93,95,91,94,99,103,27,623,284,764,654,494,508,453,516,310,3981,2372,13468,11904,9279,7832,6174,3778,1194,56007
SED10061,634,505,504,402,183,40,2813,17,164,216,266,240,234,62,7,1212,370,1639,1447,1321,1089,880,378,95,7214,180,586,729,991,1007,769,346,80,4694,1121,2164,1935,1871,2096,1311,598,121,11212,257,181,127,149,186,79,41,10,1028,89,85,111,226,282,247,122,30,1196,1470,2430,2169,2241,2558,1636,766,156,13433,30,31,36,51,61,74,50,9,340,1622,1239,1143,1242,1311,1250,1018,467,9296,3702,6612,6383,6625,6777,5240,2797,862,38994
SED10062,1658,1084,768,405,126,29,5383,40,224,302,287,270,235,57,10,1421,1206,3614,3415,2715,2061,1176,439,113,14748,435,950,1327,1587,1291,778,335,109,6809,598,1193,1222,1453,1411,965,551,240,7632,85,72,83,129,158,88,33,14,662,76,88,182,319,382,320,151,70,1592,758,1354,1491,1897,1952,1376,736,322,9889,24,68,82,93,110,102,61,19,550,416,609,578,524,452,485,547,599,4203,2951,8044,8850,8186,6909,4552,2309,1196,43005
SED10063,580,443,336,256,69,17,2226,18,196,230,248,221,150,55,10,1130,356,1977,1959,1491,1035,865,289,79,8048,182,734,965,1113,1020,777,352,81,5226,1281,2863,2455,2357,2143,1244,545,148,13018,149,166,153,137,183,120,47,6,958,80,151,157,230,298,272,166,28,1392,1508,3175,2759,2730,2621,1638,754,184,15364,17,31,47,46,62,69,67,16,360,761,735,759,774,858,899,766,449,6007,2871,7337,7303,6843,6168,4651,2356,832,38359
SED10064,223,249,335,277,97,17,1321,15,95,146,212,288,264,68,3,1086,127,921,1030,1186,1183,1124,382,92,6052,101,488,724,1002,1250,1115,391,91,5174,914,2196,2113,2417,3130,2272,923,218,14187,154,187,138,158,209,166,37,6,1067,70,90,149,231,336,377,148,47,1446,1144,2479,2396,2804,3681,2820,1110,275,16703,21,32,27,43,85,117,66,17,417,930,1031,981,948,1185,1208,929,475,7686,2345,5170,5525,6444,8018,6920,3037,973,38443
SED10065,4694,1593,891,409,135,19,12942,51,478,553,331,257,167,43,9,1887,1792,8508,6965,3107,2102,1169,468,133,24235,791,1848,2055,1619,1218,697,285,87,8599,768,1599,1499,1440,1319,669,353,134,7781,133,110,117,125,108,67,29,6,691,78,178,214,298,265,248,121,42,1436,978,1883,1829,1862,1692,986,497,178,9912,64,225,199,111,130,101,54,25,919,808,1753,1461,770,776,650,408,288,6912,4712,19670,17757,9388,7077,4172,1879,745,65399
SED10066,1055,593,347,241,62,11,3209,37,196,243,238,216,181,47,6,1169,666,2443,2178,1407,921,689,256,62,8624,425,1219,1339,1217,1015,660,237,59,6180,1522,3295,2692,2295,1967,1246,530,114,13655,185,198,182,161,136,74,22,3,964,98,154,209,243,284,249,132,23,1386,1797,3640,3084,2700,2386,1570,686,140,16004,34,64,78,60,78,80,48,15,455,664,999,867,682,581,641,690,508,5634,3669,9421,8841,6906,5541,4061,2025,796,41268
SED10067,874,1171,988,676,291,61,4511,14,139,248,363,406,337,111,28,1641,667,2160,2795,3054,2488,1870,898,265,14193,244,704,1238,1798,1595,1244,740,241,7807,690,1242,1428,1721,1679,1108,712,245,8824,73,37,77,112,99,107,41,20,560,59,75,175,314,449,418,270,104,1868,823,1357,1669,2144,2233,1634,1021,365,11250,22,28,57,103,104,128,107,50,603,357,331,424,503,496,570,709,640,4029,2140,5152,7306,9145,8307,6460,3876,1650,44038
SED10068,478,505,369,391,141,28,2263,9,119,220,290,284,325,101,14,1363,264,1467,1631,1559,1348,1294,588,154,8300,167,565,1039,1304,1421,1342,650,180,6680,1086,1965,2091,2566,2921,2469,1279,385,14768,159,128,122,159,198,179,66,21,1033,96,71,161,226,375,513,285,85,1811,1339,2173,2368,2953,3497,3163,1640,482,17605,21,26,50,55,93,138,93,30,506,490,432,471,536,818,1028,1030,653,5457,2305,5125,6259,7197,7833,7683,4240,1539,42176
SED10069,292,325,348,327,126,19,1616,19,94,134,185,235,261,75,8,998,177,901,1114,1088,1066,1110,500,89,6041,196,630,952,1201,1380,1199,558,99,6203,1045,2216,2402,2770,2975,2266,1168,235,15068,153,157,139,149,193,162,61,10,1023,78,101,139,224,347,422,222,52,1591,1281,2480,2685,3144,3513,2843,1445,292,17675,8,24,44,53,79,114,75,31,424,468,485,476,627,775,997,1014,509,5357,2144,4778,5697,6616,7388,6849,3791,1049,38320
SED10070,2021,669,408,186,37,11,4904,36,208,255,192,132,99,23,0,947,933,3349,3325,1800,1201,704,219,42,11576,416,1135,1560,1363,971,518,180,40,6190,737,1395,1525,1646,1487,1026,514,109,8438,114,92,123,127,112,78,13,0,675,60,129,209,298,301,223,74,21,1325,909,1622,1864,2071,1900,1324,605,137,10436,37,94,121,92,104,78,36,6,569,570,805,879,684,594,690,521,400,5147,3008,8680,10027,6876,5310,3598,1633,642,39763
SED10071,5734,1949,828,425,103,11,11579,52,364,729,420,194,120,20,0,1910,1388,6079,8425,3987,1945,1074,244,42,23187,611,1836,2542,2009,1122,550,151,26,8844,1227,2289,2373,2204,1398,726,273,45,10535,173,138,157,172,110,55,14,3,815,116,167,279,405,295,199,78,13,1557,1518,2590,2810,2782,1799,974,364,62,12900,30,152,267,142,100,86,38,5,817,832,1465,1499,832,524,406,236,96,5893,4531,14911,22011,12123,6522,3635,1161,241,65130
SED10072,2181,1048,562,316,95,16,7455,41,372,343,243,190,122,23,16,1351,1585,7011,4408,2291,1551,857,305,99,18114,772,1886,1832,1680,1158,641,268,76,8314,648,1712,1496,1558,1342,817,514,170,8266,75,123,120,144,115,66,18,3,659,93,194,226,353,391,248,112,45,1667,818,2032,1846,2048,1847,1133,645,222,10591,52,182,125,119,108,77,39,11,715,789,1656,1045,808,723,616,625,490,6754,4187,16256,11770,8244,6149,3765,2006,919,53301
SED10073,4413,1927,1231,631,235,47,13278,54,448,472,398,312,250,88,22,2047,1923,7858,6188,3378,2615,1605,634,228,24427,592,1406,1604,1443,1277,903,362,155,7745,557,1193,1065,1155,1145,770,414,176,6476,85,85,75,78,112,72,33,8,549,66,122,190,251,345,293,140,79,1492,710,1403,1330,1485,1608,1133,580,274,8523,60,166,149,115,114,132,71,28,834,508,1133,874,567,633,497,411,283,4908,4036,17023,15026,9319,7784,5146,2386,1032,61759
SED10074,2646,1115,638,373,116,22,7441,32,274,440,323,231,176,51,6,1537,1000,4307,4382,2402,1494,991,409,80,15066,411,1123,1473,1440,1058,676,310,89,6581,711,1393,1683,1759,1381,918,554,162,8552,120,84,115,121,131,80,40,3,696,77,95,189,299,295,294,158,52,1460,908,1573,1988,2181,1806,1292,751,210,10702,37,93,138,115,100,114,60,17,677,535,895,803,548,485,494,448,284,4498,3066,10644,11880,8119,5812,4111,2151,714,46501
SED10075,571,364,276,193,59,6,1933,39,240,264,173,174,154,31,0,1074,464,1873,1638,1188,808,616,224,43,6859,349,1179,1479,1473,1155,753,250,57,6698,1703,3329,3250,3144,2795,1779,835,213,17048,204,186,165,163,197,116,39,10,1080,126,170,183,355,416,355,151,17,1774,2033,3684,3606,3663,3406,2247,1024,248,19901,21,39,56,58,81,84,44,13,401,574,626,609,592,641,679,742,429,4884,3502,8078,8213,7519,6545,4721,2374,802,41752
SED10076,334,325,369,411,125,19,1885,13,163,207,167,283,300,90,7,1234,164,1198,1181,1009,1152,1104,399,99,6305,116,625,887,1024,1278,1094,466,104,5593,1029,2408,2344,2393,2894,2471,1169,323,15032,123,146,153,131,204,171,39,17,981,73,118,147,189,368,454,219,66,1632,1230,2679,2637,2709,3464,3090,1431,399,17641,14,34,35,53,84,114,84,26,448,637,645,632,727,895,1052,913,444,5949,2194,5627,5910,6019,7520,7168,3515,1096,39052
SED10077,2903,1495,972,545,185,56,11287,100,450,403,334,252,193,70,17,1811,2613,8690,4771,3003,2409,1285,542,180,23481,1893,2113,1485,1441,1205,626,270,127,9153,759,1295,1026,1084,968,581,287,131,6149,89,92,85,98,105,49,22,3,553,93,176,178,244,276,198,88,33,1287,947,1568,1289,1427,1351,829,402,170,7985,97,194,159,93,146,109,58,36,899,1097,1829,978,649,595,500,463,389,6505,7013,19705,11981,8450,6918,4084,1993,966,61117
SED10078,2536,1669,1170,615,157,30,8866,28,535,530,515,391,257,56,10,2319,1521,7166,4653,3087,1954,990,342,82,19793,603,1412,1442,1393,929,524,186,73,6563,495,1281,1071,1060,939,513,289,120,5769,72,88,99,115,98,43,18,0,522,47,101,154,294,270,179,71,34,1146,620,1468,1322,1468,1300,733,368,158,7440,35,95,85,70,75,53,35,20,467,474,1017,674,510,497,481,408,365,4418,3349,14323,11242,8704,6315,3658,1543,730,49871
SED10079,338,307,293,251,80,16,1501,23,101,170,184,212,227,35,10,959,264,1232,1385,1237,953,819,330,57,6285,169,655,925,1182,1165,885,403,75,5460,1129,2400,2471,2718,2802,2000,1076,284,14884,159,125,112,146,157,119,50,3,879,80,105,152,233,382,397,202,50,1609,1366,2631,2729,3099,3342,2524,1330,346,17370,17,24,39,34,90,96,63,32,403,396,419,483,517,580,807,802,404,4397,2246,5270,6067,6568,6640,5602,3040,937,36367
SED10080,3855,2108,1521,1035,411,87,13713,46,705,528,423,364,262,99,9,2441,2314,12219,6766,3446,2525,1705,732,222,29925,943,3112,1957,1262,952,675,364,115,9383,434,1365,900,635,583,370,173,62,4513,64,138,91,54,58,54,13,4,463,77,218,195,213,214,188,89,45,1244,569,1720,1183,894,852,616,274,111,6223,72,245,165,106,91,101,61,22,865,1000,2671,1537,880,691,582,443,265,8060,5138,25173,15988,9122,7000,4969,2384,836,70615
SED10081,381,313,223,132,52,8,1554,25,161,249,194,178,164,55,9,1031,316,1639,1507,1169,865,712,274,87,6572,120,726,938,1032,1016,686,298,84,4901,1238,2841,2592,2375,2245,1523,653,159,13627,170,232,150,152,156,112,40,3,1019,88,124,154,237,289,312,158,39,1405,1499,3199,2895,2773,2692,1947,849,200,16056,30,59,40,36,56,79,49,9,366,875,955,855,808,896,927,874,421,6608,2894,7162,6868,6319,5923,4651,2448,825,37093
SED10082,756,735,656,497,186,34,3272,28,135,274,305,354,332,99,22,1547,448,1880,2602,2284,1684,1455,608,146,11109,219,709,1191,1726,1465,1155,588,137,7184,876,1558,1966,2284,2310,1587,898,257,11736,104,76,75,114,140,145,65,9,719,68,79,163,278,364,432,251,60,1698,1048,1711,2198,2673,2817,2168,1216,327,14153,25,33,60,81,97,122,121,27,561,313,352,447,471,557,721,834,785,4480,2102,5216,7531,8271,7630,6445,3650,1472,42305
SED10083,487,360,344,274,83,18,1917,19,166,223,204,204,185,47,18,1064,314,1823,1904,1367,959,878,340,92,7679,257,932,1247,1296,1085,843,333,97,6088,1074,2458,2516,2465,2438,1559,762,205,13477,166,125,136,149,146,119,39,8,887,85,130,186,261,353,352,129,53,1542,1327,2712,2839,2867,2937,2024,927,266,15906,26,48,60,76,71,92,66,16,440,484,533,556,573,618,709,743,632,4845,2442,6552,7315,6737,6217,5007,2534,1126,37936
SED10084,510,447,386,365,93,13,2171,12,172,258,245,277,242,65,19,1291,287,1636,2140,1652,1267,1101,417,100,8597,220,814,1224,1296,1411,1095,482,154,6689,952,1916,2203,2495,2644,1968,1036,327,13545,147,110,136,132,154,126,38,13,853,68,115,189,242,367,367,201,74,1615,1163,2140,2532,2868,3162,2461,1278,414,16015,18,34,47,47,82,105,79,48,459,573,677,794,772,866,958,1078,833,6546,2284,5812,7500,7330,7442,6328,3490,1583,41773
SED10085,224,240,234,184,53,11,1165,13,101,150,154,151,132,27,5,731,220,1183,1159,965,848,673,240,57,5344,183,677,874,1074,980,691,259,55,4794,1351,3305,3064,3081,2756,1457,561,117,15690,178,200,164,168,177,119,22,3,1025,76,153,172,256,333,247,117,29,1371,1606,3659,3397,3501,3263,1819,705,139,18086,13,19,42,49,69,62,30,13,294,884,858,842,937,974,962,645,305,6413,2925,6710,6694,6915,6516,4519,1949,582,36826
SED10086,2442,1964,1303,934,462,94,9522,18,345,409,423,345,290,99,28,1954,1239,7966,5122,3966,2785,1996,944,298,24311,233,1178,1157,1137,945,823,442,159,6073,233,924,665,606,520,430,282,97,3759,24,57,53,52,79,50,28,6,343,43,167,111,190,185,211,123,41,1075,299,1147,827,847,780,685,432,150,5176,23,141,114,86,94,123,98,27,712,452,1156,830,616,471,478,559,492,5056,2316,14208,10900,9032,6720,5333,3045,1245,52798
SED10087,557,436,351,236,71,22,2214,25,244,301,292,230,186,53,6,1341,511,2307,2004,1453,1015,728,291,72,8376,282,908,957,1053,1007,677,302,102,5292,1551,3011,2527,2248,2269,1357,509,151,13612,212,238,138,146,144,96,30,4,1011,78,123,151,220,312,264,113,42,1295,1836,3374,2813,2612,2721,1720,652,194,15920,31,59,49,43,59,60,47,19,368,912,760,689,702,753,793,670,425,5707,3618,8157,7375,6588,6138,4390,2085,845,39212
SED10088,1583,1371,782,382,145,34,5166,33,224,383,449,326,213,92,11,1722,895,3345,3970,3547,1994,1108,511,169,15548,406,1161,1544,1919,1384,810,471,148,7842,756,1570,1692,1974,1652,911,594,218,9363,95,74,111,143,133,88,36,11,689,72,137,164,361,391,330,225,78,1756,927,1781,1965,2475,2174,1333,856,302,11809,21,78,93,96,98,80,99,29,599,319,484,558,533,461,472,467,410,3714,2630,7923,10106,10384,7214,4399,2642,1110,46408
SED10089,1189,686,426,281,93,15,3833,43,288,342,273,197,191,53,13,1393,864,3431,2624,1708,1053,778,300,84,10844,368,1132,1204,1260,992,622,295,73,5947,1515,2929,2445,2299,2098,1397,666,233,13585,258,181,135,163,153,83,27,8,1004,101,140,164,228,284,275,134,38,1356,1876,3259,2740,2691,2529,1755,828,278,15944,59,70,61,64,65,75,49,22,470,956,751,588,511,521,633,684,649,5300,4205,10019,8743,7196,5787,4339,2297,1130,43726
SED10090,3778,2642,1538,1026,386,83,11664,26,298,602,606,434,335,123,30,2449,1332,5490,6129,4768,3069,1948,894,326,23959,310,927,1240,1408,1184,916,446,218,6646,284,643,689,677,641,446,252,115,3743,53,45,54,66,65,74,21,8,399,24,70,141,227,265,276,134,70,1205,361,759,888,970,978,795,410,193,5350,28,79,118,133,84,117,85,37,679,326,575,611,517,376,438,344,303,3492,2454,10273,13361,11041,7665,5562,2686,1199,54239
SED10091,577,528,477,463,202,65,2833,34,144,205,254,268,250,86,12,1245,364,1540,1773,1576,1181,1146,568,140,8285,347,977,1153,1408,1201,1025,483,138,6730,1390,3053,2867,2957,2332,1556,774,179,15110,148,132,135,156,139,103,45,10,865,90,117,183,299,387,373,205,34,1695,1628,3307,3185,3411,2858,2038,1021,217,17671,19,34,51,61,79,111,90,32,482,525,502,600,646,587,682,712,546,4795,2947,7016,7538,7890,6649,5711,3160,1146,42053
SED10092,997,688,572,406,129,25,4670,43,321,278,229,256,190,61,16,1388,1360,3881,2078,1483,1174,833,310,78,11188,476,1161,1131,1298,1073,694,278,82,6199,1415,2697,2134,2098,2195,1296,640,215,12681,198,156,150,146,166,82,32,3,933,102,103,161,284,381,311,160,43,1541,1717,2948,2442,2522,2739,1688,832,263,15154,36,61,67,68,94,92,48,15,482,698,924,653,669,654,662,680,512,5464,4462,11008,7644,6964,6569,4567,2338,985,44544
SED10093,365,265,230,181,54,3,1414,32,147,208,156,148,140,39,6,871,295,1441,1414,1105,747,601,245,54,5900,294,1031,1222,1329,973,643,279,52,5821,1470,3111,2863,2820,2473,1515,802,219,15269,234,231,158,168,144,116,36,4,1087,114,153,217,325,315,265,125,29,1535,1811,3485,3238,3303,2932,1900,966,256,17895,25,44,41,61,65,81,66,9,388,640,692,704,685,675,820,903,700,5815,3114,7137,7189,6900,5774,4357,2547,1081,38099
SED19494,73,47,50,36,6,0,327,3,24,22,18,19,18,0,0,109,51,361,166,157,120,90,21,0,969,39,125,105,108,138,83,15,0,614,111,276,223,220,279,167,31,6,1326,30,30,17,12,19,9,0,0,127,11,24,27,22,45,34,16,0,176,153,327,268,253,347,211,51,6,1621,3,10,3,8,11,13,7,0,56,461,784,802,685,483,232,73,22,3543,718,1736,1449,1281,1165,680,173,28,7237
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
